[0] 1:59	Oh.
[4883] 3:37:54	Yes, I do.
[4884] 3:37:56	Again, it mostly comes down to the fact
[4885] 3:37:58	that
[4886] 3:37:59	um Avaris was the city where
[4887] 3:38:04	the principal city of the area of
[4888] 3:38:06	Goshen. And Goshen basically is this
[4889] 3:38:08	kind of triangle
[4890] 3:38:10	that goes from
[4891] 3:38:11	Avaris and Pi-Ramesses
[4892] 3:38:14	down the Pelusiac
[4893] 3:38:17	um
[4894] 3:38:18	um estuary. Okay? Great farming land,
[4895] 3:38:22	it's great grazing land, it's great
[4896] 3:38:23	hunting land.
[4897] 3:38:26	Okay?
[4898] 3:38:27	So, but that's that's the stretch of
[4899] 3:38:28	Goshen there.
[4900] 3:38:30	So, um, definitely think they are
[4901] 3:38:32	Israelites, but there were other people
[4902] 3:38:34	there, too. Not just Israelites. So, the
[4903] 3:38:37	slaves captured in the biography of of
[4904] 3:38:41	uh
[4905] 3:38:41	Ahmose, the son of Ebana, are
[4906] 3:38:44	basically
[4907] 3:38:47	unfortunate people who lived at Avaris
[4908] 3:38:50	the wrong place at the wrong time.
[4909] 3:38:53	So, yeah, they were definitely slaves
[4910] 3:38:55	and they were definitely of that. So,
[4911] 3:38:58	I did want to make sure I caught that
[4912] 3:38:59	question.
[4913] 3:39:02	So,
[4914] 3:39:04	uh next one here. Um,
[4915] 3:39:07	got a question here from Deduce a Dude.
[4916] 3:39:12	Oh, uh we'll take that follow from
[4917] 3:39:13	everyone.
[4918] 3:39:15	Uh the guy who likes booze says, "Every
[4919] 3:39:17	ancient Jewish and early Christian
[4920] 3:39:19	interpretation either tries to argue
[4921] 3:39:21	that Jephthah didn't sacrifice her as a
[4922] 3:39:24	burnt offering, or they criticize
[4923] 3:39:26	Jephthah's sacrifice as immoral." It was
[4924] 3:39:29	immoral.
[4925] 3:39:30	That's the point.
[4926] 3:39:33	Um,
[4927] 3:39:36	I I think the attempts to try to
[4928] 3:39:40	ameliorate
[4929] 3:39:43	that
[4930] 3:39:44	uh
[4931] 3:39:45	uh sacrifice that they say that they
[4932] 3:39:47	didn't burn her as an offering, I think
[4933] 3:39:50	does does uh justice to the text.
[4934] 3:39:53	The text is super clear on this. The
[4935] 3:39:57	text
[4936] 3:39:58	is all about not making
[4937] 3:40:00	rash vows. Yeah, it's the text is all
[4938] 3:40:03	about not making rash vows.
[4939] 3:40:06	And the text
[4940] 3:40:08	God would have given him the victory
[4941] 3:40:09	anyway.
[4942] 3:40:11	He only had to do was ask.
[4943] 3:40:17	He didn't need to make the vow. And once
[4944] 3:40:20	he had made the vow, he didn't need to
[4945] 3:40:23	keep it. God had already
[4946] 3:40:26	Yeah.
[4947] 3:40:28	escape.
[4948] 3:40:29	Yeah, God had already as as my as my
[4949] 3:40:31	producer here just said, God had already
[4950] 3:40:34	provided grace to escape the
[4951] 3:40:36	consequences of the vow.
[4952] 3:40:41	But he didn't take it.
[4953] 3:40:44	Because he wasn't he wasn't he wasn't a
[4954] 3:40:46	good man.
[4955] 3:40:48	Um
[4956] 3:40:51	It was his own ego.
[4957] 3:40:54	>> [clears throat]
[4958] 3:40:55	>> Yeah.
[4959] 3:40:57	He was a people pleaser.
[4960] 3:40:58	Yeah. Yeah, he had an image problem,
[4961] 3:41:00	too.
[4962] 3:41:01	Um he he did try
[4963] 3:41:04	He he is he wasn't he was a narcissist,
[4964] 3:41:06	yeah.
[4965] 3:41:07	So, yeah, that that was totally
[4966] 3:41:09	justified the the the sacrifice as being
[4967] 3:41:13	immoral. Is that criticism is totally
[4968] 3:41:15	justified.
[4969] 3:41:16	Um
[4970] 3:41:18	cuz it was an immoral sacrifice. It was
[4971] 3:41:20	meant to show
[4972] 3:41:22	that the vow was immoral.
[4973] 3:41:26	And the fact that he wouldn't let his
[4974] 3:41:28	pride go and
[4975] 3:41:30	you know
[4976] 3:41:31	and fall on his face and oh God Yeah.
[4977] 3:41:34	Help me.
[4978] 3:41:35	Yeah.
[4979] 3:41:37	Yeah.
[4980] 3:41:40	Yeah. He he took none of the ways out
[4981] 3:41:42	that he could have taken out.
[4982] 3:41:45	So, you know
[4983] 3:41:48	it's hard to really it's hard to really
[4984] 3:41:50	uh
[4985] 3:41:51	sympathize with Jephthah. Really, it is.
[4986] 3:41:54	Nobody sympathizes with him.
[4987] 3:41:56	>> [laughter]
[4988] 3:41:59	>> So,
[4989] 3:42:02	so yeah, I think I think it's um
[4990] 3:42:04	he definitely needs to be criticized
[4991] 3:42:06	because
[4992] 3:42:08	um
[4993] 3:42:10	it's just one of those things where it
[4994] 3:42:11	just isn't
[4995] 3:42:14	nothing was justified about it.
[4996] 3:42:19	Uh Mama says here
[4997] 3:42:23	Not that one. Uh where did I see it? It
[4998] 3:42:25	just It just came in.
[4999] 3:42:28	Yeah, Mama says, "He didn't care about
[5000] 3:42:30	his daughter's life enough to figure out
[5001] 3:42:33	how to avoid murdering his daughter or
[5002] 3:42:35	just admit he was an idiot."
[5003] 3:42:37	Yeah.
[5004] 3:42:39	That's all it took. That's really all it
[5005] 3:42:40	took.
[5006] 3:42:42	Admitting he was an idiot.
[5007] 3:42:44	Pay the shekel fee, which isn't that
[5008] 3:42:46	much.
[5009] 3:42:48	Okay?
[5010] 3:42:50	I mean
[5011] 3:42:51	It's really not very much.
[5012] 3:42:55	Like what was it again? Let me just look
[5013] 3:42:57	that up here.
[5014] 3:42:59	It was uh
[5015] 3:43:05	See the price here.
[5016] 3:43:10	I know.
[5017] 3:43:12	Five shekels for a male.
[5018] 3:43:15	Three shekels.
[5019] 3:43:19	Three shekels is all it would have
[5020] 3:43:22	taken.
[5021] 3:43:26	That's it.
[5022] 3:43:28	Three shekels.
[5023] 3:43:31	He wasn't even looking at that today.
[5024] 3:43:35	Another law allows sacrifice of two
[5025] 3:43:37	doves.
[5026] 3:43:38	Yeah.
[5027] 3:43:39	Well,
[5028] 3:43:40	um
[5029] 3:43:41	I forget what the going rate for a dove
[5030] 3:43:43	was back then. I don't know which one
[5031] 3:43:45	costs more. Two doves
[5032] 3:43:47	or three shekels.
[5033] 3:43:50	Either way versus life.
[5034] 3:43:53	Yeah, versus the life of your child.
[5035] 3:43:55	Just like you're kidding me.
[5036] 3:44:00	What a goon.
[5037] 3:44:01	What a goon. It is a story all about
[5038] 3:44:05	human beings.
[5039] 3:44:07	And the fact that it was, you
[5040] 3:44:10	Maybe the same. Maybe, I don't know.
[5041] 3:44:13	I don't know. How much is um
[5042] 3:44:15	How much is two doves?
[5043] 3:44:17	Yeah, what a horrible bozo. I agree.
[5044] 3:44:20	Yeah, he he's a horrible bozo.
[5045] 3:44:22	Um
[5046] 3:44:25	But I'll say this at least. At least
[5047] 3:44:27	they don't teach Jephthah
[5048] 3:44:31	like they teach Samson.
[5049] 3:44:33	Okay?
[5050] 3:44:35	At least they don't do that.
[5051] 3:44:38	They're close, but woah.
[5052] 3:44:44	Horrible father year. He's not winning
[5053] 3:44:46	father of the year.
[5054] 3:44:52	All right. Uh
[5055] 3:44:55	I [laughter] knew we were about to smash
[5056] 3:44:56	Samson.
[5057] 3:44:57	Well, the problem is we wouldn't be
[5058] 3:45:00	talking so much about Samson
[5059] 3:45:03	if
[5060] 3:45:04	Sunday school
[5061] 3:45:06	um the companies that make Sunday school
[5062] 3:45:08	materials like David C. Cook
[5063] 3:45:11	didn't glorify Samson so much.
[5064] 3:45:16	That's the problem.
[5065] 3:45:19	It isn't really even that's that I mean,
[5066] 3:45:21	you know, he he's being talked about as
[5067] 3:45:24	a Samson is both a life lesson
[5068] 3:45:27	and a you know,
[5069] 3:45:29	clung to a promise of faith.
[5070] 3:45:32	There is something
[5071] 3:45:33	actually admirable about all of these
[5072] 3:45:36	dirt bags. Okay?
[5073] 3:45:40	But there is also
[5074] 3:45:44	um
[5075] 3:45:46	a lot of Sunday school material
[5076] 3:45:48	companies,
[5077] 3:45:49	you know, and
[5078] 3:45:51	this is big business for them.
[5079] 3:45:53	This is big business for them.
[5080] 3:45:56	You know, Sunday schools, I mean, the
[5081] 3:45:58	David C. Cook is the largest distributor
[5082] 3:46:01	and publisher of children's Sunday
[5083] 3:46:04	school materials
[5084] 3:46:06	in North America.
[5085] 3:46:08	The largest.
[5086] 3:46:11	It's a multi-million dollar company.
[5087] 3:46:15	And it sells packets of of of posters
[5088] 3:46:19	and and uh playbooks and um
[5089] 3:46:24	and uh coloring books and all this
[5090] 3:46:27	stuff.
[5091] 3:46:29	And it teaches really garbage theology.
[5092] 3:46:34	And one of their favorite targets, one
[5093] 3:46:36	of their favorite subjects, is Samson.
[5094] 3:46:40	Samson's an easy sell to kids. It's an
[5095] 3:46:42	easy sell to Sunday school teachers.
[5096] 3:46:46	And it's complete the way they do it is
[5097] 3:46:48	like complete rubbish.
[5098] 3:46:51	Complete rubbish.
[5099] 3:46:58	Uh Andrew Grimes is like the way David
[5100] 3:47:01	was portrayed in that Angel Studios show
[5101] 3:47:03	about King David. Angel Studios, we have
[5102] 3:47:06	to be really cautious of.
[5103] 3:47:10	Okay?
[5104] 3:47:11	We have to be really really cautious of
[5105] 3:47:14	them.
[5106] 3:47:18	Um
[5107] 3:47:20	I wish we were had a lot more
[5108] 3:47:22	discernment
[5109] 3:47:24	when it comes to Angel Studios.
[5110] 3:47:27	Angel Studios is not a Christian movie
[5111] 3:47:31	maker.
[5112] 3:47:32	It's Mormon.
[5113] 3:47:36	Because of that
[5114] 3:47:38	they're compromised in a lot of ways.
[5115] 3:47:43	Okay?
[5116] 3:47:46	Um
[5117] 3:47:48	I I mean I still can't believe they were
[5118] 3:47:50	responsible for distributing um
[5119] 3:47:54	Animal Farm.
[5120] 3:47:58	Yes, they they were the ones Like 180
[5121] 3:48:03	degrees.
[5122] 3:48:05	>> [laughter]
[5123] 3:48:05	>> Hey, yeah.
[5124] 3:48:06	They have the new Animal Farm. you mean
[5125] 3:48:07	the communism is good Animal Farm?
[5126] 3:48:11	Let's all be pigs. Yeah.
[5127] 3:48:14	Yeah.
[5128] 3:48:18	Yeah, um Mama says Angel Studios is
[5129] 3:48:21	Mormon owned, enough said. Yeah.
[5130] 3:48:24	We need We need to show exercise some
[5131] 3:48:26	more discernment about this that that
[5132] 3:48:29	studio.
[5133] 3:48:30	Cuz they are not on our side
[5134] 3:48:34	per se. They're on their own side.
[5135] 3:48:36	They're playing for their team.
[5136] 3:48:43	So,
[5137] 3:48:45	so yeah, I would
[5138] 3:48:54	Anograven says, "Oh, they did Animal
[5139] 3:48:56	Farm." Well, they didn't create Animal
[5140] 3:48:59	Farm,
[5141] 3:49:01	but they bought the rights to distribute
[5142] 3:49:03	it.
[5143] 3:49:05	Okay?
[5144] 3:49:07	Um
[5145] 3:49:09	Animal Farm
[5146] 3:49:11	was actually a production by Andy
[5147] 3:49:13	Serkis,
[5148] 3:49:15	the guy who plays Gollum.
[5149] 3:49:19	Now, if you know anything about Andy
[5150] 3:49:21	Serkis, I've met him in person.
[5151] 3:49:24	I've met Andy Serkis in person.
[5152] 3:49:27	Yes.
[5153] 3:49:28	He's also a lifelong member of the
[5154] 3:49:32	British Socialist Party.
[5155] 3:49:37	So,
[5156] 3:49:39	um
[5157] 3:49:40	so yeah, you kind of get an idea of
[5158] 3:49:41	where it was going to go.
[5159] 3:49:48	Uh
[5160] 3:49:49	Comical says, "Angel Studios does have
[5161] 3:49:51	quite quality stuff." Um
[5162] 3:49:54	yeah, it does have some high-quality
[5163] 3:49:55	stuff. Production quality is a cut above
[5164] 3:49:58	most faith-based entertainment. It is,
[5165] 3:50:01	but again, we have to be cautious here.
[5166] 3:50:02	We have to show discernment.
[5167] 3:50:05	Um like what was it now? Um
[5168] 3:50:09	There was one one video uh one um was
[5169] 3:50:12	there their biggest
[5170] 3:50:14	um most important work was one on um
[5171] 3:50:18	Death Row. I can't remember the name of
[5172] 3:50:19	the movie.
[5173] 3:50:20	Um that was probably their most
[5174] 3:50:22	important stuff. They've also done um
[5175] 3:50:26	the most recent um um stuff on the life
[5176] 3:50:29	of Christ um the
[5177] 3:50:31	the chosen I think it's called.
[5178] 3:50:33	Um
[5179] 3:50:36	Uh Plushy's DX Angel Studios the moment,
[5180] 3:50:39	how is this the first time I've heard
[5181] 3:50:41	about this? You'd think Christians would
[5182] 3:50:43	would bring it up. Why would they?
[5183] 3:50:46	They're they're in the same they're in
[5184] 3:50:48	the they're they're they're they're
[5185] 3:50:49	they're sharing the same
[5186] 3:50:51	I mean, look. I mean
[5187] 3:50:53	the Ark of the Covenant movie that came
[5188] 3:50:55	out by Gesher Gesher Media.
[5189] 3:50:58	They're distributing through
[5190] 3:51:01	Angel Studios.
[5191] 3:51:04	Okay?
[5192] 3:51:11	Uh Bubble Machine hold up. Hold up.
[5193] 3:51:13	You're So you're telling me the same
[5194] 3:51:14	people who promoted Samson
[5195] 3:51:17	bought the rights to Animal Farm?
[5196] 3:51:19	Mhm.
[5197] 3:51:24	Uh Plushy's uh
[5198] 3:51:25	DX says, "The Chosen is really popular."
[5199] 3:51:28	It is really popular, yeah.
[5200] 3:51:31	Uh Bubble Trouble this explains so much.
[5201] 3:51:33	It does.
[5202] 3:51:39	Mama says, "I know Andy Serkis was
[5203] 3:51:41	liberal cookie, but yikes."
[5204] 3:51:44	Yeah.
[5205] 3:51:46	He's a commie. He's a he's a communist.
[5206] 3:51:56	Coyfus uh says, "The Chosen broke up
[5207] 3:51:58	with Angel Studios a while back actually
[5208] 3:52:00	that maybe.
[5209] 3:52:03	But they were very involved with it.
[5210] 3:52:09	Common worker goes, yeah, you have to
[5211] 3:52:11	dig into them to know that Angel Studios
[5212] 3:52:12	is Mormon. Most LDS ups LDS stuff is
[5213] 3:52:16	upfront about it but Angel Studios less
[5214] 3:52:17	so and and that's actually very common
[5215] 3:52:20	with Mormon owned businesses.
[5216] 3:52:22	Um a lot of their businesses they don't
[5217] 3:52:25	make a big deal of their LDS
[5218] 3:52:29	ownership.
[5219] 3:52:30	Um this is very common amongst say
[5220] 3:52:34	a Mormon business and
[5221] 3:52:37	like for example
[5222] 3:52:39	um
[5223] 3:52:40	one of the things that the Mormon church
[5224] 3:52:42	used to be I don't think it is anymore
[5225] 3:52:45	but at one point in the 1980s
[5226] 3:52:48	the Mormon the LDS church was the
[5227] 3:52:50	largest distributor of pornography in
[5228] 3:52:53	North America.
[5229] 3:52:57	Um because it did so through its hotel
[5230] 3:53:00	chains.
[5231] 3:53:01	They offered
[5232] 3:53:03	pornography through their their hotel
[5233] 3:53:05	chains. So
[5234] 3:53:08	um so at one point they were the law one
[5235] 3:53:11	of the largest distributors of of of
[5236] 3:53:14	porn.
[5237] 3:53:20	Yeah, isn't that fun?
[5238] 3:53:23	So
[5239] 3:53:26	when the money matters it matters.
[5240] 3:53:33	Uh Mama says, what the heck? Yeah.
[5241] 3:53:36	Yeah.
[5242] 3:53:42	Uh Bubble Trouble says it always makes
[5243] 3:53:44	me sad to know that people love the idea
[5244] 3:53:46	of communism on paper.
[5245] 3:53:47	But we live in a sinful world it will
[5246] 3:53:49	never work and there'll be a lot of dead
[5247] 3:53:51	bodies on the deck.
[5248] 3:53:52	Communism always leads to dead bodies on
[5249] 3:53:54	the deck, a lot of them.
[5250] 3:53:56	>> In the millions. In the millions, yeah.
[5251] 3:53:59	And we've had
[5252] 3:54:01	examples. Yeah. So.
[5253] 3:54:04	Yeah. It does.
[5254] 3:54:06	Yeah.
[5255] 3:54:07	Uh Luis Sandoval asks, "In which in your
[5256] 3:54:09	opinion is the best movie that portrays
[5257] 3:54:11	Jesus as accurate as possible?"
[5258] 3:54:14	My favorite uh Jesus movie
[5259] 3:54:16	is actually the Gospel of John.
[5260] 3:54:19	It's long.
[5261] 3:54:21	It's It's almost almost a mini series.
[5262] 3:54:24	Um but it's the best.
[5263] 3:54:26	Um it's it's the truest to the Gospels.
[5264] 3:54:30	Um it is um
[5265] 3:54:35	it's very very
[5266] 3:54:38	um as I say, it only focuses on one
[5267] 3:54:40	Gospel.
[5268] 3:54:42	It doesn't try to reconcile all four
[5269] 3:54:45	synoptic Gospels. So, they just took
[5270] 3:54:48	Gospel of John and portrayed it through
[5271] 3:54:50	that lens. And because they did that,
[5272] 3:54:53	it's very effective.
[5273] 3:54:55	And um yeah, really really like that
[5274] 3:54:59	that that that portrayal, the Gospel of
[5275] 3:55:01	John. I think that's the best one I've
[5276] 3:55:03	seen so far.
[5277] 3:55:08	No, that's not the Deanie Jean one.
[5278] 3:55:11	No, it was a 1990s production. It The
[5279] 3:55:14	Gospel of John came out at the same time
[5280] 3:55:16	as the Passion of the Christ. It was the
[5281] 3:55:18	competing film. Oh.
[5282] 3:55:20	Okay? This is This is the interesting
[5283] 3:55:22	thing. Um the Gospel of John was the
[5284] 3:55:25	competing film to The Passion of the
[5285] 3:55:27	Christ The Passion of the Christ, Mel
[5286] 3:55:29	Gibson's film.
[5287] 3:55:31	It earned 1/10 of the money, but was 10
[5288] 3:55:33	times better.
[5289] 3:55:48	Shaliego's Angel Studios has taken a
[5290] 3:55:50	plunge since they lost The Chosen. They
[5291] 3:55:52	have become very the very Hollywood
[5292] 3:55:54	machine they purport to resist in the
[5293] 3:55:55	beginning. Yep, they have.
[5294] 3:56:01	Um Mama goes I'm kind of in shock.
[5295] 3:56:03	Sorry.
[5296] 3:56:05	Uh
[5297] 3:56:07	Hate to do that to you.
[5298] 3:56:09	But better you know.
[5299] 3:56:11	You know, it's it's better that you know
[5300] 3:56:13	than to to live in ignorance.
[5301] 3:56:16	Um
[5302] 3:56:24	So
[5303] 3:56:32	Uh Lucent of 2003 movie could be 2003.
[5304] 3:56:37	Yeah, I mean it was it was at the same
[5305] 3:56:38	time as as The Passion of the Christ or
[5306] 3:56:41	Passion of Christ, so.
[5307] 3:56:46	Um
[5308] 3:56:47	I had uh my difficulty with let's say uh
[5309] 3:56:50	Mel Gibson's movie on The Passion of
[5310] 3:56:51	Christ was um
[5311] 3:56:54	it end up being more the wrath of of
[5312] 3:56:57	of um
[5313] 3:57:00	wrath of man than the wrath of God.
[5314] 3:57:04	So um I was not I was not thrilled with
[5315] 3:57:07	The Passion of Christ.
[5316] 3:57:08	Gospel of John was really good. Uh it
[5317] 3:57:11	was very good.
[5318] 3:57:30	Shelly goes Honestly, being Mormon owned
[5319] 3:57:33	isn't always a problem. Studios sees
[5320] 3:57:34	Mormon and they were peak during the
[5321] 3:57:36	mid-2010s. The problem here is not so
[5322] 3:57:39	much The problem is that there will
[5323] 3:57:42	eventually be seepage
[5324] 3:57:46	into what they do.
[5325] 3:57:48	That's the That's the problem.
[5326] 3:57:49	>> a bad It does This doesn't mean
[5327] 3:57:54	Battlestar Galactica? Battlestar
[5328] 3:57:55	Galactica. Yeah, it was very good.
[5329] 3:57:57	It was brilliant and yet it's still It
[5330] 3:57:59	is deeply influenced by Mormonism. Yeah.
[5331] 3:58:03	What?
[5332] 3:58:04	They're much better storytellers. Oh,
[5333] 3:58:06	the the Mormons are excellent
[5334] 3:58:07	storytellers. There's no doubt about
[5335] 3:58:09	that. Uh many of the big
[5336] 3:58:12	>> Yeah. They they They basically
[5337] 3:58:14	proselytize
[5338] 3:58:16	through the media.
[5339] 3:58:19	But
[5340] 3:58:21	this can be an issue for Christians.
[5341] 3:58:24	And it's an issue for Christians because
[5342] 3:58:27	it is a It is a soft sell.
[5343] 3:58:30	And a lot of Christians out there think
[5344] 3:58:32	that Mormonism is just another branch of
[5345] 3:58:35	Christianity that they can just switch
[5346] 3:58:36	to.
[5347] 3:58:37	And it's not.
[5348] 3:58:39	It's something else. It's its own thing.
[5349] 3:58:42	Um I I like to
[5350] 3:58:46	I prefer calling
[5351] 3:58:48	um
[5352] 3:58:49	Mormonism a new basically a new world
[5353] 3:58:52	religion.
[5354] 3:58:54	Okay. Um
[5355] 3:58:57	It's a new religious movement in in that
[5356] 3:58:59	sense that it's more recent, but it's
[5357] 3:59:02	it's a world religion that's new.
[5358] 3:59:06	So, it's its own thing. It's not
[5359] 3:59:08	Christian.
[5360] 3:59:09	>> [snorts]
[5361] 3:59:09	>> It's not Hindu. It's not Muslim. It's
[5362] 3:59:12	its own world religion and it's
[5363] 3:59:15	basically uh still in that in that
[5364] 3:59:18	formative stage.
[5365] 3:59:22	Malis says, "Bad theology begets bad
[5366] 3:59:24	practice." And it does.
[5367] 3:59:26	And sooner or later bad theology will
[5368] 3:59:30	seep into the practice.
[5369] 3:59:34	Frankly, bad practice does the same
[5370] 3:59:36	thing. Bad practice will also affect
[5371] 3:59:39	your theology.
[5372] 3:59:41	You know, this is what happened at at
[5373] 3:59:42	sort of the great divinity schools like
[5374] 3:59:45	Harvard.
[5375] 3:59:46	You know, they started with bad practice
[5376] 3:59:49	and found it was easier to change their
[5377] 3:59:51	theology.
[5378] 3:59:53	It was easier to change their theology
[5379] 3:59:54	than their morals.
[5380] 3:59:57	That's what usually happens.
[5381] 4:00:02	Okay.
[5382] 4:00:04	Uh Charlie Hugo says, "Same with Brandon
[5383] 4:00:05	Sanderson. Then again, Cosmere does have
[5384] 4:00:07	have heavy gnostic gnostic theology
[5385] 4:00:10	woven into the plot."
[5386] 4:00:12	Yes, it does. And Mormonism has a
[5387] 4:00:17	no small share of gnosticism in their
[5388] 4:00:20	theology, too. Okay.
[5389] 4:00:22	Um
[5390] 4:00:25	Now, keep in mind, too, with
[5391] 4:00:27	uh
[5392] 4:00:28	um Sanderson, he's sold out.
[5393] 4:00:31	He's sold out to the um
[5394] 4:00:34	to the publishing industry.
[5395] 4:00:35	So,
[5396] 4:00:36	Cosmere isn't the Cosmere anymore,
[5397] 4:00:38	either.
[5398] 4:00:40	It's become like the world.
[5399] 4:00:43	Cuz it comes down to dollars and cents.
[5400] 4:00:49	Mhm.
[5401] 4:00:54	Uh we got another question here from
[5402] 4:00:55	that guy who likes booze. "Why did Jesus
[5403] 4:00:58	call the Canaanite woman a dog?
[5404] 4:01:00	Or have we misconstrued the meaning of
[5405] 4:01:02	his response?"
[5406] 4:01:05	A passage here would be very, very
[5407] 4:01:06	handy.
[5408] 4:01:08	>> [laughter]
[5409] 4:01:10	>> Cuz I'm not going to go through that
[5410] 4:01:11	passage without a proper textual
[5411] 4:01:13	reference.
[5412] 4:01:20	Uh Luis Sandoval asks, "What about
[5413] 4:01:22	movies about the Old Testament except
[5414] 4:01:24	from the 10 Commandments?"
[5415] 4:01:26	I like the 10 Commandments. I think the
[5416] 4:01:27	10 Commandments is the best Exodus film.
[5417] 4:01:30	By far.
[5418] 4:01:31	By far. Not perfect.
[5419] 4:01:33	Uh that that hour-long love story in the
[5420] 4:01:36	middle could have been chopped out
[5421] 4:01:37	easily for a better film.
[5422] 4:01:39	Um
[5423] 4:01:44	And the the scene where they passed
[5424] 4:01:46	through the Red Sea, I don't think was
[5425] 4:01:48	historically accurate.
[5426] 4:01:53	But it was very dramatic and theatrical,
[5427] 4:01:54	yeah. But they got the Egyptian stuff
[5428] 4:01:56	right.
[5429] 4:01:57	That's what really surprised me.
[5430] 4:02:01	Is they got a lot of the Egyptian stuff
[5431] 4:02:04	right.
[5432] 4:02:20	Oh deuce and a due, that's too close.
[5433] 4:02:22	Too close, man.
[5434] 4:02:28	Yep, you know better. You know better.
[5435] 4:02:32	>> [laughter]
[5436] 4:02:33	>> I ain't even going to entertain it.
[5437] 4:02:37	Okay.
[5438] 4:02:38	I would have answered it. It had next on
[5439] 4:02:40	my list to answer, but
[5440] 4:02:44	Yeah, I had to go do that.
[5441] 4:02:49	Uh
[5442] 4:02:50	Yeah, he doubled.
[5443] 4:02:55	Okay, I'll answer it, but
[5444] 4:02:57	>> No, no, we
[5445] 4:02:59	always make you.
[5446] 4:03:02	Question from
[5447] 4:03:03	Okay, William Height.
[5448] 4:03:05	Don't do that again, though, even if it
[5449] 4:03:07	is a joke.
[5450] 4:03:08	Cuz it's just
[5451] 4:03:10	All right, uh let's Okay, so uh why did
[5452] 4:03:12	uh
[5453] 4:03:13	Jesus call the Canaanite uh a woman a
[5454] 4:03:15	dog?
[5455] 4:03:18	And the passage here is Mark 7:27. Okay,
[5456] 4:03:21	so let's go to Mark.
[5457] 4:03:26	Seven.
[5458] 4:03:31	27.
[5459] 4:03:45	Okay.
[5460] 4:03:46	We're actually going to start here.
[5461] 4:03:53	Um
[5462] 4:03:57	Let's see.
[5463] 4:04:10	We'll start at first 24.
[5464] 4:04:13	Okay. And from there he rose, this is
[5465] 4:04:16	Christ, and went away to the region of
[5466] 4:04:18	Tyre.
[5467] 4:04:20	Um that's like modern Lebanon.
[5468] 4:04:23	Okay?
[5469] 4:04:24	And when he had entered a house, he
[5470] 4:04:26	wanted to no one to know of it.
[5471] 4:04:28	And yet he could not escape notice.
[5472] 4:04:31	But after hearing of him, a woman whose
[5473] 4:04:34	little daughter had an unclean spirit,
[5474] 4:04:37	immediately came and fell at his feet.
[5475] 4:04:41	And now the woman was a Gentile.
[5476] 4:04:45	Now
[5477] 4:04:47	of the Syrophoenician race.
[5478] 4:04:50	And he kept it asking him to cast out
[5479] 4:04:53	the demons out of her daughter.
[5480] 4:04:56	And he was saying to her,
[5481] 4:04:58	"Let the children be satisfied first,
[5482] 4:05:01	for it is not good to take the
[5483] 4:05:03	children's bread and throw it to the
[5484] 4:05:05	dogs."
[5485] 4:05:09	But she answered and said to him, "Yes,
[5486] 4:05:11	Lord, but even the dogs under the table
[5487] 4:05:14	feed on the children's crumbs."
[5488] 4:05:17	And he said to her, "Because of this
[5489] 4:05:19	answer, you go your way. The demon has
[5490] 4:05:22	gone out of your daughter.
[5491] 4:05:24	Okay? Now, the big question is why does
[5492] 4:05:27	he call this woman's daughter a dog?
[5493] 4:05:31	Okay? Who is he trying to Who is he
[5494] 4:05:33	saying this to?
[5495] 4:05:35	That's the million-dollar question.
[5496] 4:05:38	You answer that question, you've
[5497] 4:05:39	answered the rest of this.
[5498] 4:05:41	Okay?
[5499] 4:05:43	Cuz this seems really out of character
[5500] 4:05:45	for Christ.
[5501] 4:05:47	You know, the the Christ of love your
[5502] 4:05:48	neighbor as yourself, love the Gentile.
[5503] 4:05:52	This is This seems really out of
[5504] 4:05:54	character for him.
[5505] 4:05:57	Well, who else is standing there in the
[5506] 4:06:00	room?
[5507] 4:06:02	The disciples.
[5508] 4:06:05	The disciples are standing there.
[5509] 4:06:08	Okay?
[5510] 4:06:09	The disciples are Jews.
[5511] 4:06:13	Jews referred to Gentiles as dogs and
[5512] 4:06:16	pigs.
[5513] 4:06:19	This is a common slur.
[5514] 4:06:21	This is a common pejorative, it's a
[5515] 4:06:23	common slur that Jews of the first
[5516] 4:06:26	century used against Gentiles.
[5517] 4:06:30	Okay?
[5518] 4:06:32	And Jesus knew this.
[5519] 4:06:35	He'd probably even had overheard some of
[5520] 4:06:37	his his disciples talking this way.
[5521] 4:06:41	Okay?
[5522] 4:06:45	So,
[5523] 4:06:46	this was not an object lesson
[5524] 4:06:48	for the the the Canaanite woman.
[5525] 4:06:51	This was a lesson for his disciples.
[5526] 4:06:56	That the Lord God
[5527] 4:06:58	who came down and became man was not
[5528] 4:07:01	just for the Jews.
[5529] 4:07:05	The Gentiles, too.
[5530] 4:07:07	The same people you you Jews, sons of
[5531] 4:07:12	Jacob,
[5532] 4:07:13	God's chosen people,
[5533] 4:07:16	you consider
[5534] 4:07:17	the Gentiles dogs, but Christ is there
[5535] 4:07:20	for both Jew and Gentile.
[5536] 4:07:25	So, he uses this he uses that very own
[5537] 4:07:28	language that his disciples are using
[5538] 4:07:32	as as as a pejorative
[5539] 4:07:35	to
[5540] 4:07:36	flip their idea of their
[5541] 4:07:39	their status on its head.
[5542] 4:07:44	So, by basically saying
[5543] 4:07:47	Yeah, yeah, you why why should I do
[5544] 4:07:49	anything for your kid? Your kid's a dog.
[5545] 4:07:52	Kid's a dog.
[5546] 4:07:54	Well, doesn't the dogs even eat the
