[0] 1:48	Heat.
[3085] 2:42:32	French prophecer
[3086] 2:42:38	doesn't matter if the teacher's male or
[3087] 2:42:39	female
[3088] 2:42:42	I had to get corrected on this many
[3089] 2:42:43	times. So okay. [laughter]
[3090] 2:42:47	So you know my my French teacher in high
[3091] 2:42:51	school was a woman
[3092] 2:42:54	and she insisted it's l professor
[3093] 2:42:59	not la prophesia. Okay because professor
[3094] 2:43:05	is masculine
[3095] 2:43:08	even if the person holding that uh title
[3096] 2:43:11	is a feminine gender.
[3097] 2:43:15	Okay.
[3098] 2:43:17	So,
[3099] 2:43:19	what's going on in the Old Testament is
[3100] 2:43:21	spirit ruach
[3101] 2:43:24	is a feminine word,
[3102] 2:43:27	but it doesn't mean it's a feminine
[3103] 2:43:30	gender. It's grammatically feminine, not
[3104] 2:43:34	does not confer any any sense of of say
[3105] 2:43:39	um gender upon the object as such.
[3106] 2:43:47	Yeah, Dark Blade has says it here. The
[3107] 2:43:50	word ruok, I don't know if I spelled it
[3108] 2:43:51	correct, is grammatically feminine.
[3109] 2:43:53	Yeah, it is. It's grammatically
[3110] 2:43:54	feminine. So, this is what's happening
[3111] 2:43:56	here is that in the Old Testament, the
[3112] 2:43:59	Hebrew ruach is a grammatically feminine
[3113] 2:44:02	word, but that doesn't tell you what the
[3114] 2:44:05	gender of the spirit is. Only that the
[3115] 2:44:08	word spirit is grammatically
[3116] 2:44:11	feminine. And we see this all the time,
[3117] 2:44:13	you know. Um there are many words in in
[3118] 2:44:16	in languages that are grammatically one
[3119] 2:44:20	way or the other, but that doesn't tell
[3120] 2:44:23	you what the gender of the item is. You
[3121] 2:44:25	know, that's like like when we talk
[3122] 2:44:27	about
[3123] 2:44:28	um boats in English.
[3124] 2:44:31	A boat in English is always she,
[3125] 2:44:35	but a boat doesn't have a gender.
[3126] 2:44:40	Cars are usually feminine. Okay.
[3127] 2:44:44	Yeah. Okay. I'll take that for for for
[3128] 2:44:46	verbatim. But yeah, it's it's one of
[3129] 2:44:48	those things. It's it's grammatically
[3130] 2:44:50	feminine even though it has no gender as
[3131] 2:44:53	such or may have a gender that's that
[3132] 2:44:57	contradicts
[3133] 2:44:58	uh what you would expect from the
[3134] 2:45:01	grammatical structure.
[3135] 2:45:07	So that's what's going on there is in
[3136] 2:45:11	the Old Testament ruach is a feminine
[3137] 2:45:14	word and it takes it's grammatically
[3138] 2:45:15	feminine
[3139] 2:45:17	but in the New Testament we start seeing
[3140] 2:45:20	pronouns
[3141] 2:45:22	ascribe a gender to the spirit.
[3142] 2:45:26	So this is why for example in the Old
[3143] 2:45:29	Testament we we wouldn't get we don't
[3144] 2:45:32	get that information of of a pronoun
[3145] 2:45:35	ascribed to to the ruach but in in the
[3146] 2:45:38	New Testament the numatas is ascribed a
[3147] 2:45:42	gender through a pronoun.
[3148] 2:45:44	So
[3149] 2:45:48	uh Timmyara says Polish and German have
[3150] 2:45:50	words for a girl uh thus mkin mutkin
[3151] 2:45:55	which is grammatically neutral not
[3152] 2:45:57	feminine. Yeah. So you cannot take the
[3153] 2:46:01	the grammatical gender and apply it to
[3154] 2:46:05	say the gender of the the object. It's
[3155] 2:46:08	just it's this is just how grammar
[3156] 2:46:10	works. Okay. So,
[3157] 2:46:17	so I hope that helps. Uh, thank you very
[3158] 2:46:20	much for the question and thank you for
[3159] 2:46:22	the sponsorship of that question, uh,
[3160] 2:46:24	Camilar. We really appreciate that. Um,
[3161] 2:46:28	okay, cool. Um, and he says, "That was
[3162] 2:46:32	very helpful. Thank you." Okay. Uh,
[3163] 2:46:35	we're glad you could be with us tonight,
[3164] 2:46:36	Deliverance Now Ministries. We hope that
[3165] 2:46:39	was we hope you found that edifying. We
[3166] 2:46:41	just have to we just have to keep our
[3167] 2:46:43	category straight here. There's a
[3168] 2:46:45	grammatical gender and then there's a
[3169] 2:46:47	physical gender. Okay? So, just keep the
[3170] 2:46:49	category straight and you'll be fine.
[3171] 2:46:51	Okay? So, thank you very much for the
[3172] 2:46:53	question. It was a great question and we
[3173] 2:46:54	really appreciate it.
[3174] 2:47:03	Okay, next one.
[3175] 2:47:07	Uh John Bolerman for 10 Canadian. Thank
[3176] 2:47:09	you for the super chat. He says, "I
[3177] 2:47:11	didn't mean to be cryptic in my story. I
[3178] 2:47:13	I just can't type enough in these chats.
[3179] 2:47:15	Nobody can." [laughter]
[3180] 2:47:18	But yes, you nailed the message.
[3181] 2:47:20	Takeaway. I'll fill you in when I see
[3182] 2:47:22	you next at the the next Russian face
[3183] 2:47:26	slap tournament. [laughter]
[3184] 2:47:29	Oh, that'll be fun. It's always a good
[3185] 2:47:32	time. [laughter]
[3186] 2:47:40	Uh, awesome. Awesome.
[3187] 2:47:42	[laughter]
[3188] 2:47:43	All right. Thank you very much for that
[3189] 2:47:45	super chat. We really appreciate it. Um,
[3190] 2:47:48	but it was a very helpful comment. It
[3191] 2:47:49	was a very helpful super chat. So,
[3192] 2:47:51	absolutely we appreciate that.
[3193] 2:48:14	Uh, Milky Doug asks the question,
[3194] 2:48:16	"What's the difference from schematic
[3195] 2:48:18	versus idealized numbers in First Kings
[3196] 2:48:20	6?" Um, I don't know what you mean by
[3197] 2:48:23	schematic.
[3198] 2:48:25	Um
[3199] 2:48:26	I know um the ideal noise numbers are
[3200] 2:48:30	idioms. Okay. Uh they're idioms. They're
[3201] 2:48:33	not meant to connect the you know it's
[3202] 2:48:36	like saying um oh that test was a piece
[3203] 2:48:39	of cake. Was it literally a piece of
[3204] 2:48:41	cake? Tests would be lovely if they were
[3205] 2:48:44	just pieces of cake.
[3206] 2:48:46	>> Everyone would love taking tests that
[3207] 2:48:48	they were just pieces of cake and you
[3208] 2:48:49	could just eat the cake. But we don't.
[3209] 2:48:51	It's not. It's an idiom. Okay. It's an
[3210] 2:48:54	idiom that confers the idea that it was
[3211] 2:48:56	easy
[3212] 2:48:58	like eating a piece of cake or two or
[3213] 2:49:01	three. Okay. But um so we do know that
[3214] 2:49:05	Hebrew had idiom numbers that were
[3215] 2:49:08	idioms. Okay. Uh schematic equals
[3216] 2:49:12	thematic.
[3217] 2:49:14	That doesn't quite clarify it. Um
[3218] 2:49:20	they we we don't I don't know exactly
[3219] 2:49:23	what you mean here by thematic.
[3220] 2:49:26	Um
[3221] 2:49:28	no um I mean there's there there are
[3222] 2:49:30	literal numbers there are idealized
[3223] 2:49:32	numbers there's there's idiom and
[3224] 2:49:34	idealized numbers fall under the
[3225] 2:49:35	category of of idioms.
[3226] 2:49:38	So I think um
[3227] 2:49:42	um so uh first kings 6:1
[3228] 2:49:46	has um two sets of dates. It has an
[3229] 2:49:50	idiomatic date where it where it pegs it
[3230] 2:49:53	to let's just pull up the text. Pull up
[3231] 2:49:56	the text.
[3232] 2:49:58	It's always fun to pull up the text so
[3233] 2:49:59	we can actually map this out.
[3234] 2:50:04	Skings
[3235] 2:50:06	six.
[3236] 2:50:07	Okay, verse one. Now, it came about in
[3237] 2:50:10	the 480th year after the sons of Israel
[3238] 2:50:13	came out of the land of Egypt. Now,
[3239] 2:50:14	that's an idiomatic number. Okay,
[3240] 2:50:19	480th year.
[3241] 2:50:22	It's um 40 * 12.
[3242] 2:50:26	Both are considered to be um
[3243] 2:50:30	numbers that have meanings all on their
[3244] 2:50:32	own. 12, you got the 12 tribes, the 12
[3245] 2:50:35	sons of Jacob, etc., etc etc. There's
[3246] 2:50:37	there's a lot of 12 disciples. 12 is a
[3247] 2:50:41	very very important symbolic number. But
[3248] 2:50:45	40 is also an important symbolic number.
[3249] 2:50:48	It's the the number of of indeterminant
[3250] 2:50:52	counts. So if you don't know something,
[3251] 2:50:55	oh, how long did he live after he uh he
[3252] 2:50:58	shot the the sheriff? 40 years.
[3253] 2:51:03	Okay. Was that 38, 42? don't know 40
[3254] 2:51:06	years
[3255] 2:51:08	similar similar to like we say oh 100
[3256] 2:51:10	years ago
[3257] 2:51:13	so
[3258] 2:51:18	[laughter]
[3259] 2:51:18	>> 1990 was 70
[3260] 2:51:26	>> yeah you're not going to go there yeah
[3261] 2:51:30	>> 428
[3262] 2:51:33	>> yeah so in in Hebrew
[3263] 2:51:36	uh numbers like 7 12 40 those are
[3264] 2:51:40	idiomatic numbers. So um so that that's
[3265] 2:51:46	that's the case. We we see that often.
[3266] 2:51:49	Um
[3267] 2:51:50	and then we got this after the sons of
[3268] 2:51:53	uh Israel came out of the land of Egyp
[3269] 2:51:54	in the fourth year of Solomon's reign.
[3270] 2:51:57	Okay, now we got a regal year. Regnier
[3271] 2:52:00	is something we've got a hard hard uh
[3272] 2:52:04	reference to uh in the month of Ziv in
[3273] 2:52:07	the second which is the second month
[3274] 2:52:08	that he began to build the house of the
[3275] 2:52:10	Lord.
[3276] 2:52:12	So in some ways we got here in apples
[3277] 2:52:14	and oranges we're be we have an
[3278] 2:52:16	idiomatic number being correlated to a
[3279] 2:52:21	a hard rain number. So,
[3280] 2:52:26	Dark Blade, you owe me 40 shekels of
[3281] 2:52:29	sushi. [laughter]
[3282] 2:52:37	That's a lot of sushi, [laughter]
[3283] 2:52:44	but considering the price of silver
[3284] 2:52:45	these days. Oh, yeah. That's a lot of
[3285] 2:52:47	That's a lot of sushi. Definitely. I'll
[3286] 2:52:49	take that one.
[3287] 2:52:51	Okay. So, um, so I don't exa I'm not
[3288] 2:52:55	exactly clear on the question, but we
[3289] 2:52:58	can we can we can talk about say theatic
[3290] 2:53:01	numbers um as opposed to say the regal
[3291] 2:53:04	years and the regal years are sort of
[3292] 2:53:06	more of a firm dating here
[3293] 2:53:09	than it is the 480th year because it's
[3294] 2:53:12	tied to an epoch. And we find this this
[3295] 2:53:15	pattern often.
[3296] 2:53:23	U Murvansa says the judges period was
[3297] 2:53:25	450 years in Acts 13:20. There's
[3298] 2:53:28	actually a really really good reason
[3299] 2:53:31	why.
[3300] 2:53:33	Um
[3301] 2:53:35	the reason why is the 450 years includes
[3302] 2:53:38	the sojourn. Oh, let's pull that one up.
[3303] 2:53:43	Let's go back to the text.
[3304] 2:53:46	Acts
[3305] 2:53:48	13. Oops.
[3306] 2:53:52	1320.
[3307] 2:53:55	Okay.
[3308] 2:53:58	Now, where does the perky start
[3309] 2:54:02	now? Uh Paul and
[3310] 2:54:12	Start here at verse
[3311] 2:54:15	16. Okay. And Paul stood up and motioned
[3312] 2:54:18	with his hand. He said, "Men of Israel
[3313] 2:54:20	and you who fear God, listen.
[3314] 2:54:23	The God of this people chose our fathers
[3315] 2:54:26	and made the people great during their
[3316] 2:54:28	stay in the land of Egypt." And with an
[3317] 2:54:31	uplifted arm, he led them out from it.
[3318] 2:54:34	And for a period of 40 years he put up
[3319] 2:54:36	with them in the wilderness.
[3320] 2:54:38	And when he had destroyed seven nations
[3321] 2:54:41	in the land of Canaan,
[3322] 2:54:43	he distributed their land as an
[3323] 2:54:46	inheritance
[3324] 2:54:49	about 450
[3325] 2:54:51	years. Okay.
[3326] 2:54:54	So
[3327] 2:54:58	um when he destroyed the seven nations
[3328] 2:54:59	of land, he distributed the land as an
[3329] 2:55:02	inheritance about 450 years. So that's
[3330] 2:55:04	not actually talking about the period of
[3331] 2:55:08	the judges. Not talking about the period
[3332] 2:55:10	of judges because you have to take all
[3333] 2:55:12	of that pre that prologue going back
[3334] 2:55:16	to Egypt and really to when he chose our
[3335] 2:55:18	fathers.
[3336] 2:55:21	So God of this people chose our fathers
[3337] 2:55:23	and made them people great. So that's
[3338] 2:55:25	the beginning of the clock. That's where
[3339] 2:55:27	the clock begins.
[3340] 2:55:30	Okay. So this is not the land of the
[3341] 2:55:32	judge at the time of the judges and the
[3342] 2:55:35	destruction of the seven nations is
[3343] 2:55:38	happens. These are the nations of the
[3344] 2:55:40	Amorites.
[3345] 2:55:43	Okay. So this is the seven nations of
[3346] 2:55:46	the Amorites
[3347] 2:55:49	about 450 years. So you're going to have
[3348] 2:55:52	to include say the couple of years that
[3349] 2:55:56	basically there's there's there's um
[3350] 2:55:59	five years where they do battle with the
[3351] 2:56:02	Amorites. That's the five nations. Okay.
[3352] 2:56:04	So that's the five nations.
[3353] 2:56:06	Okay. But the chosen of the fathers,
[3354] 2:56:10	that's going to start with the second
[3355] 2:56:13	prophecy of
[3356] 2:56:15	of um of Abraham.
[3357] 2:56:19	Okay. And um
[3358] 2:56:23	also we're going to have to to work in
[3359] 2:56:24	there as well say the 20 years of
[3360] 2:56:30	of Jacob cuz that's not usually included
[3361] 2:56:34	in the 400 years. Okay. where where it
[3362] 2:56:38	says that that Jacob uh where um uh
[3363] 2:56:44	they sojourned for 400 years in in Egypt
[3364] 2:56:48	and Canaan.
[3365] 2:56:51	The time Jacob spends with Laban is
[3366] 2:56:54	usually excluded from that 400 years.
[3367] 2:56:58	And the reason why is because he's
[3368] 2:57:00	outside
[3369] 2:57:02	he's outside of of Canaan at the time.
[3370] 2:57:05	He's actually in Syria.
[3371] 2:57:08	So,
[3372] 2:57:10	and the fact is
[3373] 2:57:13	that Paul here
[3374] 2:57:15	is giving you an approximate.
[3375] 2:57:20	Okay, he's giving you an approximate,
[3376] 2:57:22	not an exact date here.
[3377] 2:57:26	So, this is why he's sort of spitballing
[3378] 2:57:28	it. Okay, Paul is spitballing it here,
[3379] 2:57:32	which okay, that's fine. Absolutely.
[3380] 2:57:34	There's nothing nothing saying he has to
[3381] 2:57:35	count all up all the years.
[3382] 2:57:38	So
[3383] 2:57:40	So you're going to have to start at that
[3384] 2:57:42	the beginning of the 400year clock. So
[3385] 2:57:45	the 400-year clock begins with the
[3386] 2:57:48	second prophecy of Abraham.
[3387] 2:57:50	It's going to
[3388] 2:57:53	go unto the Exodus
[3389] 2:57:55	that you're going to Yeah. Yeah. 400
[3390] 2:57:57	year, but you're going to also have to
[3391] 2:57:58	you include the 20 years
[3392] 2:58:01	of Jacob because that's not included in
[3393] 2:58:04	that 400 years.
[3394] 2:58:06	So, you're going to have 420 years
[3395] 2:58:07	there.
[3396] 2:58:09	Then you're going to get the 40 years in
[3397] 2:58:10	the wilderness.
[3398] 2:58:13	Then you're going to get in that five
[3399] 2:58:15	years of the Amorite destruction.
[3400] 2:58:18	So, there's going to be a lot of wiggle
[3401] 2:58:20	room there. and and you know he can't
[3402] 2:58:23	you can't really
[3403] 2:58:25	sort of he Paul's not accounting for all
[3404] 2:58:27	of that he's just given an approximate
[3405] 2:58:31	so
[3406] 2:58:34	so that's why you have to sort of keep
[3407] 2:58:36	in mind that where the clock is going to
[3408] 2:58:38	begin here
[3409] 2:58:40	and where the clock ends which is the
[3410] 2:58:43	distribution of the land at the
[3411] 2:58:44	inheritance
[3412] 2:58:46	and that this distribution happens in
[3413] 2:58:48	the two years following the five years
[3414] 2:58:51	of the destruction of the Amorite, seven
[3415] 2:58:53	nations, seven kingdoms, and that's
[3416] 2:58:56	going to be another two years after
[3417] 2:58:58	that. So by the time they distribute the
[3418] 2:59:00	inheritance, there's seven years in
[3419] 2:59:02	Canaan already.
[3420] 2:59:04	So again, you're going to have to come
[3421] 2:59:06	up with this as an approximate, not as a
[3422] 2:59:09	direct count,
[3423] 2:59:12	just because there's a lot of factors
[3424] 2:59:14	here that, you know, Paul's not doing
[3425] 2:59:16	the count. He's just giving them a
[3426] 2:59:17	spitball number. And that's cool because
[3427] 2:59:20	he does say approximately.
[3428] 2:59:23	Okay.
[3429] 2:59:25	>> So, take him at his word. It's about
[3430] 2:59:27	that much. It's not exactly that much.
[3431] 2:59:31	Funny how that works. [laughter]
[3432] 2:59:36	Okay, I'm going to take a brief uh break
[3433] 2:59:38	here and then come right back. I'll be
[3434] 2:59:39	back in a few minutes.
[3435] 3:01:32	Just had a bunny try to make a
[3436] 3:01:33	jailbreak.
[3437] 3:01:38	Okay, I'm back.
[3438] 3:01:46	Okay,
[3439] 3:01:49	bunny cam. Yeah, we need a bunny cam.
[3440] 3:01:51	All right, we're back here.
[3441] 3:01:56	Although bunny tried to make a break for
[3442] 3:01:58	it, so
[3443] 3:02:04	Okay. Uh, Dark Blade asks, "How does ABR
[3444] 3:02:08	read the parenthetical of Numbers
[3445] 3:02:10	13:22?" Let's take a look at numbers
[3446] 3:02:13	13:22
[3447] 3:02:17	Numbers
[3448] 3:02:19	13
[3449] 3:02:23	22.
[3450] 3:02:26	uh when they went when they had gone up
[3451] 3:02:27	into the Ngev they came to Hebron where
[3452] 3:02:30	Aiman, Shashi and Telmi, the descendants
[3453] 3:02:33	of Anak were. Now Hebron was built in
[3454] 3:02:35	the seven years before Zoan and Egypt.
[3455] 3:02:38	Okay. Um this is going to really depend
[3456] 3:02:40	if you're dealing with a Maseretic text
[3457] 3:02:42	maximalist or one of the say more
[3458] 3:02:45	septuagent leaning abarch people. You
[3459] 3:02:47	get both in ABR. You get people in ABR
[3460] 3:02:50	who lean
[3461] 3:02:52	more to the maximalist of the Maseretic
[3462] 3:02:55	text and those who lean more towards
[3463] 3:02:58	Septuagent readings.
[3464] 3:03:00	Um most of them
[3465] 3:03:03	most of the Maseretic guys might might
[3466] 3:03:05	lean hard on this. Um yeah that Hebron
[3467] 3:03:08	was built seven years before Zoan in
[3468] 3:03:10	Egypt. Um that's that's definitely a
[3469] 3:03:13	scribal gloss. everyone, every scholar
[3470] 3:03:16	um recognizes that as a a scribe gloss.
[3471] 3:03:19	The ABR guys, it's really going to
[3472] 3:03:22	depend.
[3473] 3:03:23	Okay.
[3474] 3:03:25	Um
[3475] 3:03:28	again, it's going to depend. Some of
[3476] 3:03:29	them are really hardcore maseretic text
[3477] 3:03:31	maximalists.
[3478] 3:03:33	Some of them will say if it if it's in
[3479] 3:03:35	the maseretic text, that's it. That's
[3480] 3:03:37	the end of the debate. Uh it's almost
[3481] 3:03:40	like a King James only kind of thing. uh
[3482] 3:03:42	where they'll they'll really sort of go
[3483] 3:03:44	overboard on that.
[3484] 3:03:49	But you do get some people in ABR that
[3485] 3:03:52	also are now I'd say septuagent
[3486] 3:03:55	maximalists instead and um they will
[3487] 3:03:59	prefer a septuagent reading and those
[3488] 3:04:02	guys will probably recognize this as a
[3489] 3:04:05	scribal gloss instead. So it's going to
[3490] 3:04:08	depend on which one you're talking to
[3491] 3:04:10	ultimately. So, I hope that helps. Thank
[3492] 3:04:12	you for the question.
[3493] 3:04:23	Uh, do you have a uh Timar asked the
[3494] 3:04:25	question, do you have a hypothesis as to
[3495] 3:04:28	what happened in 1st Samuel 13:1? Yeah.
[3496] 3:04:31	Um, I am familiar with this. ESV reads,
[3497] 3:04:33	Saul was years old when he began to
[3498] 3:04:36	reign, and he reigned in two years.
[3499] 3:04:38	Translations are all over the place.
[3500] 3:04:39	They are all over the place on this
[3501] 3:04:42	because it's a difficult one to
[3502] 3:04:45	um decipher here.
[3503] 3:04:48	Let's just let's just pull it up here. 1
[3504] 3:04:51	Samuel
[3505] 3:04:55	13.
[3506] 3:04:58	Okay.
[3507] 3:05:00	Uh 1st Samuel 131 we have to understand
[3508] 3:05:02	it's a very fragmentaryary
[3509] 3:05:05	text. Okay.
[3510] 3:05:08	Now we'll we'll walk you through it
[3511] 3:05:12	then we'll talk about it.
[3512] 3:05:15	Saul was
[3513] 3:05:17	this 40 here is not in the original
[3514] 3:05:19	text. Saul was years old when he began
[3515] 3:05:25	to reign and he reigned.
[3516] 3:05:29	This is not in in the original text. Two
[3517] 3:05:32	years over Israel.
[3518] 3:05:34	Okay.
[3519] 3:05:37	Now, why are some texts going to be all
[3520] 3:05:40	over the map on this? Okay. Uh because
[3521] 3:05:44	we do not have a
[3522] 3:05:47	good corroborating
[3523] 3:05:50	extra uh
[3524] 3:05:53	uh source text outside of this. This
[3525] 3:05:57	does seem to be an area of this text
[3526] 3:05:59	that probably got damaged in antiquity
[3527] 3:06:04	and was copied.
[3528] 3:06:07	Copied and later amended.
[3529] 3:06:10	Okay, so that's probably what happened
[3530] 3:06:12	to first Samuel 13:1.
[3531] 3:06:16	But we know from other texts that
[3532] 3:06:20	he was 40. Again, 40 here is is an
[3533] 3:06:23	idiomatic number. We don't know how old
[3534] 3:06:24	he was exactly.
[3535] 3:06:26	Um but it was pro probably the 40 here
[3536] 3:06:29	was inserted as an idiomatic number when
[3537] 3:06:31	he began to reign and he reigned 32
[3538] 3:06:34	years again this is taken from other
[3539] 3:06:35	texts to to amend the text. So,
[3540] 3:06:42	um it's just one of those things it's
[3541] 3:06:43	unfortunate that some will choose to go
[3542] 3:06:47	literal here like uh let's see what the
[3543] 3:06:50	various options we have here like uh for
[3544] 3:06:52	the maseretic text.
[3545] 3:07:03	Yeah, it just says
[3546] 3:07:05	and years
[3547] 3:07:10	uh two years
[3548] 3:07:13	he reigned as king. Yeah. So, so the fra
[3549] 3:07:17	it's very fragmentaryary in the
[3550] 3:07:18	maseretic text. What does the septuagent
[3551] 3:07:20	say?
[3552] 3:07:32	Um
[3553] 3:07:36	yeah, Septuagent doesn't even have 1
[3554] 3:07:39	Samuel 1.
[3555] 3:07:41	Okay. So that kind of tells you how
[3556] 3:07:43	fragmentaryary this is that
[3557] 3:07:48	so that even at um
[3558] 3:07:52	that the 1st Samuel 13 it's so
[3559] 3:07:54	fragmentaryary apparently that the copy
[3560] 3:07:56	of the the Hebrew that the um
[3561] 3:08:00	that the um Septuian translators have is
[3562] 3:08:04	already very badly damaged. So they
[3563] 3:08:08	don't have a 1st Samuel 313 13:1.
[3564] 3:08:13	The Maseretic text has a very
[3565] 3:08:15	fragmentaryary
[3566] 3:08:17	uh 1st Samuel 13:1.
[3567] 3:08:20	So
[3568] 3:08:22	at this point, translators in the
[3569] 3:08:24	English are
[3570] 3:08:26	basically using their best guess, using
[3571] 3:08:28	their best uh suggestion.
[3572] 3:08:35	Uh the Vulgate says according uh Dark
[3573] 3:08:38	Blade says the Vulgate says he was one
[3574] 3:08:40	and drained two years. Yeah. Well, but
[3575] 3:08:43	then again too that they're the Vulgate
[3576] 3:08:45	is just taking the Maseretic text here
[3577] 3:08:48	and translating what's there.
[3578] 3:08:51	So,
[3579] 3:08:53	so basically it just if you take this
[3580] 3:08:56	literally it's just like Saul was
[3581] 3:09:00	years old year old.
[3582] 3:09:03	literally year old.
[3583] 3:09:06	Yes, all was old. He had already
[3584] 3:09:08	prophesied. So, um and reigned
[3585] 3:09:12	two years. That's all that's left of the
[3586] 3:09:14	text.
[3587] 3:09:16	So, it's it's it's kind of easy to see
[3588] 3:09:18	what happened here. Uh either the most
[3589] 3:09:21	likely this was a chapter break,
[3590] 3:09:24	so maybe a beginning of a new scroll or
[3591] 3:09:27	something, or at the beginning it got
[3592] 3:09:28	sort of moth eaten.
[3593] 3:09:31	So,
[3594] 3:09:36	uh keeps learning. Says, "But verse one
[3595] 3:09:38	wasn't added or a scribal gloss." Oh,
[3596] 3:09:40	no. No. I don't think I don't think
[3597] 3:09:41	verse one was was added or a scribal
[3598] 3:09:44	gloss. No, it's not that. Scrial glosses
[3599] 3:09:46	don't work that way. Uh scribal glosses
[3600] 3:09:49	don't work by adding fragmentaryary
[3601] 3:09:51	texts.
[3602] 3:09:55	The way scribal glosses generally work
[3603] 3:09:59	is they take an existing text and they
[3604] 3:10:02	add stuff into it. Okay.
[3605] 3:10:06	[laughter]
[3606] 3:10:07	Baby soul pulling highrung bows and
[3607] 3:10:09	swinging swords.
[3608] 3:10:12	[laughter]
[3609] 3:10:14	That's me. Could be
[3610] 3:10:17	seek
[3611] 3:10:21	might have been deliberately removed as
[3612] 3:10:22	some sort of slight against salt. Yeah,
[3613] 3:10:24	but then they would have just removed
[3614] 3:10:25	the whole text.
[3615] 3:10:27	You know, it doesn't make any sense for
[3616] 3:10:28	them just to remove a couple words out
[3617] 3:10:29	of the middle of the text. That that's
[3618] 3:10:31	not the way this works.
[3619] 3:10:34	As I said, the most likely expectation
[3620] 3:10:36	here is that the text was damaged. You
[3621] 3:10:39	know, it was written on parchment or
[3622] 3:10:40	papyrus. some bug got in there and ate
[3623] 3:10:44	the words.
[3624] 3:10:46	That's that's really the most likely
[3625] 3:10:49	situation. And given that it's at the
[3626] 3:10:52	beginning of a paricopy, it's more
[3627] 3:10:54	likely that that's where you're going to
[3628] 3:10:55	get damage. You're going to get most
[3629] 3:10:58	most likely you're going to get damage
[3630] 3:10:59	at the beginning of a text. Okay. Uh
[3631] 3:11:02	there's a reason why. And if it's at the
[3632] 3:11:05	beginning of a scroll,
[3633] 3:11:09	um, it's exposed to the most elements.
[3634] 3:11:13	So the beginnings of text tend to be the
[3635] 3:11:15	most fragmentaryary, the most moth
[3636] 3:11:17	eaten, the ones that are most
[3637] 3:11:19	susceptible to to bug damage or mold.
[3638] 3:11:25	So,
[3639] 3:11:27	it's probable here that that uh 1st
[3640] 3:11:32	Samuel 1-12 was on a different scroll
[3641] 3:11:34	than 13 and following. How many times
[3642] 3:11:37	how much more do we have to First Samuel
[3643] 3:11:39	here? Oh, yeah. We got lots of the Yeah.
[3644] 3:11:43	So, with 31 chapters, I'm of the opinion
[3645] 3:11:48	that it's probably the the copy of 1st
[3646] 3:11:51	Samuel 13 began a scroll, was um
[3647] 3:11:55	infested with bugs or something, got
[3648] 3:11:57	eaten, and they're just the scribes are
[3649] 3:11:59	just doing the best with what they got.
[3650] 3:12:02	And again, the translations are going to
[3651] 3:12:03	have to translators are going to have to
[3652] 3:12:05	make do with that.
[3653] 3:12:13	Scott says, "Such a typo could only be
[3654] 3:12:15	done if there were a very few copies in
[3655] 3:12:17	circulation or during literacy being at
[3656] 3:12:20	a low web." Yeah, that happened. There
[3657] 3:12:23	was times when literacy was at low and
[3658] 3:12:25	there was a time when very few copies
[3659] 3:12:27	were in circulation.
[3660] 3:12:30	The fact is that 1 Samuel was not
[3661] 3:12:32	exactly a high priority book
[3662] 3:12:35	to to ancient you know um Iron Age Iron
[3663] 3:12:40	Age uh readers. So
[3664] 3:12:47	So I I wouldn't I wouldn't have any
[3665] 3:12:49	doubt about that.
[3666] 3:12:52	Okay.
[3667] 3:13:10	Uh, AJ Higgins, composer, asks, "Do we
[3668] 3:13:12	have evidence that the Egyptians would
[3669] 3:13:14	use intelligent tactics to gain
[3670] 3:13:16	information out of their enemies or
[3671] 3:13:17	neighbors, like Joseph with the cup in
[3672] 3:13:19	the sack?" Oh yeah. Oh yeah. Um the
[3673] 3:13:22	Egyptians had spies. They used spies.
[3674] 3:13:27	Um
[3675] 3:13:30	um they would they would pay for
[3676] 3:13:33	information. They used information. Uh
[3677] 3:13:36	they used informants and enemy uh enemy
[3678] 3:13:39	combatants also sent out false
[3679] 3:13:41	informants.
[3680] 3:13:44	We do have one text
[3681] 3:13:47	where a general
[3682] 3:13:50	uh pays for information,
[3683] 3:13:53	finds out it's a false informant,
[3684] 3:13:56	brings the false informant to the gate
[3685] 3:13:59	to this to the city and has them
[3686] 3:14:01	executed right there.
[3687] 3:14:05	Yeah. So intelligence gathering and use
[3688] 3:14:10	of intelligence was something that the
[3689] 3:14:13	Egyptians did.
[3690] 3:14:15	So um
[3691] 3:14:19	as was counter intelligence. Counter
[3692] 3:14:21	intelligence was also used.
[3693] 3:14:29	So yeah.
[3694] 3:14:32	Uh Timara says, "I can hear Muslims
[3695] 3:14:35	scream about the corruption of the Bible
[3696] 3:14:36	based on 1st Samuel 13:1." Well, they
[3697] 3:14:39	can scream all they want. I mean, that
[3698] 3:14:41	doesn't change anything. I mean, here's
[3699] 3:14:43	the thing. Um
[3700] 3:14:47	where where are the where's where's
[3701] 3:14:49	these Islamic texts? Oh, they burned
[3702] 3:14:52	them.
[3703] 3:14:57	How convenient.
[3704] 3:14:59	They took the original manuscripts and
[3705] 3:15:00	they burned them.
[3706] 3:15:04	It's the proof. The proof.
[3707] 3:15:08	Yeah. Well,
[3708] 3:15:14	yeah. Show us your your text and we'll
[3709] 3:15:16	show us we we'll show you show you ours.
[3710] 3:15:19	Yeah. Good luck on that.
[3711] 3:15:26	Hey, at least we didn't go out of our
