[0] 0:01	foreign [Music]
[1358] 2:35:57	is Jesus only had a mother therefore he must have been biologically female
[1359] 2:36:03	oh yeah that's that's a new one for me I haven't heard that one before but
[1360] 2:36:10	yeah that would that would please
[1361] 2:36:16	yeah you do get some pretty awful arguments out there foreign
[1362] 2:36:23	here's one I've actually heard in sermon um
[1363] 2:36:30	and I'll give you actually two of these that I've heard that are really awful terrible
[1364] 2:36:36	absolutely terrible arguments but you still hear them still hear him floating around
[1365] 2:36:42	um dinamos in the Greek means to have power like dynamite
[1366] 2:36:49	therefore dinamos means the explosive power of God
[1367] 2:36:58	[Laughter]
[1368] 2:37:03	no dinamos in the Greek does not mean Dynamite
[1369] 2:37:09	oh yeah we all did we all grew up with that one it's it's terrible and it's it's a false
[1370] 2:37:15	etymology it's an anachronistic etymology you know it just means to do or be able that's
[1371] 2:37:23	what it means in the Greek it it has nothing nothing to do with explosive energy
[1372] 2:37:30	it doesn't make a good sermon the other terrible one I hear a lot and
[1373] 2:37:37	it still Cycles to this day is the whole um uh Eros phileo Agape sermon
[1374] 2:37:46	oh you hear that one all the time um the the idea that you have three
[1375] 2:37:52	kinds of love in in the New Testament you have Eros um uh erotic love uh phileo brotherly
[1376] 2:38:01	love and Agape Divine love uh
[1377] 2:38:06	and pastors always Trot this out when they are trying to show their congregation that they know Greek and
[1378] 2:38:12	the only thing it proves is that their pastors don't know Greek um
[1379] 2:38:18	yeah that that's that sermon has been debunked so many times it isn't even
[1380] 2:38:23	funny the fact is agapo and phileo mean the exact same thing
[1381] 2:38:29	uh it's just you know and if you want to source for this uh
[1382] 2:38:34	look you can look it up in uh um the a Carson's exegetical fallacies
[1383] 2:38:40	it was just an excellent book and goes through a lot of this material so
[1384] 2:38:45	again yeah it's uh yeah that's a terrible sermon it should
[1385] 2:38:52	it hasn't been you haven't found that in a commentary in over 150 years
[1386] 2:38:58	it's that bad
[1387] 2:39:03	yeah yeah that means recycling 150 year old sermons that's exactly what it means
[1388] 2:39:08	it's just you know terrible terrible
[1389] 2:39:13	um so you know it's just there's a lot of bad bad arguments out
[1390] 2:39:20	of there out there and you know just well I mean we
[1391] 2:39:26	we heard one today you know uh earlier in the live stream where you know well
[1392] 2:39:32	because the Bible mentions slavery it mentions uh it it condones it
[1393] 2:39:41	well I mean that's a bad biblical argument it's a terrible argument
[1394] 2:39:46	you know the Bible mentions all sorts of things it doesn't condone you know it has
[1395] 2:39:54	um sexual assault betrayal lying it mentions all these things doesn't
[1396] 2:40:00	condone any of it you know so you know you have both
[1397] 2:40:06	Christians and non-christians using bad biblical arguments but for different reasons
[1398] 2:40:12	so
[1399] 2:40:22	uh so anyway uh let me get off my soapbox
[1400] 2:40:29	on this one at this point but yeah there's a lot of them there's a lot of bad biblical arguments floating around
[1401] 2:40:35	and again for different reasons and for um different causes so anyway I want to thank you very much
[1402] 2:40:42	for the Super Chat and um oh boy that's why channels like this
[1403] 2:40:47	exists because of stuff like that
[1404] 2:40:55	all right so let's get back to the next Super Chat here
[1405] 2:41:34	all right Captain set for two dollars thank you very much Super Chat hello a question in the live chat
[1406] 2:41:43	okay did he post a question or
[1407] 2:41:53	are they just asking for us to pick one in the live chat
[1408] 2:42:04	it does not seem he has one at least not nearby uh which one did you mean if you're
[1409] 2:42:10	still watching um
[1410] 2:42:22	I made a note yeah we it's not clear from the question
[1411] 2:42:29	oh we'll just take one from the live chat here and uh if he comes back with a question we'll answer that too
[1412] 2:42:39	out yeah I don't either
[1413] 2:42:55	okay
[1414] 2:43:07	so let's see what we got
[1415] 2:43:37	yeah there's a couple headers here right underneath that are that are actually pretty good I'm just trying to choose which one
[1416] 2:43:46	okay I'll take this one from um gizgo sbol
[1417] 2:43:51	foreign
[1418] 2:43:56	letters uh LMR 15 and elemarn is 16 weren't found at amarna
[1419] 2:44:02	the former was bought at a market and the ladder from an Antiquities Trader how could they have
[1420] 2:44:09	been moved so uh been far from the Amana big site
[1421] 2:44:15	oh boy looters yeah
[1422] 2:44:21	what's up uh any any
[1423] 2:44:29	doesn't make it questionable well anytime you find something on the Antiquities Market you got a question it
[1424] 2:44:37	um but at the same time too uh something like this can be awful hard to
[1425] 2:44:44	forge as well unless you're quite experienced at
[1426] 2:44:49	um doing cuneiform tablets like this so you know
[1427] 2:44:57	but yeah these sites were all subject to looting all of them
[1428] 2:45:04	and looting has been going it's still going on in Egypt you know I did a
[1429] 2:45:10	I was where was I now at um I went out to a little site that was
[1430] 2:45:17	basically across the street from uh cars uh power cars home the one he
[1431] 2:45:24	stayed at when he lived in Egypt and um you just actually go just a little
[1432] 2:45:32	to right across the street there's a little side garage that goes up to the Valley of the monkeys and you just go
[1433] 2:45:39	across the street and you can take a photograph and you see all the holes
[1434] 2:45:44	in the ground from the Looting I took a couple photographs of them and you could just see where all the looters
[1435] 2:45:51	have been I mean it looks the ground there looked like a
[1436] 2:45:56	um um like like had been cratered like a
[1437] 2:46:02	moonscape I mean six foot holes everywhere everywhere all across the landscape
[1438] 2:46:10	and all this has been looting activity people digging down into the soil
[1439] 2:46:16	looking for tombs to Rob
[1440] 2:46:23	the fact is that mostly sites are not guarded 24 7.
[1441] 2:46:28	very few of them are um today amarnes is Garden
[1442] 2:46:36	uh the Antiquities Authority has now placed his guards on all major sites
[1443] 2:46:41	there's a lot of small sites that have work guarded there were small sites there's also
[1444] 2:46:48	sites where the guards can be bought okay bribery is common
[1445] 2:46:55	bribery is so common in Egypt that all you have to do is pay a guard 50 us to
[1446] 2:47:02	look the other way uh it used to be worse in the past
[1447] 2:47:09	so at the time when Petrie was Excavating at amarna uh yeah the Looting was Rife
[1448] 2:47:18	and you know you can just slip a slip a couple dollars to a
[1449] 2:47:24	a guard and you know hey bring your friends and dig up the site and be gone by Dawn
[1450] 2:47:32	so that's typically how that worked so looting is such so common in Egypt and
[1451] 2:47:40	it's such a problem that it's it's everywhere it's absolutely everywhere
[1452] 2:47:45	now you can go to to a lot of shops in in Egypt
[1453] 2:47:52	and you could find both counterfeit and real
[1454] 2:47:57	Antiquities being sold by the locals and these have come from looting
[1455] 2:48:05	when I last time I was in Egypt there was this a little shop
[1456] 2:48:12	I was with a tour group and there's this little shop that was
[1457] 2:48:19	selling papyrus now they were a Papyrus one of these tourist Papyrus factories okay
[1458] 2:48:28	but they were selling some other things too um
[1459] 2:48:33	they had like oil lamps they had uh they had a little
[1460] 2:48:40	um canopic jar box a box for kenobic jars you know you know they didn't just make
[1461] 2:48:48	this thing they they looted it from somewhere and it was totally genuine
[1462] 2:48:54	and you know one of the people on the tour asked me should I buy it I said only if you want five to ten years in a prison
[1463] 2:49:02	um because purchasing Antiquities in Elite in in Egypt is illegal
[1464] 2:49:09	and they count an Antiquity any object that's over 100 years old
[1465] 2:49:14	so yeah that's that's a way to spend hard time is to buy stuff like that
[1466] 2:49:23	so that's how these things get onto the the market is corruption
[1467] 2:49:30	and looting so anyway thank you very much for the questions Seb for sponsoring a question
[1468] 2:49:35	I hope it was supposed to be sponsored uh very much appreciated and uh thank
[1469] 2:49:41	you for the Super Chat
[1470] 2:49:47	um come on
[1471] 2:49:57	okay um
[1472] 2:50:04	where does he say that oops get the wrong one
[1473] 2:50:10	okay uh it can be yes
[1474] 2:50:17	but okay the question is what about Eros is it distinct from agape and phileo
[1475] 2:50:22	it is distinct but the the thing with the somatic range
[1476] 2:50:27	of Eros is it's not just say erotic love it can also be passionate love
[1477] 2:50:33	okay so it it's it's it can be been following
[1478] 2:50:40	one's Passions but then again too that can also overlap
[1479] 2:50:45	with the meaning of phileo and that's the problem here is all these these a lot of these words for love overlap
[1480] 2:50:58	yes um there is a I think it was John 3. let me
[1481] 2:51:04	just check this here for a moment it's in one of the uh johannine Epistles
[1482] 2:51:13	uh where
[1483] 2:51:29	it's third John but maybe it isn't
[1484] 2:51:35	yeah it's in one of the Johanna let's but let me see if I can find it
[1485] 2:52:01	yeah there's one statement I don't remember where it is exactly where
[1486] 2:52:10	two apostates um follow after they're lost
[1487] 2:52:16	and the I think it's either flail or agapa o which is used
[1488] 2:52:23	as uh in that context so it's it's it's it's not always clear
[1489] 2:52:30	the boundaries of these words so you know in the case of Eros it can mean
[1490] 2:52:37	erotic love it can also mean say passionate love same can be said with phileo as well though
[1491] 2:52:44	um phileo and agapo are actually synonymous terms
[1492] 2:52:51	um the only difference between um
[1493] 2:52:57	Agape is that agapa oh
[1494] 2:53:02	um it doesn't have say the secondary meaning that you sometimes encounter
[1495] 2:53:08	with phileo a phileo was in the first century confused with
[1496] 2:53:14	foneo which meant to kiss so just to make sure
[1497] 2:53:21	um people weren't using that secondary Associated term with phileo people would
[1498] 2:53:28	often substitute agape okay but Agape oh and folio mean the
[1499] 2:53:33	exact same thing in most contexts um which is just love essentially
[1500] 2:53:41	so today I hope that answers your question Chao Yi um it's a good question
[1501] 2:54:00	all right uh next Super Chat here is
[1502] 2:54:10	okay okay is from Addison where it looks like
[1503] 2:54:17	make sure that oh yeah yeah from Addison Weir
[1504] 2:54:24	uh for 4.99 thank you very much for the Super Chat with summon my height six feet be
[1505] 2:54:29	considered a giant in ancient Israel probably not
[1506] 2:54:39	um oh boy um
[1507] 2:54:46	now we do have a text um talking about Goliath
[1508] 2:54:54	as being four qubits now let me see if I can find this here
[1509] 2:55:05	it is it in the Septuagint I think
[1510] 2:55:16	yeah the Septuagint records in first Samuel 17 4 that Goliath was four cubits
[1511] 2:55:23	which is six feet okay now
[1512] 2:55:30	the masoretic text uh puts Goliath at nine
[1513] 2:55:36	feet that's definitely more of a giant uh the Dead Sea Scrolls also confirms
[1514] 2:55:43	the masoretic text reading here okay so I would doubt the average height of
[1515] 2:55:49	people in ancient times was really more about five feet
[1516] 2:55:55	okay um and of course people would range between
[1517] 2:56:00	4.8 and 5.2 but you know you did get a few people who were you know
[1518] 2:56:07	six feet tall even in back then a lot of what was height what determined
[1519] 2:56:14	height was a matter of a diet and environment so
[1520] 2:56:22	so somebody six feet tall would not necessarily be considered a giant in ancient Israel
[1521] 2:56:29	but much taller than that would so you know so many four cubits probably
[1522] 2:56:36	not considered a giant uh even though the septuagens calls
[1523] 2:56:42	Goliath it's a giant but you would find that there were
[1524] 2:56:50	much beyond that say I mean somebody six four might be so again it depends on you know context
[1525] 2:56:58	here uh six someone six eight probably would be considered Giant
[1526] 2:57:04	because again you're pushing that seven foot limit here so
[1527] 2:57:10	um again uh in the case of Goliath here it was
[1528] 2:57:16	um six cubits and a span or four qubits and a span in this in
[1529] 2:57:21	Septuagint so you're talking six seven feet
[1530] 2:57:27	roughly so anyway uh no probably not at six feet
[1531] 2:57:33	you probably would not be considered a giant at six feet sorry
[1532] 2:57:38	[Laughter] now I know I know that you want to hear
[1533] 2:57:44	otherwise so you'll always be considered a giant to me
[1534] 2:57:53	thank you very much for the Super Chat very much appreciate it
[1535] 2:58:04	okay uh Moises Salazar for 20 thank you very much for that generous Super Chat
[1536] 2:58:10	hello Dr folk please comment about the quartz bed underneath the Great Pyramids does it have metaphysical significance
[1537] 2:58:18	what quartz bed there's no quartz bed under the pyramids uh this is this is the fantasy of new
[1538] 2:58:25	agers who think everything is based on crystals
[1539] 2:58:30	um
[1540] 2:58:36	there's a lot I mean that that area is well quarried here's the thing about the pyramids
[1541] 2:58:43	uh we know the geology of the area the geology area is almost entirely limestone
[1542] 2:58:49	it's almost entirely limestone it's a it's actually a sandwiching of
[1543] 2:58:56	hard and soft limestones uh you can actually go to the Great
[1544] 2:59:02	Pyramid and it's sort of set inside of a quarry
[1545] 2:59:08	and you can see the back of the quarry on the other side of the pyramid
[1546] 2:59:13	so you can actually see from where it was actually ex uh um
[1547] 2:59:21	um a cut okay
[1548] 2:59:30	well no there isn't and the reason why there isn't is I mean
[1549] 2:59:35	there might be some some sand mixed with the lime uh uh sand mix with a limestone sure
[1550] 2:59:41	but that's all that sand came in off the desert that was later
[1551] 2:59:47	that whole bed was cleared away when the pyramid was made okay so it's not
[1552] 2:59:54	resting on sand it's on bedrock it's on limestone
[1553] 3:00:03	and you can actually walk around the pyramid and you you're walking on limestone you're not walking on sand
[1554] 3:00:10	so the whole the whole Giza Plateau is limestone it's Limestone that's about I
[1555] 3:00:17	think about 15 million years old I mean it's it's a really ancient Limestone and
[1556] 3:00:23	it's deep it that whole area used to be a um
[1557] 3:00:28	um what's called a um
[1558] 3:00:33	it was a runoff from uh from from Africa that sort of uh ran off into the
[1559] 3:00:42	Mediterranean so um there's no quartz bed underneath the
[1560] 3:00:50	pyramids but uh it's all it's as I said it's all Limestone going straight down
[1561] 3:00:57	um it's all it's all Limestone and there's no sand bit underneath it it wasn't built on Sand all that sand came
[1562] 3:01:04	in off off that you see around the pyramids that came off the desert
[1563] 3:01:09	or at least was swept away from the plateau before was construct on
[1564] 3:01:15	one of the things we know about there were a couple pyramids that were con uh built on Sand beds
[1565] 3:01:22	uh further south at Sakara they didn't last very long
[1566] 3:01:28	one of the things about Sans it tends to shift though having building a pyramid on Sand
[1567] 3:01:36	does tend to lead to um architectural failure
[1568] 3:01:49	yeah one thousand clever boys said yeah Jesus warned about building on sand
[1569] 3:01:56	well it's true [Laughter]
[1570] 3:02:04	so yes um yeah there's no metaphysical
[1571] 3:02:10	significance because there's no course bed underneath here actually we've even drilled further down
[1572] 3:02:16	on oh not we but uh the Egyptians went quite deep into like there's a tomb in
[1573] 3:02:22	the middle of the plateau uh considered to be what's called an Osiris tube it
[1574] 3:02:28	goes down 60 feet underneath the the Bedrock so it goes straight down in the Bedrock
[1575] 3:02:34	there's no sat there's no quartz bed underneath there so yeah this is all this is just the
[1576] 3:02:39	fantasies of of new agers Lucy Pyramid Power think crystals and
[1577] 3:02:45	you know combine the two and you get well quartz beds under the pyramid
[1578] 3:02:51	so um I wouldn't pay much attention to that
[1579] 3:02:57	so anyway thank you very much for the Super Chat very much appreciate it
[1580] 3:03:13	okay and
[1581] 3:03:21	okay uh Danny Ray for 199 thank you very much
[1582] 3:03:27	for the Super Chat sponsoring Lego David's last question okay let's see
[1583] 3:03:32	here see where's his question
[1584] 3:03:54	hmm okay this is the one he's talking about here
[1585] 3:04:00	what even is evidence according to the Skeptics uh
[1586] 3:04:06	having an identical Exodus story told from the Egyptians perspective you know
[1587] 3:04:12	what um we've seen this happen before okay we're a historical account will
[1588] 3:04:20	um correlate and identify some event in the Bible and the first things the Skeptics are
[1589] 3:04:27	going to say is well you know it's not the same story
[1590] 3:04:33	so it's it's it's it's it's so it's not evidence for the for the original story
[1591] 3:04:40	um and again this is this this is this is tactics like like what Josh Bowen does and other Skeptics it's like oh
[1592] 3:04:46	it's not the same Israelites oh it's not the same uh Siege of
[1593] 3:04:52	Jerusalem it's not the same fall of
[1594] 3:04:58	um of tire now it's it does get it does get
[1595] 3:05:05	um it does get a little odd really so
[1596] 3:05:11	it it boils down to almost like a kind of ad hoc reasoning where
[1597] 3:05:19	where no evidence is is it is you know
[1598] 3:05:25	considered to be sufficient there's no evidence that will even consult
[1599] 3:05:33	so um even if you found a sign out of varus
[1600] 3:05:41	that says the Israelites were here it would not cut it for them
[1601] 3:05:48	it would not cut it for him you know that that's really I mean this
[1602] 3:05:54	it's the will to not believe it's the will to doubt no you're not going to have any evidence
[1603] 3:06:02	that's so strong that it would convince them
[1604] 3:06:09	so you know I don't know what else I can say on this it's just you know
[1605] 3:06:15	uh they're you know they'll they'll use they're
[1606] 3:06:20	using more than one evidentiary standard you know
[1607] 3:06:25	they have one standard for secular events and another standard for say
[1608] 3:06:30	biblical events and you know it's a double standard it's a double standard the same evidence
[1609] 3:06:37	that would suffice in in affirming say a secular event no longer
[1610] 3:06:44	suffices for a Biblical event even if that biblical event is just a
[1611] 3:06:50	naturalistic Biblical event I mean you could have a Biblical event that's 100 natural no God being involved
[1612] 3:07:00	at all and they would still say it's not evidence
[1613] 3:07:05	you know even if the evidence is like like totally clear
[1614] 3:07:11	you know you know it's just it it gets it gets it
[1615] 3:07:17	gets tiresome gets tiresome it's like
[1616] 3:07:22	you know but
[1617] 3:07:28	you know what could you say you know even if you as I said even if you had a sign that said the Israelites
[1618] 3:07:34	were here still wouldn't buy it still wouldn't bite
[1619] 3:07:39	because you have you do have a sign from the Egyptians that says the
[1620] 3:07:44	Israelites were there in Canaan and they still don't buy it
[1621] 3:07:51	you know what what do you need you you've got you've got a sign essentially a sign from the Egyptians dated the 1217
[1622] 3:08:00	BC saying the Israelites were in Canaan and you still have Skeptics going well
[1623] 3:08:06	that's not evidence for the Israelites it's not the same Israelites
[1624] 3:08:11	good grief
[1625] 3:08:17	the incredulity of that is just you know it's it's hard to Fountain that
[1626] 3:08:22	kind of incredibility but it's the incredibility that exists so
[1627] 3:08:32	so you know you're just you're just dealing here with somebody with such strong core beliefs that
[1628] 3:08:39	they don't want to believe in that the Bible has any truth at all that so they won't find it
[1629] 3:08:45	they're they're looking for reasons to dial and they will find it
[1630] 3:08:54	thanks
[1631] 3:09:00	get that up there yes uh exegetical apologetics says my
[1632] 3:09:07	understanding is that the evidence is whatever raises the probability of a proposition yes it does
[1633] 3:09:13	that is that is that is a classical definition of evidence you know it's not necessarily even proof
[1634] 3:09:20	but it does raise the probability so
[1635] 3:09:25	to say that there's no evidence for the Exodus is to ignore anything that raises
[1636] 3:09:33	probability well you can have some very very mundane evidence that raises probability
[1637] 3:09:42	you know as I said you know we have a city in in the Nile Delta that dates to the
[1638] 3:09:49	13th century that was full of Semitic people that raises the probability even if it's
[1639] 3:09:57	just a brace of probability by one percent that still raises the probability
[1640] 3:10:05	and that probability means that there is evidence
[1641] 3:10:21	but I mean evidence admittedly evidence does change with degree you know you can
[1642] 3:10:28	have a case that has weak evidence you can have a case with moderate evidence you can have a case with strong evidence
[1643] 3:10:35	but to say there's no evidence you better have a pretty good threshold
[1644] 3:10:42	for that I mean you're to say there's no evidence it means there's zero evidence nothing at all to support the
[1645] 3:10:51	claim at in the slightest
[1646] 3:10:56	so if you get people who are just going off saying there's no evidence
[1647] 3:11:03	but you have something that raises the probability those are two mutually
[1648] 3:11:08	incompatible statements they're contradictions no yeah
[1649] 3:11:17	yeah so yeah
[1650] 3:11:22	so to say then for example well you know there's no evidence of the Israelites living in Canaan in the
[1651] 3:11:30	um in the 13th century in the very late 13th century
[1652] 3:11:36	uh uh yes there's there's evidence for that and written evidence but for them it's
[1653] 3:11:43	just like oh they just gotta it's like those pesky other Israelites
[1654] 3:11:52	laughs [Laughter]
[1655] 3:11:58	I mean it's just like was this some weird surreal version of Scooby-Doo where you pull off the mask
[1656] 3:12:04	and it's a different Israelite underneath the mask [Laughter]
[1657] 3:12:14	I'm so so bizarre oh bizarre
[1658] 3:12:22	[Laughter] those pesky kids
[1659] 3:12:29	would have gotten away with it too if it wasn't for those pesky kids
[1660] 3:12:37	[Laughter]
[1661] 3:12:44	[Laughter] [Music]
[1662] 3:12:50	but that's that's what we've did this is what has generated into
[1663] 3:12:57	you know yeah under under the geysers under the um uh the guy's a scholarship
[1664] 3:13:05	no
[1665] 3:13:17	there's evidence
[1666] 3:13:22	[Laughter] yeah oops
[1667] 3:13:30	yo doctor folks should do voice acting
[1668] 3:13:35	ah it's very hard to break into voice acting by the way very hard
[1669] 3:13:41	uh it's very very difficult to break into
[1670] 3:13:46	it I knew somebody who used to do voice acting for Disney
[1671] 3:13:51	and it it's quite difficult it's quite difficult to break into it
[1672] 3:13:58	I think it's in tuning now that they're doing a lot
[1673] 3:14:03	more dubbing for anime but uh it's still a closed Circle
[1674] 3:14:11	you are it's very difficult to get in very very difficult
[1675] 3:14:18	and there's a lot of people who want to do it now so there's also now a lot of competitionism also so
[1676] 3:14:31	I have considered it to earn a little extra money here and there uh
[1677] 3:14:37	Ben Ray says I think there's a shortage right now well there might be a shortage but I also
[1678] 3:14:44	but I also also know it's not a lot of money too so
[1679] 3:14:50	anyway that's my thought on the history the evidence uh the what is evidence question
[1680] 3:14:57	um I want to thank you for that question and let's get back to
[1681] 3:15:02	we were here
[1682] 3:15:09	where are we okay there's the
[1683] 3:15:15	pyramid button
[1684] 3:15:23	uh thank you to Daniel Ray for sponsoring that last question
[1685] 3:15:33	as we're for 4.99 thank you very much for the Super Chat
[1686] 3:15:38	best books on dealing with difficult Bible passage I.E the ones
[1687] 3:15:43	bring up in trying to discredit the faith yes there was one I came across some really
[1688] 3:15:51	recently um there's a guy who specializes in this
[1689] 3:16:01	let's see if I can find it Paul Copan he does those sorts of books
[1690] 3:16:10	um where he will take Bible difficulties and engage them
[1691] 3:16:17	um Copan if he did a book that was called is God a moral monster
[1692] 3:16:23	but he's done other books too that are basically talk about discuss Bible
[1693] 3:16:30	difficulties um another one he does is
[1694] 3:16:38	um is God a vindictive bully did God really command genocide
[1695] 3:16:46	um I think he's he's done some other ones as well
[1696] 3:16:52	but he'll take topics like uh like a variety of topics and sort of
[1697] 3:16:57	um do difficult passages now I haven't read a lot of his books to be honest because you know I've I've already had
[1698] 3:17:03	my own solutions to a lot of these problems but um but that's who I would probably say
[1699] 3:17:09	is is probably filling that Niche right now um in a past generation Gleason Archer
[1700] 3:17:17	tried to do this um he had it in Psycho a little book called the Encyclopedia of Bible
[1701] 3:17:23	difficulties it wasn't very good um it it had a lot of flaws that book
[1702] 3:17:30	but it was also an attempt to fill that niche
[1703] 3:17:35	Copan is at least trying to do that in a serious way
[1704] 3:17:42	now I don't agree with coupon on everything I know he's a presuppositionalist
[1705] 3:17:52	I agree with him on everything okay but I know he's at least trying to fill that niche
[1706] 3:17:59	so anyway I hope that helps thank you very much for the Super Chat very much appreciate it
[1707] 3:18:09	Andrew Mansour for 550 Canadian thank you very much for the Super Chat hi doctor congrats on three years well
[1708] 3:18:16	thank you very much it's been a worldwide recently discovered an icon of Joseph
[1709] 3:18:22	from Genesis with Pharaoh attire didn't he know cons didn't he know
[1710] 3:18:30	didn't know he's considered a saint any details um
[1711] 3:18:36	I'm not sure about the sainthood of of Joseph
[1712] 3:18:44	um I know that a lot of uh religions you
[1713] 3:18:50	know while they they you almost have to be a new testament figure or church or a church Saint to be
[1714] 3:18:58	considered uh canonized for sainthood um the Patriarchs are not always
[1715] 3:19:03	considered to be Saints it depends on the religion though but something I definitely are
[1716] 3:19:11	so as far as that goes um Joseph would not have been dressed in
[1717] 3:19:18	faironic attire okay so he would not have been wearing a nemes crown he probably would not have been wearing the
[1718] 3:19:24	Kilt um as vizzier he would have had something very interesting as far as
[1719] 3:19:31	there's a there's a specific outfit that the vizier wears and is this actually
[1720] 3:19:37	even referred to in scripture which is actually really interesting uh see if I can find it here
[1721] 3:20:10	yeah it depends it depends on it depends on the specific denomination some some do some don't
[1722] 3:20:17	so yeah it's mileage will vary on that one
[1723] 3:20:23	okay um here this is the passage here uh talking about Joseph when he's made
[1724] 3:20:28	vizier uh verse 42 then Pharaoh took off his
[1725] 3:20:33	Signet ring from his hand and put it on Joseph's hand okay this is the Seal of the treasury
[1726] 3:20:39	and we do find examples of people claiming to be the sealed bearer of the
[1727] 3:20:44	treasury okay so this is a common it's not common title it's a very special title in in
[1728] 3:20:50	Egyptian culture but it's uh it's an important position so anyone who held
[1729] 3:20:56	this position would include it on their tombs but this is the next part is interesting and clothe him in garments of fine linen
[1730] 3:21:04	put the gold necklace around his neck now the gold necklace that's a that's like the Congressional Medal of Honor
[1731] 3:21:11	of Egyptian Society you see several scribes priests
[1732] 3:21:17	um special officials who got this chain of gold but what's often overlooked is and
[1733] 3:21:23	clothe him in garments of fine linen now most of the time the Pharaoh does not
[1734] 3:21:30	provide garments this is not something that's that's normally provided by the king
[1735] 3:21:37	but what's interesting about this in the case of a vizier okay
[1736] 3:21:42	is visitors have special robes okay you can see this there's a it is in
[1737] 3:21:51	I believe it's in it is in it's in the Tomb of wreck Murray
[1738] 3:21:56	um he was busier under Moses the third it's theben 2 100.
[1739] 3:22:02	where you can actually see him clothed in the garments of the vizier and it's very different than
[1740] 3:22:10	any other style addressed in ancient Egypt the it's actually think of it like this
[1741] 3:22:16	it's like almost like a dress a full body robe that comes up
[1742] 3:22:22	to under the armpits and is tied across the chest and then goes right down to the feet
[1743] 3:22:30	only visitors wore this now interestingly enough I have never
[1744] 3:22:37	seen an icon where Joseph has been dressed in proper vizier attire
[1745] 3:22:42	okay but then again I've also haven't seen done in a movie either
[1746] 3:22:48	[Laughter]
[1747] 3:22:55	I have never seen uh Joseph dressed correctly once
[1748] 3:23:02	in a single movie in a single icon and uh
[1749] 3:23:09	uh so yeah there's um
[1750] 3:23:14	it is it is a very unique form of dress very unique
[1751] 3:23:19	uh but it's not terribly it's not flashy it's not flashy
[1752] 3:23:25	and it looks a bit weird because it looks more like a woman's modern dress
[1753] 3:23:30	uh than it does anything that you would think is a manly clothing
[1754] 3:23:38	uh yeah well I'm not surprised that a Google image just has has icons of it uh
[1755] 3:23:45	photos of it but because it's a very famous scene it's a very famous scene um that one from the tomb of wreck
[1756] 3:23:52	Murray so we know how viziers dressed it was
[1757] 3:23:57	very unique it's not something a Clothier would just have
[1758] 3:24:03	um so the Pharaoh would have provided that so anyway I hope that answers your
[1759] 3:24:10	question thank you uh Bonbon asked were visitors Rich yes
[1760] 3:24:20	short answer yes uh visitors were rich uh very wealthy very wealthy
[1761] 3:24:29	um here's the question here uh we're
[1762] 3:24:36	ancient is Egyptians visitors Rich yes yes they were very wealthy uh they would
[1763] 3:24:42	have lands servants many servants um
[1764] 3:24:47	probably multiple States yeah Egyptian uh visitors were very
[1765] 3:24:52	wealthy and oftentimes we're even able to pass some of the titles down to their
[1766] 3:24:58	children as well so uh they were some of the richest people
[1767] 3:25:05	in all of Egypt and some of that was gained honestly some of that was gained dishonestly let's be blunt about this a lot of
[1768] 3:25:13	people would pay visitors for favors
[1769] 3:25:19	so but even an honest vision would expect to earn quite the living
[1770] 3:25:31	so anyway thank you for that question as well okay let's go to the next Super Chat
[1771] 3:25:36	here uh it's getting to 11 30 so we might have to pick up the pace a bit
[1772] 3:25:54	okay so we have just finished with Andrew's question
[1773] 3:26:00	again thank you very much for the Super Chat next one here
[1774] 3:26:12	I think we're getting close to the end up okay the next one here is from uh Josh
[1775] 3:26:18	Nichols for 4.99 thank you very much for the Super Chat four theological sir uh seminaries you
[1776] 3:26:26	would recommend and four you would shy away from oh that's a tough question
[1777] 3:26:36	um wow um
[1778] 3:26:43	oh boy okay uh I would there's some I would
[1779] 3:26:49	recommend definitely some I would stay away from um no doubt about that
[1780] 3:26:57	I don't know if I can name four of each but I'll give it a go here
[1781] 3:27:02	uh uh I'd still uh I still recommend Dallas Theological Seminary
[1782] 3:27:09	I think it's a good Seminary I think there's some good great people that work there um
[1783] 3:27:15	so I would highly recommend Dallas Theological Seminary
[1784] 3:27:20	I would also recommend Talbot Talbot as far as I know is still uh very
[1785] 3:27:28	good so there's two I would recommend off the
[1786] 3:27:33	top of my head um
[1787] 3:27:39	let's see I wouldn't
[1788] 3:27:48	Trinity isn't uh Ted's not what it used to be but it might still be better than most
[1789] 3:27:55	out there so I would give Ted's a qualified
[1790] 3:28:01	recommendation
[1791] 3:28:06	um any other what I that I would recommend off the head
[1792] 3:28:11	um let's see
[1793] 3:28:19	those are the ones I can sort of Gordon Conwell okay there's a there's a fourth one
[1794] 3:28:25	Gordon Conwell I'd recommend Gordon Conwell as well
[1795] 3:28:31	okay so that's four uh now four I would shy away from
[1796] 3:28:41	I would definitely shy away from Harvard Divinity School
[1797] 3:28:46	whoa um Harvard Divinity School is just
[1798] 3:28:54	um has no oversight it's fad driven it's a terrible terrible place to get a
[1799] 3:29:01	theological education um oh there because the Harvard name but
[1800] 3:29:06	the the standards to get in are so low it's not even funny
[1801] 3:29:11	yeah Harvard is a great law school it's not a great Seminary
[1802] 3:29:19	joke it's a joke in the field it's terrible
[1803] 3:29:26	another one I would not recommend is um Shepherd Seminary
[1804] 3:29:33	I would stay away from that one like the plague uh
