[0] 0:03	and stream is
[2144] 1:52:52	audience some audience were like yes yes
[2145] 1:52:56	he spoke on this yes some were rolling
[2146] 1:53:00	their eyes going who does this guy think
[2147] 1:53:02	he is to comment on another person's
[2148] 1:53:05	paper uh but the guy come the guy gave
[2149] 1:53:09	the paper walked down the aisle
[2150] 1:53:11	afterwards came up to me and he goes you
[2151] 1:53:14	must be Dr folk so someone gave him a
[2152] 1:53:18	heads up as to who I
[2153] 1:53:20	was so
[2154] 1:53:24	um
[2155] 1:53:29	okay yeah my reputation precedes me
[2156] 1:53:36	uh so yeah um so he somebody had alerted
[2157] 1:53:42	it obviously that I was there and uh
[2158] 1:53:46	because you know he said that long
[2159] 1:53:48	before he could read my tag
[2160] 1:53:53	plus my tag doesn't say I was a that
[2161] 1:53:57	that I have a Doctrine they don't use
[2162] 1:53:58	titles on the tags
[2163] 1:54:01	so
[2164] 1:54:04	um somebody had to give him a heads
[2165] 1:54:08	up so uh yeah I mean it was pretty bad
[2166] 1:54:11	it was pretty bad the whole idea I mean
[2167] 1:54:14	he he tried to make the idea whole case
[2168] 1:54:16	that ball safon when the Israelites camp
[2169] 1:54:20	at Del saon and with The Parting of the
[2170] 1:54:23	Sea of reeds that they not only
[2171] 1:54:25	conquered Ball by passing by B but they
[2172] 1:54:30	cap conquer the sea god moot sorry sea
[2173] 1:54:34	god Yom by traveling in the midst of the
[2174] 1:54:38	sea so I mean it was really a strange
[2175] 1:54:42	paper and it it did not have a good
[2176] 1:54:44	analysis of the Egyptian religion
[2177] 1:54:48	overall so I think I think that one was
[2178] 1:54:51	pretty bad think that was pretty
[2179] 1:54:54	bad okay so thank you very much for the
[2180] 1:54:56	Super Chat very much appreciate and I
[2181] 1:54:58	hope that
[2182] 1:55:00	helped okay by the way ask for9 thank
[2183] 1:55:03	you Super Chat by the way you should
[2184] 1:55:06	have bought Andrew locus's book uh the
[2185] 1:55:08	origin of humanity and evolution unless
[2186] 1:55:11	it wasn't available I didn't see it
[2187] 1:55:14	there but I wasn't looking for it either
[2188] 1:55:16	I'd have to probably know who the
[2189] 1:55:17	publisher was
[2190] 1:55:21	um again I I just I wasn't looking for
[2191] 1:55:26	that sort of stuff and the Publishers
[2192] 1:55:30	for EPS didn't bring a huge supply of
[2193] 1:55:33	books I I sort of noticed that it wasn't
[2194] 1:55:36	like I mean in past years Publishers
[2195] 1:55:39	would bring huge piles of
[2196] 1:55:42	books and they would just sort of you
[2197] 1:55:44	know be slowly nibbled away at this year
[2198] 1:55:48	they seem to have have been very
[2199] 1:55:50	conservative about how many books they
[2200] 1:55:52	actually bought per
[2201] 1:55:57	author so it's possible that they bought
[2202] 1:56:01	brought say three to five books and they
[2203] 1:56:04	just sort of flew off the shelf the
[2204] 1:56:07	first face so I couldn't see it at
[2205] 1:56:09	all
[2206] 1:56:11	so but I didn't look for it I wasn't
[2207] 1:56:14	looking for it per se so I can't be sure
[2208] 1:56:16	about
[2209] 1:56:18	that but you know if I see it again who
[2210] 1:56:21	knows maybe I'll pick it up okay so with
[2211] 1:56:23	that said thank you much for the Super
[2212] 1:56:25	Chat very much
[2213] 1:56:33	appreciated P for $2 thank you for the
[2214] 1:56:36	Super Chat what's the difference between
[2215] 1:56:40	[Music]
[2216] 1:56:43	and I'd have to look that one up because
[2217] 1:56:45	that's not that's not turn my not off
[2218] 1:56:46	the top of my head so I'd have to look
[2219] 1:56:49	that to see what the uh Lei at e is
[2220] 1:56:54	fairly that's just the heart that's the
[2221] 1:56:56	sort of the mind of the person and it is
[2222] 1:57:01	it's the it's the one that's shown on
[2223] 1:57:03	say the weighing of the heart SE it's
[2224] 1:57:06	the mind the Consciousness the the
[2225] 1:57:09	basically the internal essence of the
[2226] 1:57:12	person
[2227] 1:57:13	itself
[2228] 1:57:15	so that's that's e and again have
[2229] 1:57:21	Bea so thank you much Super Chat very
[2230] 1:57:25	much appreciate and I hope that
[2231] 1:57:37	helps all right as we adds that Andre
[2232] 1:57:41	Locus book was published by TNT
[2233] 1:57:48	Clark
[2234] 1:57:51	uh that explains why I didn't see it TNT
[2235] 1:57:53	Clark wasn't
[2236] 1:57:56	there that's why I didn't see tnp Clark
[2237] 1:57:59	was not at ETS this
[2238] 1:58:01	year they might be at but they're not at
[2239] 1:58:05	ETS so um you know not every publisher
[2240] 1:58:09	goes to
[2241] 1:58:10	etss so you have to always keep that in
[2242] 1:58:13	mind when you're talking about what sort
[2243] 1:58:15	of books are published at certain places
[2244] 1:58:18	like you'll find like
[2245] 1:58:21	erman's Lex and
[2246] 1:58:25	press creal
[2247] 1:58:27	Publishers um Hendrickson Tindale house
[2248] 1:58:31	those are Publishers that show up at ETS
[2249] 1:58:34	every
[2250] 1:58:35	year uh T&D Clark was not there this
[2251] 1:58:39	year so so that sort of answers why I
[2252] 1:58:42	didn't see so em thank you much for this
[2253] 1:58:46	followup question or the followup
[2254] 1:58:48	comment very much appreciate
[2255] 1:58:58	so so the next one
[2256] 1:59:04	here go scroll back up
[2257] 1:59:12	[Music]
[2258] 1:59:18	here
[2259] 1:59:30	looking for a few more Super non super
[2260] 1:59:33	chats and if we don't get it we'll
[2261] 1:59:35	probably call a knight
[2262] 1:59:37	[Music]
[2263] 1:59:38	so at least at least
[2264] 1:59:44	uh uh P says we've dug up several seven
[2265] 1:59:48	cup vessels before it isn't exactly an
[2266] 1:59:50	unknown item um it's not an unknown item
[2267] 1:59:54	as far as it's being expand in archical
[2268] 1:59:57	base what's unknown was its
[2269] 2:00:01	function so that's was the big question
[2270] 2:00:03	here you know when she proposed it was a
[2271] 2:00:05	libation cup you
[2272] 2:00:07	know 50m uh cups that's too small the
[2273] 2:00:14	libation you know libation is like
[2274] 2:00:16	pouring large amounts of certain fluid
[2275] 2:00:19	so if you got tiny cups you're not doing
[2276] 2:00:21	a liation
[2277] 2:00:22	offering
[2278] 2:00:30	so so anyway uh thank you very much for
[2279] 2:00:34	the comment really appreciate and I hope
[2280] 2:00:36	that
[2281] 2:00:41	help that's admit I'm getting very tired
[2282] 2:00:44	here because it's been a very very long
[2283] 2:00:46	day we've been up since early early in
[2284] 2:00:48	the morning
[2285] 2:00:52	so uh what most high have you taken a
[2286] 2:00:55	selfie with David wood no I didn't he
[2287] 2:00:58	was rushing out of Convention Center
[2288] 2:01:00	while I was going in so I didn't get a
[2289] 2:01:02	selfie of myself with d w I did get a
[2290] 2:01:06	selfie with IP though so um IP myself
[2291] 2:01:12	and Mr
[2292] 2:01:14	EC so we hope to post that soon and very
[2293] 2:01:18	very much looking for to
[2294] 2:01:22	that hey meeting with IP would have been
[2295] 2:01:25	awesome well it was awesome it was
[2296] 2:01:27	totally
[2297] 2:01:29	awesome uh I met with him actually three
[2298] 2:01:32	times during the
[2299] 2:01:33	conference uh the first time was a brief
[2300] 2:01:36	meeting in one of the papers the second
[2301] 2:01:38	time where we actually uh talked for a
[2302] 2:01:41	long time in the book room and the third
[2303] 2:01:44	time we actually went and had dinner
[2304] 2:01:46	together and so that was really cool
[2305] 2:01:49	really interesting and um yeah I love I
[2306] 2:01:53	loved having spending some time with IP
[2307] 2:01:55	that was really
[2308] 2:02:12	terrific okay
[2309] 2:02:17	here
[2310] 2:02:22	constan says I've only seen theet Bible
[2311] 2:02:25	from arrant Jones review I remember him
[2312] 2:02:28	calling the notes good and the text
[2313] 2:02:31	Bland he
[2314] 2:02:33	means
[2315] 2:02:35	um yeah the the notes I think are
[2316] 2:02:38	actually better than the text um there's
[2317] 2:02:43	there's things about the text I would
[2318] 2:02:44	definitely disagree
[2319] 2:02:46	with with that said however um these are
[2320] 2:02:50	passages that I don't think a lot of
[2321] 2:02:51	people do really well but they are also
[2322] 2:02:55	very very telling the way these passages
[2323] 2:02:58	that I look at and examine tell you a
[2324] 2:03:02	lot about how people translate texts and
[2325] 2:03:07	how people go about the whole idea of of
[2326] 2:03:10	translations so I think that's an
[2327] 2:03:12	important thing to understand when you
[2328] 2:03:17	actually go and um you know try to
[2329] 2:03:21	engage the text in a meaning
[2330] 2:03:24	way so anyway uh that's a great comment
[2331] 2:03:27	thank you for the comment and very much
[2332] 2:03:37	appreciate uh timara how did your
[2333] 2:03:40	meeting with David would go did you
[2334] 2:03:42	click uh it was very brief it was very
[2335] 2:03:45	very brief it was just he was walking
[2336] 2:03:46	out I was walking in uh
[2337] 2:03:49	uh I got the sense he didn't even
[2338] 2:03:52	realize who I was I think he just
[2339] 2:03:54	thought I was a fan that's okay you know
[2340] 2:03:58	let's I am a fan
[2341] 2:04:00	so um but you know I kind of I kind of
[2342] 2:04:04	got that impression that uh he didn't
[2343] 2:04:06	seem to be aware of who was talking to
[2344] 2:04:10	and I wouldn't expect him to but you
[2345] 2:04:12	know I didn't press it either so
[2346] 2:04:15	yeah yeah I know IP is still planning on
[2347] 2:04:18	getting us to together like just
[2348] 2:04:20	reminded me so it's just like
[2349] 2:04:23	okay um so I mean it was cool but I mean
[2350] 2:04:27	it was just cool to me honestly it was
[2351] 2:04:29	just cool
[2352] 2:04:30	me he he does strike you as being a
[2353] 2:04:33	little dist as talk to him so I mean
[2354] 2:04:36	maybe that was just because he was
[2355] 2:04:37	distracted or something but I kind got
[2356] 2:04:40	that impression I met him so it's like
[2357] 2:04:43	you don't have his full attention when
[2358] 2:04:44	you need him so you know that's that's
[2359] 2:04:47	fair enough
[2360] 2:04:49	yeah but he was rushing on his way out
[2361] 2:04:50	so
[2362] 2:04:52	hard so anyway uh thank you very much
[2363] 2:04:55	for the uh the question and I hope that
[2364] 2:05:02	helped uh P comments here functionally I
[2365] 2:05:05	definitely use net as a quote whole
[2366] 2:05:09	Bible commentary and that's it the
[2367] 2:05:12	occasional footnote directing me to a
[2368] 2:05:16	journal article is where it's most help
[2369] 2:05:19	ah you know
[2370] 2:05:23	I H what can I say about
[2371] 2:05:27	that I even had some issues with
[2372] 2:05:30	that
[2373] 2:05:33	um I noticed on its commentary
[2374] 2:05:38	section uh the use of a lot of outof
[2375] 2:05:44	references now you know one or two okay
[2376] 2:05:48	that's not such a big deal but when you
[2377] 2:05:51	start seeing a sizable
[2378] 2:05:54	percentage of of references that are say
[2379] 2:06:00	the 1930s 1880s
[2380] 2:06:04	1850s okay you start to raise an eyebrow
[2381] 2:06:07	at that you kind of go wait are you
[2382] 2:06:11	telling me
[2383] 2:06:13	that that the state-of-the-art on this
[2384] 2:06:15	particular topic is 1870
[2385] 2:06:19	really you mean there's nobody who has
[2386] 2:06:22	published more than
[2387] 2:06:26	that so uh I found that actually kind of
[2388] 2:06:30	concerning but again I'm going to go
[2389] 2:06:32	through this in more detail I'm gonna
[2390] 2:06:35	highlight this stuff I'm really sort of
[2391] 2:06:36	engage it and I'm I don't know if I'll
[2392] 2:06:38	do a full video review on it but I am
[2393] 2:06:42	going to definitely go through this just
[2394] 2:06:44	to
[2395] 2:06:47	see yeah so my my producer points out
[2396] 2:06:50	it's clearly obvious someone put a lot
[2397] 2:06:52	of time in it but were they qualified to
[2398] 2:06:56	put that timing so that's that's gonna
[2399] 2:06:58	be more of the question than anything
[2400] 2:07:01	else so as I said I'm always concerned
[2401] 2:07:04	when you start seeing a lot of old
[2402] 2:07:06	references and you do see a lot of old
[2403] 2:07:11	and obsolete
[2404] 2:07:13	references uh in the commentary section
[2405] 2:07:17	of the net
[2406] 2:07:19	so any thank you much for the question
[2407] 2:07:22	comment very much
[2408] 2:07:27	appreciated Ernie Stanley who is
[2409] 2:07:31	Pharaoh
[2410] 2:07:33	sris okay that's just the Greek uh Greek
[2411] 2:07:36	translation of
[2412] 2:07:39	sinas uh there were three
[2413] 2:07:42	sinets they all reigned during the
[2414] 2:07:45	Middle Kingdom uh Dynasty 12
[2415] 2:07:49	they were most of them were extremely
[2416] 2:07:51	powerful
[2417] 2:07:53	Kings so in many respects they represent
[2418] 2:07:56	the height of no
[2419] 2:07:58	Kingdom so that's who sard is in a
[2420] 2:08:04	nutshell and
[2421] 2:08:06	the and
[2422] 2:08:08	the across the board they're your most
[2423] 2:08:12	they represent the peak of the Middle
[2424] 2:08:16	Kingdom so but this is just the Greek
[2425] 2:08:20	transliteration of s egyptologist today
[2426] 2:08:23	don't use costerus anymore because it
[2427] 2:08:27	doesn't actually Bear much resemblance
[2428] 2:08:30	to the transliteration of the name
[2429] 2:08:32	translation of the name basically that's
[2430] 2:08:35	preferred today
[2431] 2:08:36	is so any thank you much for for the
[2432] 2:08:40	question very much appreciate and I hope
[2433] 2:08:41	that
[2434] 2:08:47	helped
[2435] 2:08:51	uh pouille I don't remember seeing any
[2436] 2:08:53	19th century reference but there's a lot
[2437] 2:08:55	of 90s scholarship in the New Testament
[2438] 2:08:58	uh let me grab my
[2439] 2:09:11	copy I'll just be a few
[2440] 2:09:17	minutes
[2441] 2:10:17	live
[2442] 2:10:20	[Music]
[2443] 2:10:24	okay guys I'm
[2444] 2:10:26	back all
[2445] 2:10:27	[Music]
[2446] 2:10:28	right here's one the what they gave
[2447] 2:10:32	me here so I got The Net Bible the full
[2448] 2:10:36	notes of
[2449] 2:10:42	Edition all right big I mean it's a
[2450] 2:10:45	beautiful volume it's leatherbound
[2451] 2:10:48	all right so I'm just going to flip to
[2452] 2:10:52	the the bibliography out the back and it
[2453] 2:10:54	does have a bibliography so I actually
[2454] 2:10:56	do appreciate
[2455] 2:10:58	that
[2456] 2:11:00	so let's go to biblography
[2457] 2:11:11	uh this actually version gives you a lot
[2458] 2:11:15	of information about how the translation
[2459] 2:11:17	was done to
[2460] 2:11:18	which I'm going to go through in like
[2461] 2:11:22	a
[2462] 2:11:25	and past the abbreviations
[2463] 2:11:31	here okay work cited and short title
[2464] 2:11:36	myass here so I can read it
[2465] 2:11:40	so
[2466] 2:11:43	um The Illustrated family Encyclopedia
[2467] 2:11:45	of Living Bible 1967 okay
[2468] 2:11:48	67's just a little bit on the old side
[2469] 2:11:51	but it's not
[2470] 2:11:55	terrible sirel aldrid the Egyptians
[2471] 2:12:00	1961 William F alright
[2472] 2:12:06	1953
[2473] 2:12:13	uh James Bar
[2474] 2:12:17	1969
[2475] 2:12:24	Hans bow and pontis Leander
[2476] 2:12:37	1927 uh Joseph vonin
[2477] 2:12:43	1954 bust gust bons bustr 1935 five
[2478] 2:12:49	Charles Briggs 1906 to
[2479] 2:12:55	1907 FF Bruce
[2480] 2:12:58	1951 CF Bernie
[2481] 2:13:06	1920 CP caspari
[2482] 2:13:16	1933
[2483] 2:13:23	Abraham Cohen
[2484] 2:13:30	1945 and we're just on the we're just on
[2485] 2:13:33	the Le level letter C at the moment okay
[2486] 2:13:38	and it doesn't get much better as we get
[2487] 2:13:40	get more into it August dman
[2488] 2:13:46	1897 Marcus dods 1897 to
[2489] 2:13:53	1910 Sr driver
[2490] 2:13:56	1892 1902 1906 1911
[2491] 2:14:02	19
[2492] 2:14:06	1960 Sr driver
[2493] 2:14:13	1921
[2494] 2:14:16	um
[2495] 2:14:22	yeah we're just on F we're just on F
[2496] 2:14:27	here yeah it's John garang
[2497] 2:14:46	1931 uh
[2498] 2:14:48	Alfred halar
[2499] 2:14:53	1947 JP Harland
[2500] 2:14:58	1961 RK Harrison
[2501] 2:15:04	1966 Alexander heidle
[2502] 2:15:15	1946 we'll stop here pretty close soon
[2503] 2:15:19	here just getting the point here uh
[2504] 2:15:23	Hubert jker
[2505] 2:15:30	1938 LW King
[2506] 2:15:35	1907 so I think you guys are getting the
[2507] 2:15:38	point here
[2508] 2:15:41	that a lot of the citations used in the
[2509] 2:15:45	commentary
[2510] 2:15:46	section
[2511] 2:15:49	um isn't recent material I mean these
[2512] 2:15:53	are really really old
[2513] 2:15:56	commentaries uh Frederick Dennis and
[2514] 2:15:59	Maurice
[2515] 2:16:03	1893 I mean look if if someone handed in
[2516] 2:16:06	a a a paper with citations that were
[2517] 2:16:11	that
[2518] 2:16:13	old uh I would probably have to fail
[2519] 2:16:18	okay it's like you know these are these
[2520] 2:16:22	are these are references so old as to be
[2521] 2:16:24	virtually
[2522] 2:16:26	useless
[2523] 2:16:31	so uh says ouch you weren't kidding
[2524] 2:16:34	about the early 20th century guys yeah
[2525] 2:16:38	and he's using 19th century guys too
[2526] 2:16:41	late 19th century guys so it's like oh
[2527] 2:16:44	dear that's that's concerning
[2528] 2:16:48	that's concerning if you're doing a
[2529] 2:16:52	commentary are you telling me the best
[2530] 2:16:55	commentary you could
[2531] 2:16:57	find was in the 19th
[2532] 2:17:00	century
[2533] 2:17:03	really I mean even a lot of those
[2534] 2:17:05	commentaries that were written in the
[2535] 2:17:06	19th century had revisions that were
[2536] 2:17:08	later on by other authors
[2537] 2:17:12	so you know you got to ask what were
[2538] 2:17:15	what were they thinking when they put
[2539] 2:17:17	that
[2540] 2:17:19	together so translation
[2541] 2:17:23	aside you know when I when I asked them
[2542] 2:17:26	when I asked them I you know I I told
[2543] 2:17:28	them I get this question all the time
[2544] 2:17:31	about the net Bal but I had never had a
[2545] 2:17:34	a copy uh because a lot of people just
[2546] 2:17:36	look it up online but it was it is
[2547] 2:17:40	actually
[2548] 2:17:41	published by Thomas
[2549] 2:17:44	Nelson so it is actually published in
[2550] 2:17:47	hard Bound by Thomas Nelson and they are
[2551] 2:17:50	very proud of it and you know it's a
[2552] 2:17:52	beautiful addition I'll say that it
[2553] 2:17:54	looks nice it looks really really nice
[2554] 2:17:59	but oh it's my producer said it's an
[2555] 2:18:02	impressive thump on the table and he's
[2556] 2:18:05	she's right it's an incredibly
[2557] 2:18:07	impressive thump on the
[2558] 2:18:11	table all that work and effort had been
[2559] 2:18:15	a little more current
[2560] 2:18:18	yes uh she says you kind of wish a lot
[2561] 2:18:20	of that thump was a little more
[2562] 2:18:24	current
[2563] 2:18:26	and uh it's not great
[2564] 2:18:32	scholarship
[2565] 2:18:35	[Music]
[2566] 2:18:36	um timy this could be a history quiz Dr
[2567] 2:18:39	folk reads the bibliography and we come
[2568] 2:18:42	up with the world events that happened
[2569] 2:18:44	that
[2570] 2:18:46	year
[2571] 2:18:50	[Laughter]
[2572] 2:18:56	ancient history gamer dang 1966 is
[2573] 2:18:59	really reent for them laugh out
[2574] 2:19:08	loud tronus
[2575] 2:19:10	Constantin us man I thought I used old
[2576] 2:19:16	references the ancient history gamer
[2577] 2:19:19	1907 is when Oklahoma became the 46 St
[2578] 2:19:24	oh ouch
[2579] 2:19:32	ouch P says yeah it's a rare occasion I
[2580] 2:19:36	have
[2581] 2:19:36	toh dig back to the 40
[2582] 2:19:39	scholarship last time I had to do that
[2583] 2:19:41	was when Hort did a word study on word
[2584] 2:19:44	studies I can't ever imagine going back
[2585] 2:19:47	to FR in
[2586] 2:19:49	1850 no I can't either honestly and
[2587] 2:19:53	that's what's really sort of surprising
[2588] 2:19:54	is um you know how many of these these
[2589] 2:19:58	these references are really
[2590] 2:20:01	ancient uh very little of the references
[2591] 2:20:05	now let's I'm gonna pull that out again
[2592] 2:20:08	I'm gonna this was published let's get
[2593] 2:20:11	the publication date
[2594] 2:20:16	here
[2595] 2:20:18	this was republished the last copyright
[2596] 2:20:20	was in when it was revised was in
[2597] 2:20:25	2019 okay
[2598] 2:20:31	2019 ah you will find very
[2599] 2:20:37	little in the bibliography
[2600] 2:20:40	here that's in the Millen after the J
[2601] 2:20:45	Millennium very rare
[2602] 2:20:51	um yeah there there's really not much
[2603] 2:20:55	work that they cited in their commentary
[2604] 2:20:58	after
[2605] 2:21:00	200 just
[2606] 2:21:03	2000 you'll see some a fair bit in the
[2607] 2:21:05	1990s you'll see a lot in the
[2608] 2:21:09	1970s a fair bit in the 1980s but in the
[2609] 2:21:12	2000s there's very little that's
[2610] 2:21:15	cited uh you'll see a c
[2611] 2:21:17	ones TW refer every coule Pages it's
[2612] 2:21:22	it's not not looking
[2613] 2:21:26	promising I would be embarrassed to turn
[2614] 2:21:28	that in as a class
[2615] 2:21:29	paper you know it would just it's just
[2616] 2:21:32	not a good look it just says that okay
[2617] 2:21:36	you haven't done your
[2618] 2:21:37	homework
[2619] 2:21:39	so
[2620] 2:21:42	um uh Dian s lkz for $4.99 says it's a
[2621] 2:21:45	super sticker thank you very much for
[2622] 2:21:47	for the uh contribution and we really
[2623] 2:21:49	appreciate your support of the channel
[2624] 2:21:51	it really helps and we are so very
[2625] 2:21:53	grateful thank you so very much and we
[2626] 2:21:56	do appreciate all the assistance
[2627] 2:21:58	especially on an unusual night like this
[2628] 2:22:00	where we do something a little different
[2629] 2:22:02	to begin with but we still take your
[2630] 2:22:05	questions so we do uh very much
[2631] 2:22:08	appreciate the support because days like
[2632] 2:22:11	this is usually when we you know we're
[2633] 2:22:13	not at home the camera is not as good
[2634] 2:22:16	the audio is not as good but we're still
[2635] 2:22:18	trying to make the effort to come out
[2636] 2:22:20	and to at least try to answer some of
[2637] 2:22:22	your questions so we thank you for the
[2638] 2:22:25	support and we really appreciate
[2639] 2:22:31	it an his gamer could be worse it could
[2640] 2:22:35	be from the 1700s laugh out loud
[2641] 2:22:37	actually that wouldn't be
[2642] 2:22:39	worse that would not be worse because
[2643] 2:22:42	then what you'd be presenting is
[2644] 2:22:44	historical
[2645] 2:22:46	theology
[2646] 2:22:48	this is sloppy
[2647] 2:22:50	theology this is sloppy research not
[2648] 2:22:53	well researched from particular period
[2649] 2:22:56	of time to show a particular piece of
[2650] 2:22:58	history there are historical
[2651] 2:23:00	commentaries that do this you know for
[2652] 2:23:03	example um the Reformation commentaries
[2653] 2:23:07	do this all the
[2654] 2:23:08	time where they focus on a specific
[2655] 2:23:11	period of time or Enlightenment
[2656] 2:23:14	commentaries focus on a specific period
[2657] 2:23:16	of time
[2658] 2:23:17	and dwell in on that and they do
[2659] 2:23:20	thorough primary source research from a
[2660] 2:23:23	particular period of
[2661] 2:23:25	time that's not the purpose of this you
[2662] 2:23:28	see if it was that if that was the
[2663] 2:23:30	purpose of the commentary then okay we
[2664] 2:23:35	could get behind it but this is meant to
[2665] 2:23:37	be a
[2666] 2:23:38	general
[2667] 2:23:40	commentary
[2668] 2:23:42	um on the very front it reads over
[2669] 2:23:46	60,000 translators notes the largest set
[2670] 2:23:49	ever
[2671] 2:23:51	created yeah here's that quantity versus
[2672] 2:23:53	quality
[2673] 2:23:55	thing provide complete transparency to
[2674] 2:23:58	every major translation decision so you
[2675] 2:23:59	can see the detail and Nuance of
[2676] 2:24:01	scripture for
[2677] 2:24:03	yourself what does to say about about
[2678] 2:24:06	the the study
[2679] 2:24:07	notes offer historical and cultural
[2680] 2:24:10	background as well as theological
[2681] 2:24:14	Insight that should be from the latest
[2682] 2:24:16	research
[2683] 2:24:18	not from really obsolete
[2684] 2:24:22	research
[2685] 2:24:24	so it does seem to miss the mark on that
[2686] 2:24:28	regard now if they were to say doing a
[2687] 2:24:31	historical commentary on the like for
[2688] 2:24:35	example
[2689] 2:24:36	um what it the um there was that uh
[2690] 2:24:42	Greek Eastern Orthodox uh Study Bible
[2691] 2:24:46	that you know you would expect Eastern
[2692] 2:24:48	rodox State level to focus on Church
[2693] 2:24:51	fathers to to not much else but you know
[2694] 2:24:56	in this particular case this is not this
[2695] 2:24:58	is not Peg to a historical era so you
[2696] 2:25:01	should be getting the latest research
[2697] 2:25:04	not
[2698] 2:25:05	the
[2699] 2:25:07	uh not obsolete research so that's sort
[2700] 2:25:11	of the difference here but it's a good
[2701] 2:25:13	comment and uh it's one one well worth
[2702] 2:25:16	uh
[2703] 2:25:17	as well so thank you for the
[2704] 2:25:29	comment yeah Timmy AR says biblical
[2705] 2:25:31	studies is not mathematics where you
[2706] 2:25:33	solve it and it's solved forever oh
[2707] 2:25:35	certainly
[2708] 2:25:36	not certainly
[2709] 2:25:45	not
[2710] 2:25:49	the ancient history gamer 2019 and
[2711] 2:25:51	they're using sources around
[2712] 2:25:53	1919 yeah and older uh one of the things
[2713] 2:25:56	they said when I was at the
[2714] 2:25:58	Seminary was if you're using a source
[2715] 2:26:01	that's old over 50 years
[2716] 2:26:05	old uh it's too
[2717] 2:26:08	old I was told if it's
[2718] 2:26:11	over well if it's over 10 year old years
[2719] 2:26:14	old you should see if there's anything
[2720] 2:26:15	newer but yeah if it's over 50 years old
[2721] 2:26:18	it's completely useless at this point
[2722] 2:26:20	it's completely
[2723] 2:26:23	obsolete did we
[2724] 2:26:29	okay let me see if I we missed the Super
[2725] 2:26:32	Chat here oh yes we did
[2726] 2:26:34	[Music]
[2727] 2:26:36	okay all right uh ason we for 499 about
[2728] 2:26:40	a year ago David F destroyed Titus
[2729] 2:26:42	Kennedy wi that came up at ETS again
[2730] 2:26:50	um I was having a conversation with with
[2731] 2:26:53	IP and um Steve Ortiz came by to say
[2732] 2:26:58	hi and um Steve Ortiz is the head
[2733] 2:27:02	excavator at gazer one of the most
[2734] 2:27:04	important sites in in Israel um Israeli
[2735] 2:27:09	archaeology and he mentioned to me that
[2736] 2:27:13	his students are talking about our
[2737] 2:27:15	Channel
[2738] 2:27:17	like really talking about
[2739] 2:27:19	it and they're really talking about that
[2740] 2:27:22	debate between Titus Kennedy and
[2741] 2:27:25	myself uh and they showed him clips of
[2742] 2:27:28	the debate particularly where the part
[2743] 2:27:32	where he says you know he doesn't
[2744] 2:27:34	believe it's it's it's it's ammonites it
[2745] 2:27:37	has to be amorites and then digs himself
[2746] 2:27:40	deeper saying that he got his PhD in the
[2747] 2:27:45	subject
[2748] 2:27:47	so that has been going around the uh um
[2749] 2:27:52	academic
[2750] 2:27:54	circles yeah different seminaries are
[2751] 2:27:57	students are are clearly aware of this
[2752] 2:28:00	and are clearly um spreading
[2753] 2:28:05	this so you know people in Academia are
[2754] 2:28:08	now learning about a channel just
[2755] 2:28:11	because their students are talking about
[2756] 2:28:13	it in just really interesting ways uh
[2757] 2:28:16	one of the interes things he said is
[2758] 2:28:18	that unlike say students of the past a
[2759] 2:28:21	lot of them are mixing popular culture
[2760] 2:28:25	in with archaeological studies like one
[2761] 2:28:28	of the things he said to I really
[2762] 2:28:30	interesting was he had a debate in his
[2763] 2:28:33	class of what would happen if you had a
[2764] 2:28:36	hobbit
[2765] 2:28:38	archaeologist how would they behave
[2766] 2:28:40	different than a human archaeologist how
[2767] 2:28:42	would their methodology change how would
[2768] 2:28:45	it differ in what what they saw as being
[2769] 2:28:47	important finds and he said you know um
[2770] 2:28:52	not a question that he would be familiar
[2771] 2:28:54	with because he's not very familiar with
[2772] 2:28:55	popular culture but he let it go because
[2773] 2:28:59	it was applied
[2774] 2:29:01	learning and they were exploring the
[2775] 2:29:03	whole topic of archaeology as it would
[2776] 2:29:06	have been seen Through The Eyes of a
[2777] 2:29:08	hobit and he said you know that's one of
[2778] 2:29:11	the things your channel does is it sort
[2779] 2:29:13	of engages not just archae and
[2780] 2:29:16	egyptology the Bible but popular culture
[2781] 2:29:20	and how that can be used to relate those
[2782] 2:29:24	topics to this current
[2783] 2:29:26	generation so we got some incredibly
[2784] 2:29:29	good feedback here from some people in
[2785] 2:29:31	some very high academic
[2786] 2:29:34	circles uh that you know we're making a
[2787] 2:29:37	difference on this channel so that was
[2788] 2:29:41	really exciting to hear and the fact
[2789] 2:29:43	that you know the debate came up again
[2790] 2:29:46	uh um you know in the in the classroom
[2791] 2:29:50	you know they're looking at these these
[2792] 2:29:52	clips in the
[2793] 2:29:53	classroom and seeing okay what's going
[2794] 2:29:56	wrong what's going right and and an
[2795] 2:29:59	analyzing that to educate students who
[2796] 2:30:03	are the the archaeologists of
[2797] 2:30:06	tomorrow so that was very very exciting
[2798] 2:30:08	to
[2799] 2:30:15	hear oh still a different Super Chat so
[2800] 2:30:18	we missed yet another as I say I don't
[2801] 2:30:20	have on my normal software tonight so
[2802] 2:30:24	you know
[2803] 2:30:34	I okay let me try to go back to the
[2804] 2:30:37	beginning here let me just see if I can
[2805] 2:30:38	find
[2806] 2:30:42	it okay I see Jack Ray gifted 20 uh
[2807] 2:30:46	memberships thank you very
