[0] 1:48	Heat. Hey, Heat.
[3605] 3:08:06	an angel of light
[3606] 3:08:09	that was actually a fallen angel.
[3607] 3:08:13	That one was brilliant.
[3608] 3:08:15	Um, it they wasn't meant to be
[3609] 3:08:18	biblically accurate, but it had a pretty
[3610] 3:08:21	good portrayal of a demon.
[3611] 3:08:24	Um,
[3612] 3:08:30	>> yeah, that one did better than intended.
[3613] 3:08:33	Um,
[3614] 3:08:35	that one that's due for a remake anyway,
[3615] 3:08:37	to be honest. That that that was a that
[3616] 3:08:40	was crazy, that series. Um,
[3617] 3:08:45	but I can't think of
[3618] 3:08:48	of another one that actually has a good
[3619] 3:08:52	representation of the demonic.
[3620] 3:08:56	Um the fact is that the demonic is very
[3621] 3:08:58	very difficult to represent
[3622] 3:09:03	because of its um
[3623] 3:09:06	it's hard to represent the power of
[3624] 3:09:08	demons within say Christian within the
[3625] 3:09:13	Holy Spirit's limitation upon them.
[3626] 3:09:17	So yeah, uh Heronomous Bosch does it um
[3627] 3:09:22	symbolic does it does it allegorically.
[3628] 3:09:25	Um and I like I love Heronomous Bosch.
[3629] 3:09:28	Okay.
[3630] 3:09:29	Um, but it's also
[3631] 3:09:35	it's also um
[3632] 3:09:42	it can can give you a distorted view of
[3633] 3:09:44	of of what demons do.
[3634] 3:09:48	I mean, you see basically Heronomous
[3635] 3:09:50	Bosch's like hell tptic where um people
[3636] 3:09:54	are being tormented, human beings are
[3637] 3:09:56	being tormented by these ghastly
[3638] 3:09:57	creatures of demons and that's really
[3639] 3:10:00	kind of not what hell is like.
[3640] 3:10:03	Counter mercy asks about Stranger
[3641] 3:10:05	Things. Stranger Things. Um,
[3642] 3:10:10	I like the I like the alieness
[3643] 3:10:13	alien kind of portrayal of demons in
[3644] 3:10:16	Stranger Things. The Stranger Things
[3645] 3:10:18	basically portray the other side. the
[3646] 3:10:22	other site as these these these
[3647] 3:10:24	creatures that are so not human that
[3648] 3:10:29	they are in many ways not even on the
[3649] 3:10:33	same
[3650] 3:10:35	same
[3651] 3:10:37	there's there's no what they would call
[3652] 3:10:39	um um parody
[3653] 3:10:42	no uh um um no point of of intersection
[3654] 3:10:49	where one can even communicate
[3655] 3:10:52	the human mind just grasp.
[3656] 3:10:55	>> Yeah.
[3657] 3:11:00	Oh, okay.
[3658] 3:11:02	Uh, Brandon the Gamer asks, "The so show
[3659] 3:11:04	Supernatural." Supernatural had a really
[3660] 3:11:07	poor portrayal of demons. Um,
[3661] 3:11:12	um,
[3662] 3:11:15	yeah, do not [laughter]
[3663] 3:11:18	gandle the base. Please do not get your
[3664] 3:11:21	demonology of any type from
[3665] 3:11:23	supernatural. Oh no, totally don't.
[3666] 3:11:27	Yeah, that was a horrible portrayal.
[3667] 3:11:37	Yeah. So, um I can't really name a good
[3668] 3:11:40	one. It it's it's hard to name a really
[3669] 3:11:44	good portrayal of demons in in any sort
[3670] 3:11:47	of a literary work. All of them are
[3671] 3:11:50	going to fall short in some way,
[3672] 3:11:53	but some are better than others.
[3673] 3:11:58	Well, you should get your your theology
[3674] 3:12:01	from uh fiction anyway.
[3675] 3:12:05	Okay. Fiction is not a great place for
[3676] 3:12:07	theology.
[3677] 3:12:09	Yeah, your Bible's the best source for
[3678] 3:12:11	for for demonology and theology,
[3679] 3:12:14	>> but
[3680] 3:12:17	Satan wins loses. [laughter]
[3681] 3:12:19	>> Satan loses in the end.
[3682] 3:12:21	>> Yeah, Satan loses in the end.
[3683] 3:12:24	Okay. Uh speaking of which, the next
[3684] 3:12:27	question from AT Ministries is
[3685] 3:12:30	what's the best source for demonology?
[3686] 3:12:33	The Bible.
[3687] 3:12:44	Brandon the gamer asks uh how much did
[3688] 3:12:46	uh RR George RR Martin take from token a
[3689] 3:12:50	lot. Yeah, he did. Everyone
[3690] 3:12:54	he
[3691] 3:12:55	>> Yeah, even he admits it.
[3692] 3:12:58	Um Martin hated Token though.
[3693] 3:13:03	Okay. Martin hated Token.
[3694] 3:13:06	Uh Martin thinks that his Game of
[3695] 3:13:09	Thrones is basically Tokien done better.
[3696] 3:13:13	how he would have written Tokyo had how
[3697] 3:13:15	he would have written the Lord of the
[3698] 3:13:17	Rings if he was doing it.
[3699] 3:13:20	>> Yeah, everybody does,
[3700] 3:13:21	>> right? [laughter]
[3701] 3:13:24	>> Yeah. Everyone's the whole the whole
[3702] 3:13:26	>> Lord of the Rings. The ring wins.
[3703] 3:13:28	>> Yeah.
[3704] 3:13:29	>> Takes out even the orc. [laughter]
[3705] 3:13:32	>> No one left to fight. So the orcs orcs
[3706] 3:13:34	end up killing them.
[3707] 3:13:36	>> Andrew Grim says everyone stole from
[3708] 3:13:37	Tokyo. Well, the whole um the whole
[3709] 3:13:41	fantasy genre
[3710] 3:13:43	owes existence to Token.
[3711] 3:13:46	Um
[3712] 3:13:49	even early fantasy works like there are
[3713] 3:13:52	a couple
[3714] 3:13:54	that were written around the same time
[3715] 3:13:56	as as Token first published.
[3716] 3:13:59	Like there's a there's a fantasy book
[3717] 3:14:02	from I think it's the 1940s
[3718] 3:14:05	like just after Token published like two
[3719] 3:14:07	years after Token published which was
[3720] 3:14:10	kind of a kids book but you know kids
[3721] 3:14:13	wouldn't be able to read it today. It's
[3722] 3:14:16	called the um the Gambit Cup or
[3723] 3:14:19	something. Let me see if I can find this
[3724] 3:14:21	here
[3725] 3:14:23	quickly.
[3726] 3:14:25	Uh
[3727] 3:14:30	books,
[3728] 3:14:33	fiction.
[3729] 3:15:10	See,
[3730] 3:15:28	what was the name of that
[3731] 3:15:37	I can't remember the exact name of that
[3732] 3:15:42	book.
[3733] 3:15:44	Something like that though.
[3734] 3:16:01	The Gamage Cup.
[3735] 3:16:04	Gamage Cup. This was published.
[3736] 3:16:08	See if I can get an exact publication
[3737] 3:16:10	date.
[3738] 3:16:12	It's the Gamage Cup.
[3739] 3:16:15	Um,
[3740] 3:16:20	uh, by Carol
[3741] 3:16:22	Kendall. Yeah, Carol Kendall. It was
[3742] 3:16:25	published in 1957.
[3743] 3:16:28	So, it was one of the early
[3744] 3:16:31	early copies or I should say homages to
[3745] 3:16:34	Token.
[3746] 3:16:36	Um,
[3747] 3:16:37	>> early
[3748] 3:16:38	>> Yeah. underline
[3749] 3:16:39	>> inspired inspired by
[3750] 3:16:43	okay but then fantasy sort of went into
[3751] 3:16:46	publishers didn't want to touch fantasy
[3752] 3:16:48	after that
[3753] 3:16:50	so um
[3754] 3:16:53	so we didn't get a lot of fantasy for a
[3755] 3:16:55	long time not until like the late 70s
[3756] 3:16:58	early 80s because of token's
[3757] 3:17:00	overwhelming success so while everybody
[3758] 3:17:05	stole from token everyone also suffered
[3759] 3:17:08	from token.
[3760] 3:17:16	So,
[3761] 3:17:20	so anyway, um that's my thought on
[3762] 3:17:22	token.
[3763] 3:17:25	All right, next one here. Uh best source
[3764] 3:17:28	for spirit critters besides ancient
[3765] 3:17:30	Egypt and the Bible. [laughter]
[3766] 3:17:34	I'm not sure where we would start with
[3767] 3:17:36	that.
[3768] 3:17:39	I mean, Cal May did a book on demons and
[3769] 3:17:42	spirit critters, but it's old.
[3770] 3:17:45	>> They don't.
[3771] 3:17:47	>> Yeah. Dom Calme did a did a book on this
[3772] 3:17:50	in the 17th century, 18th century,
[3773] 3:17:53	something like that. Can't remember
[3774] 3:17:54	exactly when. 17th 1750s.
[3775] 3:17:58	>> Yeah.
[3776] 3:17:59	So,
[3777] 3:18:01	but um I can't I can't say what's a
[3778] 3:18:04	really good I've yet to see really
[3779] 3:18:06	really good book on spirit critters. I
[3780] 3:18:09	mean, Heiser wrote one, but essentially
[3781] 3:18:13	his his his book on demons is kind of a
[3782] 3:18:16	knockoff
[3783] 3:18:18	uh a rewriting of the unseen realm.
[3784] 3:18:23	though
[3785] 3:18:25	I don't think his book on demons is
[3786] 3:18:28	terribly good.
[3787] 3:18:30	Um,
[3788] 3:18:32	his Unseen Realm is is is a is a good
[3789] 3:18:37	book, not a perfect book.
[3790] 3:18:40	Um,
[3791] 3:18:42	but he tends to focus on that um that
[3792] 3:18:46	council of gods thing as opposed to say
[3793] 3:18:50	the specifics of spirit critters
[3794] 3:18:52	themselves.
[3795] 3:18:54	So
[3796] 3:18:56	yeah, it it's tough to recommend a good
[3797] 3:18:58	one here. This one's tough to recommend.
[3798] 3:19:02	Okay, so then let's move on here.
[3799] 3:19:10	He asks, "Did you remember that thing
[3800] 3:19:12	about the 30 pieces of silver?"
[3801] 3:19:15	Um,
[3802] 3:19:17	no, I didn't. Sorry. [laughter]
[3803] 3:19:20	Forgot to look that up. I will make a
[3804] 3:19:22	note though.
[3805] 3:19:28	All right. We will I will make a note
[3806] 3:19:30	here and we will cover it next week. All
[3807] 3:19:32	right. All right.
[3808] 3:19:36	Uh since we are out of other um super
[3809] 3:19:40	chats here because we only got 13
[3810] 3:19:42	tonight from the regular viewers, we're
[3811] 3:19:44	going to be doing more at.
[3812] 3:19:51	Okay, next question here is uh how bad
[3813] 3:19:55	was infertility in the ancient near east
[3814] 3:19:57	that things like the concubines gambit
[3815] 3:20:00	existed?
[3816] 3:20:01	Why was it assumed to be an issue with
[3817] 3:20:04	the women?
[3818] 3:20:05	Uh okay.
[3819] 3:20:10	Um some places the infertility was quite
[3820] 3:20:14	bad.
[3821] 3:20:15	Okay. Um like in Mesopotamia
[3822] 3:20:19	there are a lot of of concubines being
[3823] 3:20:22	used to um give birth to heirs.
[3824] 3:20:27	This is a common thing in Mesopotamia.
[3825] 3:20:30	And again it's because uh infertility
[3826] 3:20:33	was a chronic problem there.
[3827] 3:20:37	You do also find it happening in Egypt
[3828] 3:20:39	too. Okay. Uh
[3829] 3:20:44	whether or not it happened in the Levant
[3830] 3:20:46	is more of a debate. However, what seems
[3831] 3:20:50	to be the cause of that and again the
[3832] 3:20:52	cause of this is somewhat debated.
[3833] 3:20:55	uh lack of folic acid might be one of
[3834] 3:20:59	the causes.
[3835] 3:21:01	So
[3836] 3:21:04	it was a very widespread problem in the
[3837] 3:21:08	ancient near east very widespread.
[3838] 3:21:12	So
[3839] 3:21:15	uh Scott war an underlying pathological
[3840] 3:21:18	cause of widespread infertility probably
[3841] 3:21:20	diet. It's probably diet,
[3842] 3:21:24	but exactly what part of that diet is is
[3843] 3:21:27	unclear. We do know um vitamin A
[3844] 3:21:32	deficiency can cause infertility and
[3845] 3:21:34	there was definitely vitamin A
[3846] 3:21:35	deficiency to go around in in the
[3847] 3:21:38	ancient near east. Uh folate, folic acid
[3848] 3:21:44	uh can cause infertility.
[3849] 3:21:48	That's also possibly an issue there. So,
[3850] 3:21:55	um, so it's it seems to be probably
[3851] 3:21:58	something to do with nutrition,
[3852] 3:22:01	but exactly what we're talking about in
[3853] 3:22:04	exactly in nutrition, I mean, a lot of
[3854] 3:22:06	the diets of the ancient near east were
[3855] 3:22:08	barley based.
[3856] 3:22:10	Barley is awful for getting your
[3857] 3:22:12	vitamins. So yeah, it also is associated
[3858] 3:22:16	with with um with blindness.
[3859] 3:22:20	Yeah, absolutely. Uh vitamin A blindness
[3860] 3:22:23	is is was a very common thing in the
[3861] 3:22:26	ancient near east. It's was the leading
[3862] 3:22:28	cause of blindness.
[3863] 3:22:31	[clears throat]
[3864] 3:22:31	Okay.
[3865] 3:22:33	And
[3866] 3:22:35	um
[3867] 3:22:39	Annie Manu says measles and corona
[3868] 3:22:41	viruses can also cause infertility too.
[3869] 3:22:43	Yeah, probably not so much in the
[3870] 3:22:45	ancient near east. Um but um
[3871] 3:22:49	oh uh that reminds me there was a dis um
[3872] 3:22:54	a important paper this week, important
[3873] 3:22:57	discovery this year. Um they discovered
[3874] 3:23:01	the root cause of the Justinian plague.
[3875] 3:23:04	Um this is the plague that hit
[3876] 3:23:08	uh the Roman Empire in the first
[3877] 3:23:10	century.
[3878] 3:23:11	At the end of the first century
[3879] 3:23:14	uh they discovered that the culprit was
[3880] 3:23:17	pestus.
[3881] 3:23:20	Yep. The black death.
[3882] 3:23:26	Though what's interesting about this is
[3883] 3:23:31	it pushes back the introduction of your
[3884] 3:23:34	pestice to Europe
[3885] 3:23:38	by
[3886] 3:23:40	1300 years.
[3887] 3:23:43	It had been thought that in the 14th
[3888] 3:23:46	15th century was the first time pestus
[3889] 3:23:49	you know arrives in Europe. But now we
[3890] 3:23:52	know that the Justinian peg,
[3891] 3:23:55	it was all about black death. So
[3892] 3:23:59	that was a cool discovery. So there's
[3893] 3:24:02	some archaeological news for you guys.
[3894] 3:24:07	Okay, moving on here.
[3895] 3:24:10	Um,
[3896] 3:24:12	as far as it being assumed to be an
[3897] 3:24:14	issue with the women, um,
[3898] 3:24:18	the fact is that, uh, frankly, a lot of
[3899] 3:24:23	the leading causes of infertility in the
[3900] 3:24:26	ancient near east affected women more
[3901] 3:24:28	than men.
[3902] 3:24:30	That's just sort of
[3903] 3:24:34	sort of um yeah,
[3904] 3:24:37	so it was assumed to be an issue with
[3905] 3:24:39	the women and they weren't necessarily
[3906] 3:24:41	wrong here because the dietary issues
[3907] 3:24:43	that most compromised fertility did
[3908] 3:24:46	affect women more. So,
[3909] 3:24:58	all right. Next one here.
[3910] 3:25:07	Uh, well, Scott says here, "Marcus
[3911] 3:25:10	Aurelius was small pox. Justinia pox as
[3912] 3:25:12	black death has been assumed since the
[3913] 3:25:14	90s." Yeah, but now they got genetic
[3914] 3:25:16	proof. That's the difference. You know,
[3915] 3:25:18	you can assume it, but you have evidence
[3916] 3:25:20	for it. Now, they have proof for it. And
[3917] 3:25:23	they did it through DNA essentially.
[3918] 3:25:31	So, that's fun.
[3919] 3:25:33	That's always fun.
[3920] 3:25:38	[laughter]
[3921] 3:25:39	It's been a charming live stream.
[3922] 3:25:44	Okay.
[3923] 3:25:48	Uh, next one here from 18 Ministries.
[3924] 3:25:50	Does reddish use to describe David 1
[3925] 3:25:54	Samuel 16 mean the same thing to
[3926] 3:25:56	describe Esau? Genesis 25-2.
[3927] 3:26:00	Well, let's see what
[3928] 3:26:04	probably does just means ruddy.
[3929] 3:26:09	Genesis 25
[3930] 3:26:16	25 says, "Now first came forth
[3931] 3:26:21	um red ruddy all over like hairy like a
[3932] 3:26:26	hairy garment and they named him Esau."
[3933] 3:26:28	Okay. Um yeah, it's it's uh Adam knee.
[3934] 3:26:33	So yeah, that's red essentially.
[3935] 3:26:39	then 1st Samuel
[3936] 3:26:42	16
[3937] 3:26:46	verse whatever uh you didn't include a
[3938] 3:26:48	verse ah
[3939] 3:26:59	okay I think it's verse 12 here sent uh
[3940] 3:27:02	sent for David and brought him in and
[3941] 3:27:04	now he was ready yeah it's the same word
[3942] 3:27:06	it's It's Adony. Um Adony um
[3943] 3:27:12	with beautiful eyes and handsome
[3944] 3:27:13	appearance. Yeah. So essentially it's
[3945] 3:27:15	it's it's he had he had sort of a
[3946] 3:27:17	reddish complexion. That's really what
[3947] 3:27:19	it means. And it's the same in both.
[3948] 3:27:23	Although David appears to not have been
[3949] 3:27:25	hairy.
[3950] 3:27:27	[laughter]
[3951] 3:27:27	Esau was said to be hairy
[3952] 3:27:30	out the birth canal. [laughter]
[3953] 3:27:33	Well, that's a that's an image.
[3954] 3:27:36	>> [laughter]
[3955] 3:27:42	>> Ah, good times. Good times.
[3956] 3:27:45	All right,
[3957] 3:27:48	next one here. Acts 12:15.
[3958] 3:27:52	Uh, did they think Peter died?
[3959] 3:27:56	I think I know what you're talking about
[3960] 3:27:58	here, but let's go to Acts.
[3961] 3:28:02	Acts 12.
[3962] 3:28:07	15.
[3963] 3:28:10	Okay.
[3964] 3:28:12	[clears throat]
[3965] 3:28:15	Now,
[3966] 3:28:19	let's go for start verse 11. And when
[3967] 3:28:21	Peter came to his Now, Peter's in prison
[3968] 3:28:22	here. Peter's in prison. When Peter came
[3969] 3:28:25	to himself, he said, "Now I know for
[3970] 3:28:27	sure that the Lord has sent his forth
[3971] 3:28:29	his angel and rescued me from the hand
[3972] 3:28:31	of Herod and from all the Jewish people,
[3973] 3:28:34	all that the huge people were
[3974] 3:28:35	expecting." And when he realized this,
[3975] 3:28:37	he went to the house of Mary, the mother
[3976] 3:28:39	of John, who was called Mark, where many
[3977] 3:28:42	were gathered together and were praying.
[3978] 3:28:46	And when he knocked on the door of the
[3979] 3:28:47	gate, a servant girl named Roda came to
[3980] 3:28:50	answer.
[3981] 3:28:52	Um,
[3982] 3:28:54	and when she recognized Peter's voice,
[3983] 3:28:56	because of her joy, she did not open the
[3984] 3:28:58	gate, but ran in and announced that
[3985] 3:29:00	Peter was standing in front of the gate.
[3986] 3:29:03	Great servant,
[3987] 3:29:05	>> I'm so happy you're here.
[3988] 3:29:06	>> I'm so happy you're here. Stand out
[3989] 3:29:08	there.
[3990] 3:29:10	[laughter]
[3991] 3:29:12	>> Okay.
[3992] 3:29:15	And they said to her, "You are out of
[3993] 3:29:17	your mind." But she kept insisting it
[3994] 3:29:20	was so. And they said it is his angel.
[3995] 3:29:25	Okay, so they used here the word
[3996] 3:29:27	angalos. Okay, angel or messenger.
[3997] 3:29:32	But Peter continued knocking and they
[3998] 3:29:34	had opened the door and they saw him and
[3999] 3:29:36	were amazed.
[4000] 3:29:38	Okay,
[4001] 3:29:40	>> I'm sorry that
[4002] 3:29:43	he shows up. He shows up and she sees
[4003] 3:29:46	>> they're having this long discussion
[4004] 3:29:47	about him and he's like, [laughter]
[4005] 3:29:49	"Hey,
[4006] 3:29:50	>> having a long discussion and leaving him
[4007] 3:29:52	out on the porch.
[4008] 3:29:53	>> Knock knock." There's a knock knock
[4009] 3:29:55	[laughter]
[4010] 3:29:55	joke.
[4011] 3:29:57	>> Good times. Good times.
[4012] 3:29:59	Uh, did they think he Peter died? Yes,
[4013] 3:30:02	they did. They basically knew he was in
[4014] 3:30:04	prison. They knew they weren't going to
[4015] 3:30:07	let him out. though. Uh they assumed
[4016] 3:30:11	that it had to be his spirit.
[4017] 3:30:17	So yeah, they thought he died
[4018] 3:30:19	essentially because how else would he
[4019] 3:30:21	appear there?
[4020] 3:30:23	He hasn't been freed. He's not allowed
[4021] 3:30:25	to leave. [laughter]
[4022] 3:30:28	So yeah.
[4023] 3:30:34	Okay, next one.
[4024] 3:30:39	is
[4025] 3:30:42	again at because we got no others. Why
[4026] 3:30:45	did the early church believe in Christ
[4027] 3:30:47	Victor?
[4028] 3:30:49	Um
[4029] 3:30:52	not we're not exactly sure how the
[4030] 3:30:57	Christristus Victor
[4031] 3:30:59	uh theology developed
[4032] 3:31:01	but they they they made a way to
[4033] 3:31:06	again this is a sotiological view. It's
[4034] 3:31:10	an atonement view. They knew there was
[4035] 3:31:12	an atonement.
[4036] 3:31:16	So they came up with basically what they
[4037] 3:31:19	thought was the best explanation at the
[4038] 3:31:21	time
[4039] 3:31:23	um which was trying to take account all
[4040] 3:31:26	scriptures
[4041] 3:31:28	but at the same time too
[4042] 3:31:31	um
[4043] 3:31:34	they were thinking that
[4044] 3:31:37	at the fall
[4045] 3:31:40	uh Satan got the keys to to the world
[4046] 3:31:45	got the deed.
[4047] 3:31:47	Okay? Because they frankly they they
[4048] 3:31:50	believed Satan
[4049] 3:31:52	when in Luke chapter 4
[4050] 3:31:56	um Satan said uh I will show you all the
[4051] 3:32:01	nations of the world for they are mine
[4052] 3:32:03	to give to whomever I please.
[4053] 3:32:07	Okay.
[4054] 3:32:08	Many in the early church thought that
[4055] 3:32:11	this was legitimate ownership.
[4056] 3:32:14	not
[4057] 3:32:16	squatter's own ship.
[4058] 3:32:19	Okay.
[4059] 3:32:22	Uh so the early church in a in a large
[4060] 3:32:25	sense sort of believed Satan too a
[4061] 3:32:27	little too much.
[4062] 3:32:29	I mean you shouldn't look you shouldn't
[4063] 3:32:31	trust anything that comes out of that
[4064] 3:32:33	that serpent's mouth. Okay?
[4065] 3:32:37	I mean he doesn't have a great track
[4066] 3:32:39	record for telling the whole truth.
[4067] 3:32:42	just saying.
[4068] 3:32:44	[clears throat]
[4069] 3:32:46	But the early church did believe that
[4070] 3:32:49	Satan had ownership.
[4071] 3:32:52	So because they believed that Satan had
[4072] 3:32:55	ownership
[4073] 3:32:57	that he must have received
[4074] 3:33:00	proper ownership.
[4075] 3:33:04	So
[4076] 3:33:06	Chris Victor aka the ransom theory.
[4077] 3:33:10	Christ goes on the cross to pay for sin,
[4078] 3:33:14	to pay off the devil who's holding the
[4079] 3:33:17	world hostage
[4080] 3:33:20	and gets the deed to the world back.
[4081] 3:33:25	Oh boy. [laughter]
[4082] 3:33:28	Oh boy.
[4083] 3:33:31	So um
[4084] 3:33:34	so this became the predominant view uh
[4085] 3:33:38	in the early church by and large. It's
[4086] 3:33:41	still held by many people today. But
[4087] 3:33:45	but that's why the early church believed
[4088] 3:33:47	it cuz they trusted Satan way too much.
[4089] 3:33:50	you know, we have to remember
[4090] 3:33:54	um and and this is a this is a lesson
[4091] 3:33:56	that even good, you know, faithful
[4092] 3:34:00	church fathers sometimes forget.
[4093] 3:34:03	You know,
[4094] 3:34:05	that the Bible records what is said. It
[4095] 3:34:10	doesn't necessarily endorse everything
[4096] 3:34:15	that is said.
[4097] 3:34:20	Uh
[4098] 3:34:23	BC4YT. They didn't know Satan was a bum.
[4099] 3:34:26	[laughter]
[4100] 3:34:28	Oh, they knew he was a bum. They just
[4101] 3:34:31	trusted him.
[4102] 3:34:33	Look, I mean they
[4103] 3:34:36	I mean they suffered they suffer
[4104] 3:34:37	sometimes from the same problems we do.
[4105] 3:34:39	I mean there there are people who who
[4106] 3:34:42	think that Jetha's speech is absolutely
[4107] 3:34:46	true in everything it says.
[4108] 3:34:50	It has to be because it's in the Bible.
[4109] 3:34:55	Uh, no. They uh there there are people
[4110] 3:34:58	out there that think that the um
[4111] 3:35:01	unfaithful unreliable report of the 10
[4112] 3:35:06	spies is absolutely true in every detail
[4113] 3:35:12	because it's in the Bible
[4114] 3:35:14	right down to the earth opening up and
[4115] 3:35:16	swallowing its people. Nom nom nom.
[4116] 3:35:22	The ground opens up and swallows its
[4117] 3:35:24	people. Nom nom nom.
[4118] 3:35:27	It's a bad land full of full of earth
[4119] 3:35:31	chewing. [laughter]
[4120] 3:35:33	>> Well, there are
[4121] 3:35:35	>> I mean there was I mean you had the Kora
[4122] 3:35:38	incident, but they did exaggerate a lot.
[4123] 3:35:45	There's Nephilim.
[4124] 3:35:48	I mean it was really I mean they were
[4125] 3:35:54	>> well you have sand you have
[4126] 3:35:57	you have
[4127] 3:36:00	>> I mean there
[4128] 3:36:08	yeah but sink holes happen tend to
[4129] 3:36:09	happen more where there are a lot of
[4130] 3:36:12	rain
[4131] 3:36:15	so not so much in in Kanan Steai had a
[4132] 3:36:19	lot of history of a lot of rain though.
[4133] 3:36:21	So I mean that sinkhole is more
[4134] 3:36:23	believable. Dark Blade goes by that
[4135] 3:36:25	logic Kane was telling the truth when he
[4136] 3:36:27	said he didn't know where Abel was.
[4137] 3:36:31	Yeah by that logic.
[4138] 3:36:34	But there's some people who have that
[4139] 3:36:36	logic
[4140] 3:36:37	today.
[4141] 3:36:39	Today there are people who still believe
[4142] 3:36:41	this.
[4143] 3:36:43	Now, some people think that, hey, you
[4144] 3:36:46	know, Cain didn't know where Abel was
[4145] 3:36:48	cuz he chucked him in a river and he
[4146] 3:36:49	floated away.
[4147] 3:36:52	No, ditch the body in a river. I don't
[4148] 3:36:56	know where Abel is. He was here a moment
[4149] 3:36:59	ago.
[4150] 3:37:02	>> It's bad preaching, you know,
[4151] 3:37:04	>> and it's bad biblical understanding.
[4152] 3:37:07	You don't
[4153] 3:37:14	>> have
[4154] 3:37:16	>> Yeah.
[4155] 3:37:20	>> You don't have
[4156] 3:37:23	>> Yeah.
[4157] 3:37:24	Yeah. Gandalf the base says the logic
[4158] 3:37:28	thinks the writers were taken over and
[4159] 3:37:30	possessed by the Holy Spirit and had no
[4160] 3:37:32	idea what they wrote. Yeah. Yeah. That's
[4161] 3:37:35	that's the logic.
[4162] 3:37:38	And uh you know, we're not the first
[4163] 3:37:41	people in our day and age to think this.
[4164] 3:37:44	Church fathers sometimes succumb to
[4165] 3:37:46	this, too. It's in the Bible. Must be
[4166] 3:37:49	true.
[4167] 3:37:51	Yeah. It's a true record of deception
[4168] 3:37:55	at times. It's a true record of lies at
[4169] 3:37:58	times. Like I don't know where where
[4170] 3:38:01	where Abel is. [laughter]
[4171] 3:38:04	Like am I my brother's keeper?
[4172] 3:38:06	>> Tertulan heretics makeing
[4173] 3:38:10	heretics. They
[4174] 3:38:13	superficial read as oh Tulian said this.
[4175] 3:38:18	>> Yeah.
[4176] 3:38:22	You know we have we have things like as
[4177] 3:38:24	I said recorded in the Bible lies,
[4178] 3:38:27	inaccuracies,
[4179] 3:38:28	pig ignorance. Oh yeah. I mean, Jeeps is
[4180] 3:38:31	essentially a a a story of of pig
[4181] 3:38:34	ignorance. Uh blameshifting,
[4182] 3:38:38	you know. God, why did you give this
[4183] 3:38:40	woman to me?
[4184] 3:38:45	[laughter]
[4185] 3:38:48	Oh. Oh. Uh apostles. Uh that's all the
[4186] 3:38:52	money I got for the land. [laughter]
[4187] 3:38:59	You know, it says in there point blank
[4188] 3:39:01	and I [laughter] sense the virra lied.
[4189] 3:39:07	Just because it's recorded in the Bible
[4190] 3:39:11	doesn't mean it's true.
[4191] 3:39:22	When it
[4192] 3:39:24	>> when it claims to be true, it's true.
[4193] 3:39:27	But not everything in the Bible is
[4194] 3:39:28	claimed to be true.
[4195] 3:39:31	Only a true record.
[4196] 3:39:39	Oh, yeah. I love that one. Dark Blade.
[4197] 3:39:41	That one's fun. Yeah, I love that one.
[4198] 3:39:43	That one's That one's fantastic.
[4199] 3:39:46	I just threw the gold earrings into the
[4200] 3:39:48	fire. I don't know where this cow came
[4201] 3:39:50	from.
[4202] 3:39:51	Yeah.
[4203] 3:39:52	>> Oh yeah, exactly.
[4204] 3:39:53	>> That's probably the best. [laughter]
[4205] 3:39:55	>> That's a really good one.
[4206] 3:39:58	Can you say liar? [laughter]
[4207] 3:40:04	That was [laughter] that quote from
[4208] 3:40:07	Aaron. Priceless. Priceless.
[4209] 3:40:12	[laughter]
[4210] 3:40:18	[laughter]
[4211] 3:40:19	under meal says for real. Yep.
[4212] 3:40:28	So it's like
[4213] 3:40:32	uh Scott Warworth and Hassat rather than
[4214] 3:40:34	Hatheror. Son of Hassat. Yes. Yeah. It's
[4215] 3:40:37	not Hatheror. Uh the golden calf is not
[4216] 3:40:40	Hatheror. It is the son of Hassat.
[4217] 3:40:45	Okay. So
[4218] 3:40:47	um
[4219] 3:40:49	uh tech if you want the Egyptians it's
[4220] 3:40:51	sahasat.
[4221] 3:40:53	So it's sahasat.
[4222] 3:40:56	So
[4223] 3:40:58	a lion ate our brother. It must be true.
[4224] 3:41:03	See we got the coat. [laughter]
[4225] 3:41:15	Yeah. So, um,
[4226] 3:41:21	Joseph tried to uh to to to SA me.
[4227] 3:41:25	[laughter]
[4228] 3:41:27	There's another one.
[4229] 3:41:33	Oh, yeah. The Bible is full of of things
[4230] 3:41:37	that are not actually true, but they're
[4231] 3:41:40	a true record of what was said.
[4232] 3:41:44	So,
[4233] 3:41:45	>> true record.
[4234] 3:41:47	>> Yeah. A true record of people lying.
[4235] 3:41:50	>> And that's why it was show.
[4236] 3:41:54	>> Mhm.
[4237] 3:41:55	>> Because it portrays human nature.
[4238] 3:41:58	>> Yeah. It does portray human nature.
[4239] 3:42:00	>> A lot of lies.
[4240] 3:42:02	>> Yeah. leaves alone.
[4241] 3:42:05	>> Yeah, it is an accurate portrayal of
[4242] 3:42:06	human nature. Human nature does awful
[4243] 3:42:09	things. It lies. It cheats. It commits
[4244] 3:42:13	idolatry. It commits murder. It shifts
[4245] 3:42:16	the blame. Uh
[4246] 3:42:18	>> own up to it.
[4247] 3:42:19	>> It does not want to own up to
[4248] 3:42:21	responsibility. Yeah. Yeah. It's it's a
