[0] 0:24	Hey. Hey. Hey.
[2011] 1:45:02	him because his reign was relatively
[2012] 1:45:04	short, but yeah, we know some stuff.
[2013] 1:45:09	So hope that helps. Thank you for the uh
[2014] 1:45:11	the question. really appreciate it.
[2015] 1:45:31	Uh, CPM versus Dust for Two Ducks. Thank
[2016] 1:45:33	you for the super chat. Can't wait for
[2017] 1:45:36	the third book. Four more weeks. Yeah.
[2018] 1:45:40	Oh, it's going to be cool. And again
[2019] 1:45:42	he's talking about here uh Lord of Steel
[2020] 1:45:45	and Sky. So the inside cover of course
[2021] 1:45:49	which is this is the
[2022] 1:45:51	creepy.
[2023] 1:45:55	Okay.
[2024] 1:46:14	Uh Golden asks uh if a person is
[2025] 1:46:17	possessed by a demon, what exactly is
[2026] 1:46:19	happening to them as the demon fuses
[2027] 1:46:22	with
[2028] 1:46:24	as as them as in is the demon fusing
[2029] 1:46:27	with their soul? Okay. No, the demon is
[2030] 1:46:30	not fusing with their soul. Demons are
[2031] 1:46:33	not capable of actually fusing souls.
[2032] 1:46:36	They're hijacking.
[2033] 1:46:38	Okay.
[2034] 1:46:39	Uh basically when a when a a demon
[2035] 1:46:43	possesses something, remember we talked
[2036] 1:46:46	about how Satan is a squatter in in in
[2037] 1:46:50	the world. He he's got squatters rights.
[2038] 1:46:53	He he moves into God's house, eats his
[2039] 1:46:56	food, trashes the living room. Um he's a
[2040] 1:47:00	squatter. Well,
[2041] 1:47:03	think of think of demons taking over
[2042] 1:47:06	possessing human bodies kind of like
[2043] 1:47:08	hijacking a car. Okay? It's more like
[2044] 1:47:12	hijacking a car
[2045] 1:47:15	where
[2046] 1:47:17	um
[2047] 1:47:19	the the person's soul is basically
[2048] 1:47:22	forced into the back seat while the the
[2049] 1:47:25	demons driving the vehicle.
[2050] 1:47:29	So that's really what happens when
[2051] 1:47:31	somebody is possessed is the demon's
[2052] 1:47:35	driving the car and the and the soul's
[2053] 1:47:38	in the back seat.
[2054] 1:47:45	Uh the can Marcy asks, is it hijacking
[2055] 1:47:48	their mind? Um it's it's hijacking their
[2056] 1:47:52	control.
[2057] 1:47:53	It's they're hijacking their brain is
[2058] 1:47:55	what they're doing.
[2059] 1:47:58	So the person is still in control of
[2060] 1:48:01	their faculties in that they can think,
[2061] 1:48:04	they can reason, they can judge to some
[2062] 1:48:07	extent
[2063] 1:48:09	um when they're not being deluded.
[2064] 1:48:12	But um
[2065] 1:48:15	but what's happening is he's t it's it's
[2066] 1:48:19	is again it's it's like being in a
[2067] 1:48:21	vehicle. When you're in a vehicle, well,
[2068] 1:48:26	you know, and a hijacker takes over and
[2069] 1:48:29	your vehicle forces you in the back
[2070] 1:48:31	seat, you're still thinking in the back
[2071] 1:48:32	seat. You're just not in control of the
[2072] 1:48:35	steering wheel anymore.
[2073] 1:48:37	It's kind of what's going on here with
[2074] 1:48:39	with demonic possession.
[2075] 1:48:41	The guy who owns the vehicle is in the
[2076] 1:48:43	back seat now, and someone else is at
[2077] 1:48:46	the wheel steering.
[2078] 1:48:50	So, it's not so much
[2079] 1:48:52	hijacking their mind, it's hijacking
[2080] 1:48:54	their brain.
[2081] 1:48:57	So, it's more along that level.
[2082] 1:49:09	All right. Next one here is from Mr.
[2083] 1:49:10	White,
[2084] 1:49:12	who asks, "Do you think Exodus 33:20
[2085] 1:49:15	should be interpreted analogously? If
[2086] 1:49:17	so, how do we understand what it means?"
[2087] 1:49:18	Let's see what um Exodus 3 33 says here.
[2088] 1:49:24	Exodus 33
[2089] 1:49:28	20.
[2090] 1:49:34	Uh but he says you cannot see my face
[2091] 1:49:37	for no man can see me and live. Yeah. Um
[2092] 1:49:40	that's that's anal yeah that's um that's
[2093] 1:49:43	an analogy. That's analogical language.
[2094] 1:49:46	Okay.
[2095] 1:49:48	Basically what this is saying is nobody
[2096] 1:49:51	can see God full on.
[2097] 1:49:55	You know basically with the with the
[2098] 1:49:58	absolute
[2099] 1:50:00	um
[2100] 1:50:02	um power of his glory
[2101] 1:50:06	and and live. It's just too much for the
[2102] 1:50:10	human mind to comprehend. So
[2103] 1:50:13	yeah, I would say this is this is
[2104] 1:50:16	definitely analogical language here.
[2105] 1:50:20	So it's best understood as analogical
[2106] 1:50:22	language anyway. So I hope that helps.
[2107] 1:50:25	Thank you for the question.
[2108] 1:50:31	All right, we're actually already down
[2109] 1:50:32	to the last question.
[2110] 1:50:36	uh imputationist uh asks, "I remember
[2111] 1:50:39	you being critical of Kurr's
[2112] 1:50:40	interpretation of the plagues. Thoughts
[2113] 1:50:43	on his general OT scholarship and work
[2114] 1:50:45	on Old Testament in Egypt?" Okay.
[2115] 1:50:51	Um when he sticks to the Old Testament,
[2116] 1:50:54	does a good job as as an Old Testament
[2117] 1:50:57	scholar and that's where he's strong.
[2118] 1:50:59	He's a serial Palestinian specialist.
[2119] 1:51:04	That's where he's strong. Okay. So, when
[2120] 1:51:07	he does stuff on the Old Testament and
[2121] 1:51:09	say the archaeology of of Canaan and
[2122] 1:51:11	Levant, yeah, he's fine there. That's
[2123] 1:51:14	his wheelhouse.
[2124] 1:51:16	When he gets into Egypt, he starts going
[2125] 1:51:18	off the rails.
[2126] 1:51:23	And I think I think this is a problem
[2127] 1:51:26	for
[2128] 1:51:27	for Old Testament guys in general.
[2129] 1:51:33	I mean,
[2130] 1:51:34	on my recent video
[2131] 1:51:38	um on on Ramse's we have I had a guy who
[2132] 1:51:41	claimed to have a doctorate in theology
[2133] 1:51:44	who came on my channel and couldn't get
[2134] 1:51:47	any facts about the Exodus right or
[2135] 1:51:50	Egypt
[2136] 1:51:53	you know the dude said that okay that I
[2137] 1:51:57	had skipped
[2138] 1:51:58	um a king between Hormhib and Ramsey's
[2139] 1:52:01	the he saidi the first should between
[2140] 1:52:03	the two. Well, that's not the order of
[2141] 1:52:05	succession. Okay. Si the first is after
[2142] 1:52:09	Ramsey's the first, not before.
[2143] 1:52:12	The guy didn't seem to know. The guy
[2144] 1:52:14	thought that Shishak was named the
[2145] 1:52:17	Exodus Pharaoh.
[2146] 1:52:20	Well,
[2147] 1:52:21	Shishak is in first Kings and 2
[2148] 1:52:24	Chronicles, not the Exodus.
[2149] 1:52:27	Shishak happens at the time of Rayoboam,
[2150] 1:52:30	not the Exodus.
[2151] 1:52:32	So,
[2152] 1:52:34	I get a lot of these guys and and I
[2153] 1:52:37	can't say this is just YouTube. I wish I
[2154] 1:52:39	could say this is just YouTube,
[2155] 1:52:42	but I go to ETSs every year and there's
[2156] 1:52:46	some Old Testament guy who does
[2157] 1:52:49	something on Egypt who has not talked to
[2158] 1:52:53	an Egyptologist first.
[2159] 1:53:00	And I think that's a real problem.
[2160] 1:53:03	Um,
[2161] 1:53:05	because
[2162] 1:53:07	it's not a good look.
[2163] 1:53:11	And I can name I can name tons of Old
[2164] 1:53:14	Testament scholars who should have
[2165] 1:53:16	talked to an Egyptologist first, didn't
[2166] 1:53:18	do it, and then they get up on stage and
[2167] 1:53:21	they look like an idiot. But that's
[2168] 1:53:26	they know
[2169] 1:53:28	our data's gone to
[2170] 1:53:31	>> Yeah. Well, it's gotten so bad that
[2171] 1:53:36	people recognize me out now at ETSs.
[2172] 1:53:42	They recognize us at ETSs.
[2173] 1:53:46	>> You I could handle us was I mean I did
[2174] 1:53:51	come in with you. Yes, you did.
[2175] 1:53:54	>> That was interesting.
[2176] 1:53:56	>> Yes, it was.
[2177] 1:53:59	Yeah.
[2178] 1:54:01	Yeah, we do get the you must be Dr.
[2179] 1:54:03	Faulk thing every time. Now we go to
[2180] 1:54:05	ETSs.
[2181] 1:54:06	>> I go with you. It's like, oh, you're the
[2182] 1:54:09	folk.
[2183] 1:54:10	>> Yeah.
[2184] 1:54:11	So, words got around.
[2185] 1:54:19	Um
[2186] 1:54:20	>> yeah.
[2187] 1:54:21	>> Did you get uh
[2188] 1:54:25	between
[2189] 1:54:28	race
[2190] 1:54:31	Christians?
[2191] 1:54:36	>> Uh yeah, we did the one on sovereignty.
[2192] 1:54:40	>> I think we covered all of the super
[2193] 1:54:43	chats. Yeah, there'sn't a lot of
[2194] 1:54:45	questions tonight for some reason.
[2195] 1:54:49	So,
[2196] 1:54:51	uh, we're pretty much done with
[2197] 1:54:52	questions. So,
[2198] 1:54:55	uh, we got one more here from, uh, Andy
[2199] 1:54:58	Gun Wild. Uh, what five books would you
[2200] 1:55:00	recommend to a Christian in order to
[2201] 1:55:02	deepen their knowledge of the Bible?
[2202] 1:55:04	Bible not included. Well, Bible's a
[2203] 1:55:06	great start. I mean, you should do that.
[2204] 1:55:09	Um,
[2205] 1:55:11	I would say get the Baker backgrounds
[2206] 1:55:13	book on the Old Testament. I think they
[2207] 1:55:16	got a new one for the New Testament now,
[2208] 1:55:18	too. I haven't looked at that. Um,
[2209] 1:55:22	what else would I recommend?
[2210] 1:55:26	Uh,
[2211] 1:55:31	Richard Hess's book on Israelite
[2212] 1:55:33	religion is very good, too.
[2213] 1:55:52	Uh, we also covered that.
[2214] 1:55:56	Yeah, we just we just sort of
[2215] 1:55:59	>> buzz through them tonight. I think it's
[2216] 1:56:02	cuz I'm tired. I'm kind of going through
[2217] 1:56:04	them at a
[2218] 1:56:05	>> Yeah, giving them less time. I'm just
[2219] 1:56:07	kind of going through them at a faster
[2220] 1:56:08	pace. We also only had 12 super chats
[2221] 1:56:11	tonight. Anyway,
[2222] 1:56:13	so we didn't we really did not have very
[2223] 1:56:16	many.
[2224] 1:56:18	We have not had a foodie section
[2225] 1:56:20	tonight, too.
[2226] 1:56:22	Oh, we got a uh uh one just came in here
[2227] 1:56:25	from uh farmhouse theologian. Thank you
[2228] 1:56:27	again so much. Uh she gives us a $15
[2229] 1:56:32	Australian super chat. Thank you so
[2230] 1:56:34	much. You've been very generous tonight.
[2231] 1:56:36	We really appreciate it.
[2232] 1:56:40	She says, "It's depressing that scholars
[2233] 1:56:41	of Old Testament and Egypt won't connect
[2234] 1:56:44	to sort things out. Are there any
[2235] 1:56:47	initiatives from critical scholars to
[2236] 1:56:49	try to improve this together? Your novel
[2237] 1:56:53	was an exact replica?" Um, okay. Um,
[2238] 1:56:58	actually, in some ways, critical
[2239] 1:56:59	scholars are making this worse.
[2240] 1:57:02	They're making this worse, not better.
[2241] 1:57:05	Um, I kind of wish they did make this
[2242] 1:57:07	better. Anyone who' make this better
[2243] 1:57:08	would be welcome to be honest. Um
[2244] 1:57:12	it I I have found that critical scholars
[2245] 1:57:14	tend to pursue hedge protection
[2246] 1:57:18	at even greater paces than scholars of
[2247] 1:57:21	the Old Testament. Um scholars of the of
[2248] 1:57:24	the Old Testament, some of them don't
[2249] 1:57:26	think to ask an Egyptologist.
[2250] 1:57:29	Some of them just presume it's easy to
[2251] 1:57:31	do Egypt stuff.
[2252] 1:57:33	critical scholars will actively
[2253] 1:57:36	um
[2254] 1:57:38	will actively screen out people outside
[2255] 1:57:42	of their particular niche.
[2256] 1:57:46	They're very territorial and very much
[2257] 1:57:49	into hedge protection.
[2258] 1:57:51	Um and and some of that is because
[2259] 1:57:54	critical scholarship does not tend to be
[2260] 1:57:56	a datadriven u um field. So, um um
[2261] 1:58:05	fields that are not data driven
[2262] 1:58:08	tend to be more susceptible to
[2263] 1:58:10	counterfactuals
[2264] 1:58:12	and counterfactuals tend to come out of
[2265] 1:58:15	left field for
[2266] 1:58:17	um for those sorts of things. So, so
[2267] 1:58:21	critical scholars have not helped. In
[2268] 1:58:24	fact, they've made it worse.
[2269] 1:58:27	Now, getting back to scholars of the Old
[2270] 1:58:29	Testament and Egypt connecting, they
[2271] 1:58:31	used to be connected.
[2272] 1:58:33	They used to be really, really tied
[2273] 1:58:35	together.
[2274] 1:58:37	Um,
[2275] 1:58:38	you go back to the 1920s,
[2276] 1:58:42	it was very I mean, most people who
[2277] 1:58:47	um
[2278] 1:58:49	uh practice Egyptology did also do some
[2279] 1:58:53	Old Testament studies. though.
[2280] 1:58:57	But what happened over time was
[2281] 1:59:00	Egyptology sort of separated itself from
[2282] 1:59:03	biblical archaeology. It sort of said,
[2283] 1:59:05	"Okay, we're going to have our own field
[2284] 1:59:07	with our own standards and our own
[2285] 1:59:09	rigor."
[2286] 1:59:11	And
[2287] 1:59:13	you know, Testament uh scholars of the
[2288] 1:59:15	Old Testament said, "Yeah, sounds great.
[2289] 1:59:17	We'll do the same thing."
[2290] 1:59:19	So, both fields ended up sort of going
[2291] 1:59:22	their separate ways.
[2292] 1:59:25	And um
[2293] 1:59:28	the result has been that now both sides
[2294] 1:59:32	aren't talking. Both fields aren't
[2295] 1:59:34	talking to each other. Um the Old
[2296] 1:59:38	Testament doesn't talk to to to the
[2297] 1:59:40	Egyptologists
[2298] 1:59:42	because it hurts their pride. They have
[2299] 1:59:44	to admit that they don't know everything
[2300] 1:59:46	about the Old Testament.
[2301] 1:59:49	Egyptology doesn't talk to the Old
[2302] 1:59:51	Testament because it isn't interesting.
[2303] 1:59:55	Um,
[2304] 1:59:58	so there's
[2305] 2:00:01	um it's it's an unfortunate thing
[2306] 2:00:04	because the two sides do need to start
[2307] 2:00:07	talking to each other again. Uh, the Old
[2308] 2:00:09	Testament definitely because they they
[2309] 2:00:11	are moving more into Egypt and
[2310] 2:00:14	Egyptology because I think it does help
[2311] 2:00:17	give some insight into what happens
[2312] 2:00:19	happened in Egypt too. So um especially
[2313] 2:00:22	in those um times when there is overlap
[2314] 2:00:27	in populations
[2315] 2:00:29	like you find in the new kingdom and the
[2316] 2:00:31	second intermediate period. So I think
[2317] 2:00:33	it's just unfortunate that they haven't
[2318] 2:00:35	they don't do that anymore. But um
[2319] 2:00:39	um I'm trying to change this myself, but
[2320] 2:00:43	I'm just finding it there's a lot of
[2321] 2:00:46	resistance a lot of resistance to it.
[2322] 2:00:47	Well, Old Testament scholars are flat
[2323] 2:00:50	out
[2324] 2:00:54	academic Egyptologists are all
[2325] 2:00:58	atheists. Uh, Rich Adams goes, "Did
[2326] 2:01:01	Carmen IMS reach out to you in writing
[2327] 2:01:03	her Exodus commentary?" No, she didn't.
[2328] 2:01:05	But she did reach out to me for her last
[2329] 2:01:08	SPL paper. Now, I think her commentary
[2330] 2:01:10	was already finished
[2331] 2:01:13	at the time. um she reached out to me.
[2332] 2:01:17	So that probably already went out to
[2333] 2:01:19	press
[2334] 2:01:21	prior to
[2335] 2:01:23	um her reaching out to me. Now she
[2336] 2:01:27	contacts me. Okay. If she's got a
[2337] 2:01:29	question, she'll contact me. Thank God
[2338] 2:01:32	for that. There's one who will finally
[2339] 2:01:35	reach out.
[2340] 2:01:37	like she did a series on her YouTube
[2341] 2:01:39	page on her YouTube just recently
[2342] 2:01:43	on um on the Ark of the Covenant and the
[2343] 2:01:47	um the tabernacle and she did reach out
[2344] 2:01:49	to me for for some questions and um I
[2345] 2:01:53	thank God she did
[2346] 2:01:57	um she even recommended my book like on
[2347] 2:01:59	the Ark of the Covenant three times. So
[2348] 2:02:02	>> yeah, and it resulted in
[2349] 2:02:05	>> it's resulted in some pretty impressive
[2350] 2:02:07	sales tube as a result. So
[2351] 2:02:09	>> yeah.
[2352] 2:02:11	>> So yeah, so she didn't reach out for me
[2353] 2:02:13	for her commentary, but she has reached
[2354] 2:02:15	out to me for other things. So it's a
[2355] 2:02:17	start and I'm happy it's a start. I'm
[2356] 2:02:22	I'm I'm fully on board with with
[2357] 2:02:25	scholars that want to start,
[2358] 2:02:27	you know, interfacing with an
[2359] 2:02:28	Egyptologist so that they can get the
[2360] 2:02:30	real goods on Egypt.
[2361] 2:02:34	Okay. Um we got some a few more super
[2362] 2:02:36	chats coming in here.
[2363] 2:02:46	Uh, Adam, rich Adam, what was the most
[2364] 2:02:48	out-of-bounds biblical teaching you've
[2365] 2:02:50	heard?
[2366] 2:02:52	I have heard biblical teachers do all
[2367] 2:02:55	sorts integrate all sorts of crazy
[2368] 2:02:57	things into um into their teaching that
[2369] 2:03:01	they think is say Egyptian and it isn't
[2370] 2:03:06	or at least it's not very good
[2371] 2:03:07	Egyptology stuff. Um,
[2372] 2:03:10	a lot of them will integrate uh Ro's new
[2373] 2:03:13	chronology.
[2374] 2:03:15	That's just wacko jacko. I mean, that's
[2375] 2:03:18	cuckoo for cocoa puffs. Um, it has no
[2376] 2:03:21	possibility of being correct, but you
[2377] 2:03:24	will find biblical scholars
[2378] 2:03:26	incorporating rules, new chronology into
[2379] 2:03:29	their teaching and thinking it's
[2380] 2:03:31	scholarly
[2381] 2:03:33	when it's in no way scholarly.
[2382] 2:03:37	Um, you'll have people trying to
[2383] 2:03:40	um, how do I say this? Hallucinate
[2384] 2:03:45	data,
[2385] 2:03:48	putting it into their biblical thinking
[2386] 2:03:51	or their their their
[2387] 2:03:53	articles and their book chapters. Um,
[2388] 2:04:06	Where is this
[2389] 2:04:08	>> Tony? Uh
[2390] 2:04:16	Tony G. And he took the arctanis and it
[2391] 2:04:19	was stored in the well of souls.
[2392] 2:04:22	Yikes.
[2393] 2:04:24	Oh boy. Oh boy.
[2394] 2:04:30	Um but um
[2395] 2:04:33	I mean I've seen people
[2396] 2:04:36	uh recite the myth like for example that
[2397] 2:04:38	the Ark of the Covenant is in Ethiopia.
[2398] 2:04:41	It's a myth. There's no nothing to it.
[2399] 2:04:44	It's been completely debunked but
[2400] 2:04:47	there's still people who who hold to it.
[2401] 2:04:50	Um,
[2402] 2:04:53	still people out there who who misdate
[2403] 2:04:56	uh Aman Hotep II,
[2404] 2:04:58	you know, um, they're still using the
[2405] 2:05:01	early daters dating. And there's no
[2406] 2:05:03	dating. I mean, here's the here's the
[2407] 2:05:05	crazy thing about that. There's no
[2408] 2:05:08	standardized dating that dates Am Hotep
[2409] 2:05:12	I from 1450 to 1425.
[2410] 2:05:17	The um um um what's it called now? The
[2411] 2:05:22	low chronology doesn't do that. The high
[2412] 2:05:24	chronology doesn't do that. The high
[2413] 2:05:27	chronology puts the accession of Aman
[2414] 2:05:30	Hotep II at 1437.
[2415] 2:05:35	Now, why do they put it at 1450? Because
[2416] 2:05:39	it works really well with the early date
[2417] 2:05:41	of the Exodus. That's why there's no
[2418] 2:05:44	chronology on this planet that's
[2419] 2:05:46	standardized
[2420] 2:05:48	that can be justified with evidence that
[2421] 2:05:51	places Ammon Hotep II at 1450 BC.
[2422] 2:05:56	But you'll still find Bible scholars
[2423] 2:05:58	using those dates. You won't find it in
[2424] 2:06:01	any museum. You won't find it in uh any
[2425] 2:06:05	standard Egyptology textbook.
[2426] 2:06:10	But Bible scholars will still use that
[2427] 2:06:12	dating
[2428] 2:06:14	even though it is just crazy town. It's
[2429] 2:06:17	crazy town.
[2430] 2:06:20	So,
[2431] 2:06:26	uh I still hear people talk about the
[2432] 2:06:28	Nephilim
[2433] 2:06:30	in crazy terms.
[2434] 2:06:33	You know, they're still thinking that
[2435] 2:06:34	that angels are breeding with with
[2436] 2:06:36	women.
[2437] 2:06:38	stating that there are all these eight
[2438] 2:06:42	>> Yeah. and stating there's all these 8
[2439] 2:06:44	foot tall or 10 foot tall skeletons in
[2440] 2:06:46	the ground somewhere. It's been so
[2441] 2:06:49	debunked. So debunked
[2442] 2:06:54	giant AI monster men.
[2443] 2:06:57	Oh, pretty much. It is it is that it is
[2444] 2:07:00	that level stupid.
[2445] 2:07:02	I mean we are we are off the rails at
[2446] 2:07:06	this point.
[2447] 2:07:11	Yeah. I mean,
[2448] 2:07:12	>> yes.
[2449] 2:07:19	>> I like that.
[2450] 2:07:20	>> CPM versus DOS. It's in an Arab dude's
[2451] 2:07:23	attic. That's my position.
[2452] 2:07:32	>> Yeah. Andrew Graham, Bigfoot levels are
[2453] 2:07:34	stupid. Yeah. And a lot of Bible
[2454] 2:07:37	scholars will just accept this stuff
[2455] 2:07:38	like it's absolute fact and and you try
[2456] 2:07:42	to tell them and they just get angry.
[2457] 2:07:56	Oh boy.
[2458] 2:07:57	>> Each river is connected either
[2459] 2:08:01	resources.
[2460] 2:08:04	>> Um
[2461] 2:08:05	>> that is
[2462] 2:08:08	>> Yeah. Rich Adams says, "I had a
[2463] 2:08:10	charismatic pastor teach the rivers in
[2464] 2:08:12	Genesis 2 were actually four streams of
[2465] 2:08:14	wealth that God gave humanity. Each
[2466] 2:08:16	river is connected to either finances,
[2467] 2:08:19	resources, influence, and desires."
[2468] 2:08:21	Yeah, that's so isogesus. I mean, that's
[2469] 2:08:23	just crazy. That is just crazy.
[2470] 2:08:30	Uh farmhouse theologian uh for 20 ducks
[2471] 2:08:32	Australian, thank you for that super
[2472] 2:08:34	chat. Very generous of you. Asks, are
[2473] 2:08:37	you the only one the only serious
[2474] 2:08:39	Christian Egyptologist using good data?
[2475] 2:08:42	Are there any others you can recommend
[2476] 2:08:44	up to and or any upand cominging
[2477] 2:08:47	learning like you did from Kitchen and
[2478] 2:08:49	Hoffmeer? Okay. I was one of two of of
[2479] 2:08:55	Hoffmeer students that ended up being an
[2480] 2:08:57	Egyptologist. Uh the other one's Mark
[2481] 2:08:59	Jansen. He's very good, too.
[2482] 2:09:03	Um
[2483] 2:09:04	but he's not as public as I am. I'm
[2484] 2:09:07	probably the most public Egyptologist.
[2485] 2:09:10	Well, on YouTube, okay? Um most do not
[2486] 2:09:15	get involved with YouTube for obvious
[2487] 2:09:18	reasons. It's a YouTube is a cesspool.
[2488] 2:09:20	Um and and most most Egyptologists have
[2489] 2:09:25	the good sense to stay away.
[2490] 2:09:28	Um but yeah, um I would I would
[2491] 2:09:30	recommend Mark Jansen. He's a good one.
[2492] 2:09:32	Um
[2493] 2:09:34	but there's a few of us. There's a few
[2494] 2:09:36	of us. Um, I'd say about I mean
[2495] 2:09:41	Christian Egyptologists, you're talking
[2496] 2:09:43	about
[2497] 2:09:45	I think there's about 12 of us in the
[2498] 2:09:46	world. Okay, there's not many.
[2499] 2:09:50	I mean, six of us had gathered at at
[2500] 2:09:52	Azor last year and one of them one of us
[2501] 2:09:55	commented, "Half the world's Christian
[2502] 2:09:57	Egyptologists are in one place right
[2503] 2:09:59	now.
[2504] 2:10:13	Yeah. So, um,
[2505] 2:10:18	all right, let's move on here. But yeah,
[2506] 2:10:20	there there's, um, uh, Jensen doesn't
[2507] 2:10:23	produce as much, uh, doesn't write as
[2508] 2:10:25	much as I do. Um, but he does a lot he
[2509] 2:10:29	does a lot more teaching than I do, too.
[2510] 2:10:31	So uh he he he teaches as an at an
[2511] 2:10:34	academic institution. He um
[2512] 2:10:38	he does write articles. Uh I tend to
[2513] 2:10:41	write less articles. I tend to write
[2514] 2:10:42	more books.
[2515] 2:10:44	So um I tend to my name tends to get out
[2516] 2:10:47	there a little more than his does. But
[2517] 2:10:48	he's done some good work. He was the
[2518] 2:10:50	general editor of the five views series
[2519] 2:10:53	on the Exodus. So or five views book.
[2520] 2:10:57	So,
[2521] 2:11:01	all right, let's go back here. We got
[2522] 2:11:03	some super chats to catch up on.
[2523] 2:11:13	All right. Uh, CPM versus DOSS foodie
[2524] 2:11:16	section. What is your favorite bread? My
[2525] 2:11:19	brother needs to know.
[2526] 2:11:23	What is my favorite bread?
[2527] 2:11:26	That is a hard question.
[2528] 2:11:28	I can think of various things I do like
[2529] 2:11:31	though as far as bread goes. Love
[2530] 2:11:34	faukatcha.
[2531] 2:11:37	Katchcha is excellent and I love it with
[2532] 2:11:39	in various ways. I love olives on my
[2533] 2:11:42	faukatcha.
[2534] 2:11:43	I even like um jalapeno peppers on mine.
[2535] 2:11:49	Mrs. Producer doesn't. That's fine.
[2536] 2:11:52	Uh but fetach fkatcha is very good.
[2537] 2:11:56	I like potato bread.
[2538] 2:11:59	Potato beds are very good. Not a big
[2539] 2:12:02	sourdough fan. Um I know that a lot of
[2540] 2:12:07	people do love sour sourdough. I'm not a
[2541] 2:12:10	big fan of sourdough. Um
[2542] 2:12:13	really crusty bread with soup. Yeah,
[2543] 2:12:15	with soup. Okay, that's different. Um,
[2544] 2:12:18	yeah, I'll I'll I'll do I'll definitely
[2545] 2:12:20	do sourdough with with a nice soup.
[2546] 2:12:24	Um,
[2547] 2:12:27	clam chowders. Clam chowters and s and
[2548] 2:12:30	sourdough is a very nice combination.
[2549] 2:12:34	Um, now, interestingly enough, uh, we
[2550] 2:12:37	have a Mrs. Producer and I have a very,
[2551] 2:12:41	very different taste in clam chowder.
[2552] 2:12:46	Uh,
[2553] 2:12:47	uh, Mrs. Producer prefers New England
[2554] 2:12:50	style clam chowder. I prefer Manhattan
[2555] 2:12:53	style.
[2556] 2:12:55	Obviously, we always eat New England.
[2557] 2:13:04	Um,
[2558] 2:13:06	but yeah, I love I love um I mean, both
[2559] 2:13:09	of those clam chows though go very very
[2560] 2:13:11	good with sourdough. Very good.
[2561] 2:13:18	NBA
[2562] 2:13:23	Tony G the OGN NBA Neville Basketball
[2563] 2:13:27	Association. Hey, they're tall enough,
[2564] 2:13:29	right?
[2565] 2:13:32	Uh, Pelican Pictures. You serious? 12
[2566] 2:13:35	Christian Egyptologists in the world?
[2567] 2:13:36	Well, yeah. Well, think about this for a
[2568] 2:13:39	moment. How many Egyptologists are
[2569] 2:13:41	there?
[2570] 2:13:42	There's only about 250.
[2571] 2:13:46	Okay, there's only about two. I mean,
[2572] 2:13:49	getting an Egyptology degree is very
[2573] 2:13:52	rare these days. You know, getting your
[2574] 2:13:54	PhD in Egyptology, there's very few
[2575] 2:13:57	schools to teach it. There are very few
[2576] 2:14:01	PhDs awarded because it's a very
[2577] 2:14:03	difficult discipline.
[2578] 2:14:06	I mean, it's not like like biblical
[2579] 2:14:07	studies where they're handing them out
[2580] 2:14:09	like candy, you know? I mean, I think in
[2581] 2:14:12	biblical studies, something like 10,000
[2582] 2:14:15	PhDs a year are being handed out.
[2583] 2:14:22	So, you know, when you've got a
[2584] 2:14:24	situation where you got 10,000
[2585] 2:14:29	uh I mean, think of it this way. There
[2586] 2:14:32	are a thousand schools
[2587] 2:14:36	over a thousand schools that do biblical
[2588] 2:14:38	studies worldwide.
[2589] 2:14:40	Over a thousand.
[2590] 2:14:43	That's a lot of schools doing that
[2591] 2:14:46	stuff.
[2592] 2:14:48	How many schools do Egyptology?
[2593] 2:14:51	About 10.
[2594] 2:14:53	Okay. It's two orders of magnitude
[2595] 2:14:56	smaller.
[2596] 2:14:58	Two orders of magnitude smaller.
[2597] 2:15:02	Okay. So, you got 10 schools worldwide.
[2598] 2:15:07	Each of those schools has
[2599] 2:15:10	two profs.
[2600] 2:15:14	One of those profs will take on a PhD
[2601] 2:15:16	student in a given given given year. So,
[2602] 2:15:20	so you got two profs. One is is is
[2603] 2:15:24	actively
[2604] 2:15:26	teaching a PhD student at any one time.
[2605] 2:15:30	So you're producing maybe five graduates
[2606] 2:15:35	a year, 10 graduates most globally
[2607] 2:15:40	per year.
[2608] 2:15:42	Okay.
[2609] 2:15:46	>> Just say 1/8 of all Egyptologist are
[2610] 2:15:50	Christian.
[2611] 2:15:50	>> Yeah, pretty much.
[2612] 2:15:53	Yeah, you about 1/8 of all Egyptologists
[2613] 2:15:56	are Christian. Yeah, about that.
[2614] 2:16:00	But it's also again it's a very very
[2615] 2:16:02	small number of people. There are very
[2616] 2:16:05	small people number of people doing it
[2617] 2:16:06	to begin with. Um
[2618] 2:16:11	in the year that I graduated
[2619] 2:16:15	from um Liverpool
[2620] 2:16:19	and Liverpool has the largest Egyptology
[2621] 2:16:21	faculty outside of Cairo. Okay.
[2622] 2:16:25	They've got seven seven full-time staff.
[2623] 2:16:31	I was the only PhD to graduate in my
[2624] 2:16:33	year. The only one.
[2625] 2:16:37	So even with a a large PhD, a large
[2626] 2:16:42	graduate school in Egyptology and seven
[2627] 2:16:46	is a huge graduate school for
[2628] 2:16:47	Egyptology.
[2629] 2:16:49	um they still produce roughly the same
[2630] 2:16:52	amount of of graduates.
[2631] 2:16:58	So yeah, I was it.
[2632] 2:17:09	So, um
[2633] 2:17:16	we back here.
