[0] 0:00	all right [Music]
[1740] 3:22:32	but not the procreation of a king they didn't believe that the gods could procreate with man
[1741] 3:22:39	the gods could procreate with each other that's very common and you find that in both Mesopotamian
[1742] 3:22:46	literature and Egyptian literature where Gods can procreate with each other just don't seem to procreate with man
[1743] 3:22:55	now we do find this in say Greek literature Greek myth Greek myth you get
[1744] 3:23:03	God's procreating with human beings to produce demigods like like Heracles
[1745] 3:23:10	Okay so that was common so in in Greek
[1746] 3:23:16	um uh Roman and Greek literature you'll find this in second temple period literature of course Greek and Roman
[1747] 3:23:23	literature is quite late you know it's post-seventh century
[1748] 3:23:30	so by the time that reaches say the
[1749] 3:23:36	um levantine world you're already in the second temple period so almost all of this is second temple
[1750] 3:23:42	period stuff so anyway uh thank you very much for the Super Chat thank you very much for that question I hope that helped
[1751] 3:24:00	polycarb sells Sala varieta for 4.99 thank you for the Super Chat
[1752] 3:24:07	where can I start on a faith journey I want to restart everything Where You Are
[1753] 3:24:14	start Where You Are you know
[1754] 3:24:19	well the the the journeys begins with one step
[1755] 3:24:27	start your Faith's journey by going through the Bible read your Bible
[1756] 3:24:33	now really get into the scripture meditate on the scripture take a psalm
[1757] 3:24:39	and read it three times a day read that same psalm three times a day
[1758] 3:24:47	for an entire month you'll discover a faith Journey after that
[1759] 3:24:53	you know there's ways of doing this how's your prayer life are you bringing your concerns to the
[1760] 3:25:01	father now there's a lot of ways you can approach this so
[1761] 3:25:07	um where do you start you start Where You Are where you are you start today
[1762] 3:25:14	simple that's how you begin a faith journey is through acts of trust like this
[1763] 3:25:21	so trust acts of devotion you know what what the uh would be called orthopraxis
[1764] 3:25:27	right practice so that's how you begin a faith journey is where you are
[1765] 3:25:33	and you do it through through God's word tonight I hope that helped thank you
[1766] 3:25:40	very much for the Super Chat very much appreciate it
[1767] 3:25:46	okay BC for two dollars Australian thanks for the Super Chat was Greek the primary language of first
[1768] 3:25:53	century Jews ah depends what circles you hung around
[1769] 3:26:03	if you were a scribe yes if you were practically anyone else no
[1770] 3:26:10	uh first gen Century Jews spoke a lot of Aramaic but they could also read Hebrew
[1771] 3:26:17	they could also read Hebrew and most of them had knowledge of greed
[1772] 3:26:23	so so Greek wasn't the primary language of
[1773] 3:26:29	first century Israel all right excuse me
[1774] 3:26:36	Aramaic would be more common especially as it sort of becomes Syriac
[1775] 3:26:46	but uh so Aramaic was probably the language of
[1776] 3:26:53	choice among say first century Israelites
[1777] 3:26:59	but they also spoke other languages too they did speak Greek they
[1778] 3:27:04	some of them knew Hebrew quite well a lot of them also knew Latin
[1779] 3:27:11	but it's the Roman Empire [Laughter]
[1780] 3:27:18	okay that would have had a strong the Imperial power of the day would have had a strong uh bearing on what languages
[1781] 3:27:23	they spoke to but Greek was a probably after Aramaic
[1782] 3:27:30	the most important language to first century Israelites
[1783] 3:27:36	and Then followed by Hebrew and Hebrew was at this point becoming a
[1784] 3:27:41	liturgical language so most first century Israelite uh first
[1785] 3:27:49	century Israelites new Hebrew could read Hebrew it just wasn't spoken every day
[1786] 3:27:56	and so it had become a liturgical language they could understand it they could read
[1787] 3:28:01	it and all that but it wasn't their first
[1788] 3:28:07	uh language for communication
[1789] 3:28:12	so anyway I hope that helped thank you very
[1790] 3:28:17	much for the Super Chat very much appreciated
[1791] 3:28:23	all right I'll take the follow-up question here now the Slate asks what was the purpose
[1792] 3:28:30	of the Septuagint if Jews spoke Hebrew I thought it had to be done because Jews
[1793] 3:28:36	did not know Hebrew well you also here have a the Septuagint was done for for
[1794] 3:28:43	Israelites but it was done for diaspora Israelites too okay
[1795] 3:28:50	now we have to kind of understand that in the first century you know even going back to say the second and third
[1796] 3:28:56	centuries BC the Jewish Community had spread out all over the Mediterranean
[1797] 3:29:03	it was no longer confined to to Israel
[1798] 3:29:10	so there were places where people were were Israelites had
[1799] 3:29:17	developed communities and never learned Hebrew Hebrew at this point was a dying
[1800] 3:29:24	language it was as I said it was a liturgical language
[1801] 3:29:29	it had already but it was already starting the process of dying by the 4th Century A.D it would be dead
[1802] 3:29:37	as a spoken language and a liturgical language only a handful of people had any remote
[1803] 3:29:45	idea how to read Hebrew by the fourth Century he was an amazing language in this one
[1804] 3:29:52	respect it's it's died twice
[1805] 3:29:58	it's the only language I know of that's died twice and come back
[1806] 3:30:05	it died first in the 4th Century A.D and was revived in the eighth
[1807] 3:30:12	with the masoretic movement then it dies again around the 16th
[1808] 3:30:20	century and then is revived in the 19th century
[1809] 3:30:27	so um this is very very interesting to see
[1810] 3:30:34	that uh that progress of of Hebrew you
[1811] 3:30:39	know that that it can it was resiliency as a language that it can you know like
[1812] 3:30:45	the Phoenix it dies only to be reborn again so
[1813] 3:30:52	but the Septuagint was a translation that was not just for for say Jewish
[1814] 3:30:59	communities in the diaspora but for Greek and Roman speakers Romans 2. we do
[1815] 3:31:06	have examples where Greek poets odd read the Septuagint like
[1816] 3:31:14	Horus Horus quotes the Septuagint you know he's a Greek poet
[1817] 3:31:22	so you know he had familiarity with Septuagint you know he's he's not he's not an
[1818] 3:31:28	Israelite himself so there were many many readers of the
[1819] 3:31:35	Septuagint that were not Israelites and for them Septuagint is the only
[1820] 3:31:43	accessible copy because Greek was the common tongue across the Mediterranean
[1821] 3:31:50	so anyway I hope that helped uh thank you for that question I really appreciate it
[1822] 3:32:02	uh Mr hbob didn't Hebrew also die in the BCS uh not completely uh speak Aramaic
[1823] 3:32:10	in Aramaic language we can understand yeah it didn't die completely at the end
[1824] 3:32:15	of the Kingdom Period and this is happens during the the siege of uh spanakarib uh against Hezekiah
[1825] 3:32:24	and it's the officials that say speak in Aramaic language we can understand so it didn't die completely
[1826] 3:32:32	but it was it was not in a good shape
[1827] 3:32:38	but it was it was it was downright dead yeah
[1828] 3:32:44	so anyway that's where we're gonna uh end that and get back on to the super chess
[1829] 3:32:50	here because we are going to run out of time if we don't so
[1830] 3:32:57	we've been rabbit trailing rabbit trails are so fun
[1831] 3:33:05	9 40 I think
[1832] 3:33:21	okay uh uh all right uh we're at 9 21.
[1833] 3:33:29	so the next one is
[1834] 3:34:03	okay Paul Thompson here for 199 sponsor
[1835] 3:34:10	Warriors question about Egyptian marriage okay 8 57 p.m okay
[1836] 3:34:22	9 36 p.m okay
[1837] 3:34:30	okay so 936 is the question and we're the most high asks was there the
[1838] 3:34:37	practice of child marriages in ancient Egypt was the General age of marriage in ancient Egypt for both men and women
[1839] 3:34:45	uh depends there wasn't much of a practice of child
[1840] 3:34:51	marriage unless you're doing royalty there was no no gain in it really
[1841] 3:34:57	uh most most first marriages were amongst um
[1842] 3:35:03	young women in their teens
[1843] 3:35:09	you could say that probably the average age was probably about 15 16.
[1844] 3:35:17	um for for men for women for men it was a lot older a man had to provide a house
[1845] 3:35:22	and a living so most young men were not married
[1846] 3:35:29	because they didn't have any economic prospects
[1847] 3:35:36	so this is this is true of the ancient world in general
[1848] 3:35:41	um women were married off very young
[1849] 3:35:48	because one of the most important tasks of a knife age agriculture Society is
[1850] 3:35:54	the ability to reproduce children whereas in a knife edge Agricultural
[1851] 3:35:59	Society the most important function of the man is to provide
[1852] 3:36:05	funny that so you tended to get sort of as far as
[1853] 3:36:10	marriages go lopsided according to age so generally women married very young
[1854] 3:36:17	men tend to ver marry in their as middle-aged
[1855] 3:36:22	so that's just that's just normal of the ancient world it also prevented stuff but also
[1856] 3:36:31	this sort of arrangement also was
[1857] 3:36:37	um provided for the security of the woman as well so it wasn't just a one-sided deal here
[1858] 3:36:44	we have to kind of re-keep that in mind women were vulnerable in the ancient near East
[1859] 3:36:52	oh yeah oh yeah absolutely my producer brings up here that young men were vulnerable because they would die in war
[1860] 3:36:59	which is very true so
[1861] 3:37:05	well as also the fact too that a lot of young men died in accidents
[1862] 3:37:10	farming accents farming accidents uh and the fact is
[1863] 3:37:17	you know once you were of a certain age as a man if you were successful you
[1864] 3:37:22	probably had servants they would take the accidents for you [Laughter]
[1865] 3:37:33	so you know this was this this provides security you know man in his 50s marrying a woman
[1866] 3:37:38	in her say teens you know that provided security for both
[1867] 3:37:44	parties so now
[1868] 3:37:51	in ancient Egypt too marriage was the first marriages weren't were arranged
[1869] 3:37:58	but the woman also had the option to get out of this at any time by divorce
[1870] 3:38:03	a woman could divorce for any reason
[1871] 3:38:10	all she had to do was just declare herself divorced and that was it he's divorced
[1872] 3:38:17	of course now she's on her own and you know
[1873] 3:38:24	yeah yeah she she didn't really didn't do that unless she had somebody else to sort of fill in the gap
[1874] 3:38:30	and second marriages in Egypt were very common they were very common
[1875] 3:38:35	and the second marriages tended to be more the ages tend to be more
[1876] 3:38:42	not so lopsided so we do find like for voluntary second
[1877] 3:38:47	marriages we do find that in those particular cases there's
[1878] 3:38:53	um greater age equity so that's that's just very common
[1879] 3:39:00	so anyway um and frankly we even have some records of fourth and fifth marriages in Egypt
[1880] 3:39:07	because marriage was a bit of a revolving door in Egypt so suffice it to say that's what happens
[1881] 3:39:14	when you have like libertine divorce in say the ancientere East is fourth and
[1882] 3:39:20	fifth marriages were not as uncommon as most people think thank you very much for the Super Chat
[1883] 3:39:27	very much appreciate and I hope that helped
[1884] 3:39:43	okay the next Super Chat here
[1885] 3:39:51	uh is from BC for two dollars Australian was the Israelite Camp shaped like a
[1886] 3:39:59	crucifix probably not um it would be probably more done in a
[1887] 3:40:06	say a concentric manner uh you'd have the Tabernacle in the
[1888] 3:40:12	center which makes sense because of the ritual
[1889] 3:40:17	um version the way the ritual of the Tabernacle worked
[1890] 3:40:24	and you'd have the camping parties on the outskirts so
[1891] 3:40:30	it probably was not shaped like a crucifix it was probably more shaped
[1892] 3:40:35	similar to stay the breastplate of the high priest
[1893] 3:40:40	or you had say three you know three camps of tribes
[1894] 3:40:47	and four four ranks of three three camps
[1895] 3:40:53	so it's probably more like what it was shaped
[1896] 3:40:58	um but was probably not shaped as a crucifix it wouldn't even make sense for them to shape it like crucifix
[1897] 3:41:05	they wouldn't even know to shape it like a crucifix so it's kind of anachronistic just to to suggest that so anyway thank
[1898] 3:41:13	you very much for the Super Chat very much appreciated and I hope that helped
[1899] 3:41:23	okay ass and we're for 199. thank you for the Super Chat
[1900] 3:41:28	sponsoring Jack Rey's non-super chat now which one is that
[1901] 3:41:35	find that
[1902] 3:41:49	let's see where is that
[1903] 3:42:06	all right oh okay
[1904] 3:42:17	okay Jack Ray found this who would you say is
[1905] 3:42:25	abr's number one enemy
[1906] 3:42:36	abr's number one enemy is evidence
[1907] 3:42:47	AVR is at war against evidence
[1908] 3:42:53	they don't like evidence they don't like evidence one bit
[1909] 3:43:09	oh that's a what but not a Who [Laughter]
[1910] 3:43:14	evidence personified foreign
[1911] 3:43:23	[Laughter] like wisdom
[1912] 3:43:29	you know she's personified in the Psalms or the proverbs [Laughter]
[1913] 3:43:35	why can't we personify evidence [Laughter]
[1914] 3:43:46	Mr evidencius um
[1915] 3:43:55	Mr doctor supported um proposition you know
[1916] 3:44:01	foreign yeah
[1917] 3:44:07	so yeah they they just don't like uh they
[1918] 3:44:14	don't like evidence so we find a consistent pattern at ABR
[1919] 3:44:22	where they have to kind of twist the facts twist the evidence to make it fit
[1920] 3:44:31	and that's going to lead to that's going to lead to problems
[1921] 3:44:36	yeah this is one of the reasons why they've earned the reputation they have
[1922] 3:44:42	you know a reputation where they will change the facts to fit the theory
[1923] 3:44:50	so you know this is not uncommon for them just not uncommon so
[1924] 3:44:57	um they don't like I mean let's face it though
[1925] 3:45:04	if we are going to talk about a hoop okay
[1926] 3:45:10	um all right I'll take that that question uh Super Chat we're almost done with the super chats anyway so I'll I'll we'll
[1927] 3:45:16	follow up on this in a moment
[1928] 3:45:27	all right uh BC for five dollars Australian thank you very much the Super Chat
[1929] 3:45:32	would the supplementation of Isaiah have been in place by the time of Jesus almost certainly yes
[1930] 3:45:40	he never seemed to suggest any issues with the Old Testament Canon he wouldn't uh the supplementation would have been
[1931] 3:45:47	inspired considered inspired by the time of Jesus and as such it would have been
[1932] 3:45:52	it would not have been an issue for Jesus and it would not have been an issue for most of the Israelite readers
[1933] 3:46:02	so supplementation is not considered to be
[1934] 3:46:09	um the same as say a gloss supplementation as far as
[1935] 3:46:15	inerrancy is concerned is part of inspired Canon
[1936] 3:46:22	so supplementation is okay uh glosses
[1937] 3:46:28	that can be problematic so because you're adding to an existing text you're adding your ins with a gloss
[1938] 3:46:36	you're inserting an interpretation into a text with a supplementation you're augmenting
[1939] 3:46:44	a text with more text
[1940] 3:46:50	so that's how they would sort of divide it here okay so anyway thank you very much to the
[1941] 3:46:56	Super Chat hope I hope that helps now we are getting close to the end of the night here so
[1942] 3:47:03	I'm not gonna be taking many more of these but I think we're at the end of the super chats with this one
[1943] 3:47:09	oh not quite okay uh BC for five dollars Australian
[1944] 3:47:17	thank you for the Super Chat jaunt 2016 why does John point out
[1945] 3:47:22	Mary's use of Aramaic is he writing to a non-sp non-israelite audience maybe she
[1946] 3:47:29	didn't usually speak Aramaic okay
[1947] 3:47:34	pull that up here
[1948] 3:47:39	John t
[1949] 3:47:45	or 16.
[1950] 3:47:51	Jesus said to her woman why are you weeping
[1951] 3:47:56	uh whom are you seeking supposing him to be the gardener she said to him sir if
[1952] 3:48:03	you have carried him away tell me where have you laid him and I will take him away
[1953] 3:48:09	Jesus said to her Mary he turned and said to him in Hebrew
[1954] 3:48:18	okay um no we gotta be careful here
[1955] 3:48:24	careful here the Greek here is uh
[1956] 3:48:31	uh ibriff y okay
[1957] 3:48:37	and Zach and even mean Hebrew or Aramaic okay so this is a Greek word that does
[1958] 3:48:45	double duty Rob and I raboni which means teacher okay
[1959] 3:48:52	so that's the text the question here why does John point
[1960] 3:48:57	out Mary's use of Aramaic okay
[1961] 3:49:03	because there's more here uh there's a there's a there's a meaning
[1962] 3:49:09	wrapped up in this now John's writing to both Israelites
[1963] 3:49:17	and Greeks got a double audience here
[1964] 3:49:23	so he's having to do some cultural interpretation here
[1965] 3:49:32	now Robin e um as is is a loaded term
[1966] 3:49:41	it means both my teacher and my Lord
[1967] 3:49:46	okay so my great one
[1968] 3:49:53	okay so if you're a Hebrew speaker or an Aramaic speaker this has a very
[1969] 3:50:01	different meaning to you than it would to just a Greek speaker
[1970] 3:50:10	so John's being very careful here to
[1971] 3:50:16	include the original language of what Mary said
[1972] 3:50:22	to basically show is Hebrew and Aramaic speaking audience
[1973] 3:50:30	that okay he's recognizing Jesus as just more than our son
[1974] 3:50:36	there's a recognization here that that's more than her son but as her teacher and Lord
[1975] 3:50:44	okay so that's what he's doing here
[1976] 3:50:49	it's not that she didn't usually speak Aramaic she did usually speak Aramaic so she would have known this well
[1977] 3:50:55	but what she said in Aramaic has some additional meaning
[1978] 3:51:01	that you just would not get in the text if it had just been written out in Greek
[1979] 3:51:08	so there's Nuance here that's added by including the original language
[1980] 3:51:14	so that's why John has chosen to point this out and point out this is Aramaic
[1981] 3:51:19	so that it wouldn't throw his Greek speakers as Hebrew speakers would be pick it up
[1982] 3:51:25	immediately his Greek speakers wouldn't
[1983] 3:51:31	so that's why you need he needed to do this because he's writing to two
[1984] 3:51:37	audiences right so I hope that helps thank you very much the Super Chat very
[1985] 3:51:42	much appreciate that okay
[1986] 3:51:56	all right jack Ray and I think this is the final Super Chat of the night here for five dollars thank you very much the
[1987] 3:52:02	Super Chat what human person that currently breathes oxygen do you think is abr's
[1988] 3:52:09	number one enemy
[1989] 3:52:18	oh
[1990] 3:52:25	BC uh Jack Ray the correct answers themselves well
[1991] 3:52:31	that's the real enemy
[1992] 3:52:37	but if you ask someone at ABR I know who they would answer
[1993] 3:52:43	I know who they would answer can of kitchen
[1994] 3:52:56	uh yeah I got I got a oh I don't have it in book form I I I'd have to pull it up in a PDF but yeah
[1995] 3:53:03	it'd be kind of kitchen he would be their Enemy Number One
[1996] 3:53:09	I would be Enemy Number Two and James Hoffmeyer would probably be enemy number
[1997] 3:53:15	three
[1998] 3:53:21	they're a little easier on Jim because Jim is not so um
[1999] 3:53:26	fourth right and a lot of what he says is useful to them but Kenneth kitchen would be their
[2000] 3:53:34	uh their Enemy Number One no question about it that's that's if you ask them
[2001] 3:53:40	that's who they would tell you okay
[2002] 3:53:45	so you got the answer I only rate is Enemy Number Two
[2003] 3:53:50	[Laughter]
[2004] 3:53:56	and I only rate is Enemy Number Two because I keep embarrassing them
[2005] 3:54:02	that's the reason that's the reason I'm number two is because I keep publicly embarrassing
[2006] 3:54:08	them and frankly they should be embarrassed because they keep saying silly stupid
[2007] 3:54:16	things okay
[2008] 3:54:21	so that's yeah
[2009] 3:54:27	yeah oh that's that's right I mean I name names and I support what I say with
[2010] 3:54:34	evidence yeah it's it and it bothers them it really
[2011] 3:54:39	bothers them that they don't have good answers for a lot of this evidence they just don't have good answers
[2012] 3:54:48	so you know that's one of the reasons why they they call me they've called me repeatedly worse than Satan worse than
[2013] 3:54:55	an atheist sorry worse than an atheist the Satan affectation comes from the wrong widers
[2014] 3:55:03	but but they have frequently called me worse than an atheist
[2015] 3:55:17	yeah so but but if you ask them they'll say kind of kitchen is their number one
[2016] 3:55:23	right so anyway oh Ryan Gosling Drive 2000 when did they
[2017] 3:55:29	uh it was several years ago they did this um
[2018] 3:55:35	it was actually on I think it was one of my first
[2019] 3:55:40	um one of my first interviews you know when I went on another Channel
[2020] 3:55:46	that um Ryan Gosling Drive 2011.
[2021] 3:55:52	when did they call you that it was it was I think when 2019
[2022] 3:55:58	2019 I was doing a live stream I think it was one of the ones
[2023] 3:56:04	um if I'm not mistaken I think it was one of the ones I did on IP's Channel
[2024] 3:56:13	um that they called me worse than an atheist so okay
[2025] 3:56:20	but it's not it's this is something they've called me repeatedly so yeah that just sort of shrug it off at
[2026] 3:56:26	this point just like okay if you want to go there that's just
[2027] 3:56:31	that that doesn't Advance the conversation bring your evidence to the table okay let's talk evidence
[2028] 3:56:38	let's talk evidence let's talk biblical interpretation good exegesis show me
[2029] 3:56:43	your exegesis show me your evidence okay now we're talking don't do that
[2030] 3:56:50	they won't do that they'll just sort of hide behind polemics they'll hide behind
[2031] 3:56:56	um you know um name calling they'll hide behind uh
[2032] 3:57:03	assertions oh my gosh the assertions assertions never end
[2033] 3:57:11	you know it's just it's like okay
[2034] 3:57:16	yeah you're trying to make a case here and then your thing is well I believe
[2035] 3:57:22	this um that's the interpretation I hold
[2036] 3:57:28	wait a minute he you're trying to prove something here you're trying to prove a specific point of view
[2037] 3:57:34	you need to show that that point of view has warrants
[2038] 3:57:42	if you're not showing that your point of view has warrants is that point of view of any value
[2039] 3:57:52	is it better than any other point of view you need to show warrant for your case
[2040] 3:58:01	this is basic stuff basic stuff but
[2041] 3:58:07	they just would rather do hit pieces and
[2042] 3:58:12	you know do sneaky stuff behind the scenes and I've I've had that I've had that
[2043] 3:58:19	this issue with them where you know I'd do a debate with them and then they scrub the debate
[2044] 3:58:24	didn't like the way it went so they deleted it and I'll references to it
[2045] 3:58:31	oh oh yeah everyone would love to see the video from the one in the ETS
[2046] 3:58:37	they they buried that one so deep we'll never see the light of day
[2047] 3:58:45	I was at that point I learned to do my own recordings which is why when I did it with Titus
[2048] 3:58:51	Kennedy yeah I recorded my made my own recording just in case something like that
[2049] 3:58:57	happened and surprise surprise something like that happened
[2050] 3:59:04	same dogs same tricks
[2051] 3:59:11	so anyway uh thank you very much okay let's uh this is the last Super
[2052] 3:59:19	Chat here and then we'll take a couple of non-super chats and then we'll call it a night because it's after midnight
[2053] 3:59:26	Okay Lego David uh for 10 Romanian thank you very much for the Super Chat
[2054] 3:59:32	thoughts on the Armstrong Institute of of archeology okay
[2055] 3:59:38	it's an extension of of of armstrongism which is the I forget uh
[2056] 3:59:44	called now Church of there was a name for it no
[2057] 3:59:50	um I remember the name of that church at the moment
[2058] 4:00:00	let's get a quick look up here uh the Church of Christ armstrongism
[2059] 4:00:06	yeah Church of God international Richard got International okay so the
[2060] 4:00:14	the Armstrong Institute of archeology is an extension of the Church of God
[2061] 4:00:19	international which was um also called armstrongism now
[2062] 4:00:25	interesting thing about the uh of Armstrong ism and the Church of God international is
[2063] 4:00:32	it's one of the few churches that's become more Orthodox over time it was very cultic at one point
[2064] 4:00:39	uh it would not have been considered Orthodox Christianity now it's gone a lot come a long ways to become much more
[2065] 4:00:46	orthodox still got some issues though okay
[2066] 4:00:55	um now the Armstrong Institute of archeology
[2067] 4:01:00	is one of those places it's one of the things about armstrongism
[2068] 4:01:06	was it as as sort of a even as a cult it was really focused on archeology
[2069] 4:01:13	it thought that the way to prove the scriptures was through archeology
[2070] 4:01:18	and in some ways this this led to them becoming more Orthodox is the more stuff
[2071] 4:01:24	they found in archeology the more it showed that their theology was wrong
[2072] 4:01:29	so archeology played a pivotal role in their changing their ideas
[2073] 4:01:37	now uh the Armstrong Institute of archeology is a hit and miss kind of thing
[2074] 4:01:44	some things they do are very good some things are dreadfully bad
[2075] 4:01:50	it's a it's it's a mileageable very situation okay
[2076] 4:01:55	um they do still support an early date of The Exodus that's bad
[2077] 4:02:01	uh they also will recognize some very good synchronisms as well like uh the
[2078] 4:02:06	tarot of erkash they recognize that that's that's also that's good
[2079] 4:02:12	so it's it's going to be a mileage very thing I wouldn't trust them as a rule
[2080] 4:02:20	but they have they've had had some I'd say some they've been spot on sometimes
[2081] 4:02:26	so it's going to depend so I wouldn't count it as a great
[2082] 4:02:32	Institute as far as it's um as far as what it supports
[2083] 4:02:39	but foreign this is probably better out there
[2084] 4:02:47	just to say that it's just there's better stuff out there
[2085] 4:02:54	so it's it is it is it is an attempt to use archeology as apologetic
[2086] 4:03:01	as opposed to archeology to educate that's probably uh that's probably where
[2087] 4:03:07	I'll draw draw the line there archeology as apologetic
[2088] 4:03:13	I think has some issues it doesn't really tell you the full
[2089] 4:03:18	picture but archeology to educate
[2090] 4:03:23	is very helpful and I think Armstrong Institute is still sort of
[2091] 4:03:30	fumbling with what should archeology mean
[2092] 4:03:35	to um the church as a whole
[2093] 4:03:40	and in particular they're a Church of God international so
[2094] 4:03:46	I would I would definitely say you know take someone what they say with a grain of salt
[2095] 4:03:53	but I've also seen some as I said some some good stuff come out of there too so it's a mixed bag uh
[2096] 4:04:01	but it tends to lean more how would I say it it tends to lean more towards abr's
[2097] 4:04:09	thinking then say academic archeology okay
[2098] 4:04:16	so I think we can leave it there so anyway thank you very much for the Super Chat very much appreciated but I've got
[2099] 4:04:22	some reservations with with uh I'm starting an Institute of archeology
[2100] 4:04:28	all right we're going to take a few super chats and then we're going to call it a night because we are after midnight
[2101] 4:04:33	here or a few non-super chats sorry
[2102] 4:04:40	I'll take this one from dark blade here because I just saw here uh how do we know that the horned viper
[2103] 4:04:46	in the word for father he's talking about the Egyptian word for father eat is a Solace alternative and the word
[2104] 4:04:53	isn't actually etef okay here's how we know this okay it's a great piece of
[2105] 4:05:00	deduction if you look at say really old stuff by budge
[2106] 4:05:05	he will don't ever use budge or use budge
[2107] 4:05:11	he sometimes will will translate that as ETF it's not ETF it's eat
[2108] 4:05:18	so how do we know that the Viper in eat is silent well there's a few lines of
[2109] 4:05:25	evidence one is the fact that in Coptic
[2110] 4:05:31	it's eat it does not it's a common word in Coptic the the F there's no F there okay so we
[2111] 4:05:40	know that's the Copic pronunciation second reason we know it is sometimes the Viper falls off
[2112] 4:05:48	it's it's omitted a lot of words can be written without their determinative
[2113] 4:05:55	and this is one case where it can be written without the determinative in which case
[2114] 4:06:01	it's sometimes replaced with a predominal suffix
[2115] 4:06:07	though you might find a t my father without the Viper determinative
[2116] 4:06:15	so that's how we know it's a determinative that's not pronounced because we do find it in instances where
[2117] 4:06:22	it's not pronounced and because it's not pronounced it's not included in the orthography
[2118] 4:06:30	so that's how we know it frustrating okay I'll admit it's
[2119] 4:06:36	frustrating as you as a as a beginning learner you want to translate that as
[2120] 4:06:41	ETF it's it is
[2121] 4:06:51	a warrior the most high asks uh the follow-up question what does the Viper determine in Father we don't really know
[2122] 4:06:57	in all honesty we do know that there are some determinatives that don't make a lot of
[2123] 4:07:04	logical sense
[2124] 4:07:09	so we don't know exactly what kind of determinative it is uh
[2125] 4:07:16	but we just know that it is a determinative [Music] you know you just
[2126] 4:07:23	have to sort of sometimes live with this you know some one of my language teachers once told me
[2127] 4:07:30	when you're learning a language foreign
[2128] 4:07:36	terrible question to ask is why why is something a certain way in a
[2129] 4:07:42	language uh I I remember doing that
[2130] 4:07:50	to my Hebrew teacher you know there's a verse in the Bible there was much
[2131] 4:07:56	happiness and joy slaughtering sheep and or slaughtering
[2132] 4:08:01	cattle and slaying sheep and I asked the the question you know
[2133] 4:08:07	after he he'd given this warning why are why are cattle slaughtered but
[2134] 4:08:14	sheep slain because you don't Slaughter humans you slay humans and you slay sheep
[2135] 4:08:22	it doesn't make a lot of sense and the Hebrew teacher replied
[2136] 4:08:28	remember I asked you no why questions it's like okay you don't know
[2137] 4:08:35	yeah we don't know essentially we don't know what the Viper
[2138] 4:08:40	determinative means in this particular case it's just used uh but we do find that the uh the Viper
[2139] 4:08:49	is an Egyptian called a a uniliteral so it's basically a a character that
[2140] 4:08:57	represents a single phoneme okay we find for example in the word for
[2141] 4:09:05	mountain um um
[2142] 4:09:10	okay would be how we would we would you know phoneticize that
[2143] 4:09:16	with the the um relief I
[2144] 4:09:22	the vulture aleph um a t loaf
[2145] 4:09:28	and then there would be a and determinative well it's actually IAT
[2146] 4:09:36	the hand is a determinative it's not yet okay
[2147] 4:09:42	so there's another case where we see these sort of determinatives in an Egyptian word
[2148] 4:09:49	that are uniliterals and again we don't know what hand would
[2149] 4:09:54	what does it have to do with mountain nothing nothing
[2150] 4:10:04	but it's there it's there and it's it's unmistakable
[2151] 4:10:11	so so anyway it's just sometimes these determinatives are there and we don't
[2152] 4:10:17	know why exactly some we can figure out okay
[2153] 4:10:24	uh some we can't so anyway uh thank you very much for the
[2154] 4:10:29	non-super chat thank you it's a great question it's a question that students often ask sometimes we just don't know
[2155] 4:10:36	all right uh next non-super chat
[2156] 4:10:41	and we're taking these from the bottom up here
[2157] 4:10:59	uh take this one from Andrew Graham do ABR write novels no they don't
[2158] 4:11:07	uh so anyway it's just like okay these guys
[2159] 4:11:13	are all business they um they don't um
[2160] 4:11:18	yeah they don't they don't they don't write fiction they're really not they're they got no sense of humor they
[2161] 4:11:25	just yeah they're they're focused on Ministry to churches that's how they spread their
[2162] 4:11:32	message it's by going from church to church to influence people
[2163] 4:11:37	um seminaries that sort of thing so nope they don't write novels
[2164] 4:12:02	857 okay
[2165] 4:12:14	all right let's let's go to that question then
[2166] 4:12:25	857 that's going to take me a little while to get there here so what
[2167] 4:12:38	all right I see it here okay uh Joseph Parton asks in ancient Egypt
[2168] 4:12:45	are there any pharaohs that successfully implemented administrative reforms that reversed social stratification improved
[2169] 4:12:52	social mobility and reduced inflation okay
[2170] 4:12:57	um those are two different questions uh did they in troduce reforms that reverse
[2171] 4:13:04	social stratification no no social stratification was part of the
[2172] 4:13:09	system it was absolutely part of the system
[2173] 4:13:15	and they had no interest in reversing that
[2174] 4:13:20	so there was a there was no
[2175] 4:13:27	everyone accepted it as part of the system so there was no reforms to reverse
[2176] 4:13:34	social stratification in fact if anything they kept kept it going
[2177] 4:13:39	even into the Islamic period they were still doing social stratification
[2178] 4:13:44	so that did not end with the Egyptian Um Kingdom
[2179] 4:13:50	it it really stretched almost into modern times
[2180] 4:13:55	okay uh the second thing reduced inflation they only had one strategy for reducing
[2181] 4:14:02	inflation which was a hegemony um extraction of of tribute that's the
[2182] 4:14:08	only way they could reduce inflation was to have control over the satellite
[2183] 4:14:14	nations and basically extract tribute to bring raw Goods raw supplies and finished
[2184] 4:14:21	goods too uh back to Egypt so this is one of the reasons why a
[2185] 4:14:29	fire economy can be very vulnerable to inflation
[2186] 4:14:35	because you're you're you don't because you don't have
[2187] 4:14:41	a fiat currency you don't have a currency now in say
[2188] 4:14:48	non-butter economies the wave inflation normally works
