[0] 0:19	Oh,
[3848] 3:22:11	I think it's a promise. You're making a
[3849] 3:22:14	promise to God that you'll keep the
[3850] 3:22:16	faith.
[3851] 3:22:18	So, I don't think it's the seal of the
[3852] 3:22:20	covenant, but I do think that baptism
[3853] 3:22:22	represents the um basically a
[3854] 3:22:29	um promise to God that you're going to
[3855] 3:22:31	keep the faith, you're going to walk in
[3856] 3:22:33	the faith, that you're going to give
[3857] 3:22:34	your life to Christ. So,
[3858] 3:22:42	>> yeah.
[3859] 3:22:46	Yeah, as my producer just reminded me,
[3860] 3:22:48	uh, Ji Packard used to teach, uh, J.I.
[3861] 3:22:51	Packard used to teach that baptism is
[3862] 3:22:55	the invitation into the covenant
[3863] 3:22:57	community, but it's upon you to keep the
[3864] 3:23:00	faith once you're in the covenant
[3865] 3:23:02	community.
[3866] 3:23:05	And I think that's a perfectly
[3867] 3:23:06	acceptable point of view.
[3868] 3:23:09	But um he sort of kind of
[3869] 3:23:13	postulated that
[3870] 3:23:16	uh in a sort of against the grain of
[3871] 3:23:19	Anglican theology.
[3872] 3:23:21	So
[3873] 3:23:23	um Anglican theology is more likely to
[3874] 3:23:26	to to believe that baptism is a seal of
[3875] 3:23:30	the covenant than they are to think that
[3876] 3:23:32	it's an invitation into the covenant
[3877] 3:23:34	community. So, I mean, I I appreciate
[3878] 3:23:38	um Packer's really considered view of
[3879] 3:23:41	this. I think he's trying to make sense
[3880] 3:23:43	with that within the Anglican tradition,
[3881] 3:23:46	but he also
[3882] 3:23:49	um he's also walking a line there. He's
[3883] 3:23:52	also walking a line. So,
[3884] 3:23:56	but I think I think overall baptism is a
[3885] 3:23:58	promise. It's a promise. You're making a
[3886] 3:24:01	promise and you're showing everyone
[3887] 3:24:03	you're you're making a promise that
[3888] 3:24:05	you're going to keep the faith.
[3889] 3:24:11	So
[3890] 3:24:12	that's that's what I think here. So um
[3891] 3:24:16	anyway, I hope that helps. Thank you for
[3892] 3:24:17	the super chat. Very much appreciate it.
[3893] 3:24:23	And then the next one here is what is a
[3894] 3:24:25	chief priest? How does it differ from
[3895] 3:24:28	priests and high priest? Okay. Um,
[3896] 3:24:33	there's no really no difference between
[3897] 3:24:35	a chief priest and a high priest.
[3898] 3:24:36	They're the same thing. Um,
[3899] 3:24:39	so that's just a translational
[3900] 3:24:42	difference between chief and high. It
[3901] 3:24:44	means the same thing, exactly the same
[3902] 3:24:45	thing.
[3903] 3:24:47	So, um, high priest is the guy that
[3904] 3:24:50	actually does the ceremony, the most
[3905] 3:24:53	important ceremonies before your god,
[3906] 3:24:55	whatever god that is.
[3907] 3:24:57	Um Egyptians had high priests. Uh they
[3908] 3:25:00	were called hairy teps. Um
[3909] 3:25:03	basically first priests uh or chief
[3910] 3:25:06	priests. Um the Israelites also had a
[3911] 3:25:10	high priest
[3912] 3:25:12	and in the case of the high priest his
[3913] 3:25:15	principal function was to do the
[3914] 3:25:18	ceremony of Yam Kipur.
[3915] 3:25:21	Okay. That was his that was his chief
[3916] 3:25:24	duty was yum kipur.
[3917] 3:25:28	So a priest could not go into the holy
[3918] 3:25:31	of holies.
[3919] 3:25:33	Regular priests were forbidden from
[3920] 3:25:35	entering the [clears throat] holy of
[3921] 3:25:36	holies.
[3922] 3:25:38	The high priest once a year could enter
[3923] 3:25:41	behind the veil and sprinkle the the
[3924] 3:25:44	blood of the of the goat and the bull
[3925] 3:25:49	onto
[3926] 3:25:51	into the holy of holies as sort of the
[3927] 3:25:54	covering of the nation's sin.
[3928] 3:25:58	So the high priest in in in Israelite
[3929] 3:26:02	religion was there to to do that
[3930] 3:26:06	intercession between the people and God.
[3931] 3:26:11	So his representation there as as high
[3932] 3:26:14	priest was to represent the nation to
[3933] 3:26:17	provide the covering of the sins of the
[3934] 3:26:19	nation for that year.
[3935] 3:26:22	Regular priests couldn't do that.
[3936] 3:26:24	Regular priests could
[3937] 3:26:27	do the rituals for offerings, regular
[3938] 3:26:29	offerings like sin offerings, peace
[3939] 3:26:31	offerings, oath offerings, all those
[3940] 3:26:34	various offerings of the sacrificial
[3941] 3:26:36	system. Okay, so that was that was what
[3942] 3:26:39	the the normal priests did. They did the
[3943] 3:26:41	offerings um you know like the burnt
[3944] 3:26:44	offerings. They the regular priest would
[3945] 3:26:46	do that. But really the job of the high
[3946] 3:26:49	priest was Yam Kapor. That was his main
[3947] 3:26:51	job. I hope that helped. Thank you for
[3948] 3:26:54	the super chat. Very much appreciated.
[3949] 3:26:58	We'll take one more from at and then
[3950] 3:27:00	we'll move on to to the next super chat
[3951] 3:27:02	here. Okay.
[3952] 3:27:06	2 Samuel 8:18. How were David's sons
[3953] 3:27:09	priests? Okay. I get this question a
[3954] 3:27:11	fair bit, but we'll talk about that
[3955] 3:27:14	because they're not quite priests. They
[3956] 3:27:17	aren't priests,
[3957] 3:27:19	but we will tell you exactly what they
[3958] 3:27:20	are here. But I know exactly what you're
[3959] 3:27:23	talking about.
[3960] 3:27:25	Okay.
[3961] 3:27:27	And Bananiah son of Jehoeda was over the
[3962] 3:27:30	Kathites and the Pelites. And David's
[3963] 3:27:33	sons were chief ministers. Okay. Now
[3964] 3:27:36	some translations
[3965] 3:27:38	the word in Hebrew is cohen. It's
[3966] 3:27:41	priest. Okay.
[3967] 3:27:44	But these are not religious priests.
[3968] 3:27:48	They're and let's use the word minister
[3969] 3:27:50	instead. Okay? Because that actually
[3970] 3:27:53	better describes this what's going on
[3971] 3:27:55	here. Okay? Now, as a Judahite and
[3972] 3:27:58	David's sons, all of David's sons were
[3973] 3:28:00	Judahites. Judahites cannot be religious
[3974] 3:28:03	priests. Not in Israel.
[3975] 3:28:07	Religious priests in Israel had to be
[3976] 3:28:09	descendants of of Aaron
[3977] 3:28:13	was a Levite. So, only Levites could be
[3978] 3:28:16	priests.
[3979] 3:28:18	David's sons could not as Judahites be
[3980] 3:28:23	priests. But what's talking about here
[3981] 3:28:26	isn't priests.
[3982] 3:28:29	It's ministers as in ministers of the
[3983] 3:28:33	crown.
[3984] 3:28:36	Okay, this is antiquated jargon. Okay.
[3985] 3:28:40	Like for example,
[3986] 3:28:42	[laughter]
[3987] 3:28:43	Jack Ray, Minister of Administrative
[3988] 3:28:45	Affairs with Sir Humphrey Applebee
[3989] 3:28:47	assisting.
[3990] 3:28:48	>> Oh yeah,
[3991] 3:28:49	>> that's exactly what it is.
[3992] 3:28:53	>> That's exactly what it is.
[3993] 3:28:56	It's a government position.
[3994] 3:28:58	We still use the same terminology.
[3995] 3:29:01	uh in Canada we have a parliamentary
[3996] 3:29:03	system and basically the cabinet is made
[3997] 3:29:07	up of ministers serving the prime
[3998] 3:29:11	minister. Okay.
[3999] 3:29:14	So you have minister of finance,
[4000] 3:29:18	you have minister of domestic affairs,
[4001] 3:29:21	you have minister of defense. Okay,
[4002] 3:29:25	these are not priests
[4003] 3:29:28	but they are in service to the crown.
[4004] 3:29:33	And even the prime minister, the first
[4005] 3:29:35	minister
[4006] 3:29:36	is in service to the crown.
[4007] 3:29:40	David's sons here were not priests.
[4008] 3:29:44	They were ministers of the crown.
[4009] 3:29:47	They were government officials.
[4010] 3:29:51	They just didn't have a word for
[4011] 3:29:53	somebody who was it. Okay. Now we have a
[4012] 3:29:57	US has different terminology for this
[4013] 3:30:00	but it sort of follows the same
[4014] 3:30:02	structure
[4015] 3:30:04	but in any parliamentary society any
[4016] 3:30:07	parliamentary government you have this
[4017] 3:30:09	terminology.
[4018] 3:30:11	um David's government was not a
[4019] 3:30:13	parliament but it had retained that that
[4020] 3:30:15	that terminology where those people who
[4021] 3:30:20	were bureaucrats for the crown were
[4022] 3:30:22	ministers.
[4023] 3:30:29	>> Yeah.
[4024] 3:30:32	>> Yeah.
[4025] 3:30:39	Yeah. Um DBC says the Septuagent
[4026] 3:30:42	translates it differently now as
[4027] 3:30:43	priests. I wonder what now now I'm
[4028] 3:30:45	curious what does the Septuagent
[4029] 3:30:47	translate that as?
[4030] 3:30:49	See what the Septuagent says.
[4031] 3:31:10	That's princes of the court. Yeah.
[4032] 3:31:16	Princes of the court. Interesting.
[4033] 3:31:24	The sons of David.
[4034] 3:31:29	Olarchai.
[4035] 3:31:30	Olarkai. Princes.
[4036] 3:31:33	Okay. Interesting.
[4037] 3:31:36	Princes of the court. Yeah. I mean I
[4038] 3:31:38	mean that's actually a very astute
[4039] 3:31:40	translation by the Septuagent uh
[4040] 3:31:43	writers. Yeah. Very astute translation.
[4041] 3:31:48	And I think I think that's actually a
[4042] 3:31:50	really good translation. Princes of the
[4043] 3:31:52	court. Uh better in better instead say
[4044] 3:31:55	chief priests or chief ministers. Um
[4045] 3:31:58	because kind of we've lost that
[4046] 3:32:00	language. Um, oh, it's definitely an
[4047] 3:32:04	interpretation. You know, Princes of the
[4048] 3:32:06	Court is is definitely an
[4049] 3:32:08	interpretation. Uh, but all translations
[4050] 3:32:11	are ultimately all translations are
[4051] 3:32:13	interpretations.
[4052] 3:32:15	So,
[4053] 3:32:17	because what's happening with a
[4054] 3:32:18	translation is you're reading the
[4055] 3:32:21	original language, translating it in
[4056] 3:32:23	your head, which means you're you're
[4057] 3:32:25	basically interpreting it and then
[4058] 3:32:27	writing out that translation. So all
[4059] 3:32:30	translations are interpretations,
[4060] 3:32:33	but I think Princes of the Court is a
[4061] 3:32:35	really really good a really solid
[4062] 3:32:38	interpretation and and it's
[4063] 3:32:39	interpretation that is less likely to
[4064] 3:32:41	confuse today.
[4065] 3:32:43	Uh again, sort of the whole idea of
[4066] 3:32:46	ministers as ministers of the crown uh
[4067] 3:32:49	has dropped out of our it's it's become
[4068] 3:32:53	kind of archaic.
[4069] 3:32:55	Um, and unless you live in a
[4070] 3:32:56	parliamentary system and make that
[4071] 3:32:58	connection, you're not likely to catch
[4072] 3:33:00	it.
[4073] 3:33:03	And I can see where say Americans are
[4074] 3:33:05	much more unlikely to catch this than
[4075] 3:33:08	say um somebody who lives in a British
[4076] 3:33:11	British Commonwealth country where this
[4077] 3:33:14	terminology is more normal. But even so,
[4078] 3:33:16	even in Canada, very few people would
[4079] 3:33:18	probably catch that. So anyway, um, at I
[4080] 3:33:22	hope that helped. Thank you for that
[4081] 3:33:23	super chat. Uh, really great question.
[4082] 3:33:25	As I said, we've had that one before,
[4083] 3:33:27	but um, it does remember,
[4084] 3:33:31	[laughter]
[4085] 3:33:32	Jack Ray. Yay. Those those Americans.
[4086] 3:33:36	[laughter]
[4087] 3:33:41	>> What What is What is What is the
[4088] 3:33:42	American um
[4089] 3:33:45	um analog of that? What is What is um
[4090] 3:33:47	the cabinet for the president called?
[4091] 3:33:51	I know there's secretary of state book.
[4092] 3:33:53	What are the other ones called? Um,
[4093] 3:33:57	deputy or something?
[4094] 3:33:59	Director of defense or something like
[4095] 3:34:01	that.
[4096] 3:34:03	>> Director.
[4097] 3:34:04	>> Yeah.
[4098] 3:34:07	>> Yeah.
[4099] 3:34:12	>> Yeah. I don't know. But, uh, it's now
[4100] 3:34:14	called the Department of War.
[4101] 3:34:18	>> So,
[4102] 3:34:21	Yeah, departments have directors. So,
[4103] 3:34:26	okay. So, let's move on here.
[4104] 3:34:31	Um, want to thank Jack Ray for, uh,
[4105] 3:34:34	gifting the, uh, channel, uh, 20 ancient
[4106] 3:34:37	Egypt and the Bible memberships. Thank
[4107] 3:34:38	you so very much. We really appreciate
[4108] 3:34:40	that.
[4109] 3:34:42	Uh, next one here is from PA888
[4110] 3:34:47	uh, for 1999. Thank you for that super
[4111] 3:34:49	chat. He says, "I would like to sponsor
[4112] 3:34:52	a question of your choice."
[4113] 3:34:54	Do we have one?
[4114] 3:35:10	>> Hey, Mashite.
[4115] 3:35:18	Anybody else?
[4116] 3:35:27	>> Ah, excellent. That's actually a good
[4117] 3:35:29	question. Uh, 9 what?
[4118] 3:35:33	956. Okay, here's going to be our
[4119] 3:35:35	sponsored question here. 956. Way back.
[4120] 3:35:45	Getting there.
[4121] 3:35:59	Actually, we'll take that one. Let's
[4122] 3:36:01	take that one.
[4123] 3:36:06	>> Okay.
[4124] 3:36:08	Let's do that one because I'm
[4125] 3:36:09	>> 811.
[4126] 3:36:10	>> Let's do that one first and we'll go
[4127] 3:36:11	back to haste later.
[4128] 3:36:14	>> Okay. 811
[4129] 3:36:26	way back, isn't it?
[4130] 3:36:44	8 11
[4131] 3:36:47	I always go back to the beginning here.
[4132] 3:36:52	All right, we'll take this one here from
[4133] 3:36:55	Andamio.
[4134] 3:36:57	How did the Egyptians figure out the
[4135] 3:36:59	process of mummification? Did they
[4136] 3:37:01	practice on people of low birth first to
[4137] 3:37:03	perfect it? Question for my sister.
[4138] 3:37:06	Smiley face. Okay, great question. Uh,
[4139] 3:37:09	no, they did not practice on people of
[4140] 3:37:12	low birth to perfect it. And the reason
[4141] 3:37:14	why is because the materials were
[4142] 3:37:15	expensive.
[4143] 3:37:17	Okay.
[4144] 3:37:19	So, how they figure it out? Well, nature
[4145] 3:37:22	kind of taught them how to do it.
[4146] 3:37:25	Uh, the first burials in Egypt were
[4147] 3:37:28	what's called pang graves. where they
[4148] 3:37:31	basically
[4149] 3:37:32	dig a hole in the ground,
[4150] 3:37:35	throw the body in there and just bury
[4151] 3:37:37	it. Okay. Now, the sand of Egypt is hot
[4152] 3:37:41	and dry and that desiccated the body.
[4153] 3:37:46	So, sometime people would dig it up
[4154] 3:37:48	these pang graves and discovered natural
[4155] 3:37:51	mummies formed in the sand.
[4156] 3:37:55	Pan fried mummy. Ooh. Ooh.
[4157] 3:38:02	Don't want that in your head, huh?
[4158] 3:38:06	[laughter]
[4159] 3:38:11	Yeah. So, these pang graves would be
[4160] 3:38:13	basically natural form natural mummies
[4161] 3:38:16	and the Egyptians knew this.
[4162] 3:38:19	So, they tried to emulate that process.
[4163] 3:38:23	Now, pangrave mummies weren't wrapped.
[4164] 3:38:28	So to do the whole sort of mummification
[4165] 3:38:31	ritual, they had to use other things.
[4166] 3:38:34	They discovered that natural mummies
[4167] 3:38:37	formed in these natron flats too. And
[4168] 3:38:41	these flats were essentially ancient
[4169] 3:38:43	seas that saltwater seas that dried up
[4170] 3:38:48	and created these this thick layer of
[4171] 3:38:51	nature on the surface. And they
[4172] 3:38:54	discovered that animals that sort of
[4173] 3:38:55	died there were preserved
[4174] 3:38:58	through because of the salting caused by
[4175] 3:39:00	the natron.
[4176] 3:39:03	So they would mine this naturification.
[4177] 3:39:10	So So they figured it out by trial and
[4178] 3:39:13	error just like everything else.
[4179] 3:39:15	So the first mummies would probably have
[4180] 3:39:18	not been
[4181] 3:39:20	um remove had the organs removed,
[4182] 3:39:23	but they also discovered that if they
[4183] 3:39:25	didn't remove the organs
[4184] 3:39:28	um uh decomposition set in. So they
[4185] 3:39:33	removed the the organs, washed the body,
[4186] 3:39:36	dried the body as best as they could,
[4187] 3:39:37	and then they packed it in Natron
[4188] 3:39:40	for 40 days.
[4189] 3:39:43	At the end of 40 days, you know, they
[4190] 3:39:46	would take away the the spoiled Natron,
[4191] 3:39:48	put in fresh Natron. So
[4192] 3:39:51	they discovered that if they salted the
[4193] 3:39:53	mummy well enough, it stayed preserved
[4194] 3:39:55	just like salted meat does.
[4195] 3:39:59	They also used Natron by the way too for
[4196] 3:40:02	salting fish.
[4197] 3:40:05	So they discovered this
[4198] 3:40:08	uh the process of mummification as at
[4199] 3:40:11	the same time as they were salt
[4200] 3:40:12	discovering
[4201] 3:40:14	salting food.
[4202] 3:40:16	The two are two are directly related. So
[4203] 3:40:20	they would go fishing, catch fish, salt
[4204] 3:40:23	fish and can have fish all year round.
[4205] 3:40:27	Um, now what they would do with the fish
[4206] 3:40:29	is they would soak the fish to get rid
[4207] 3:40:31	of the natron and all the salt and then
[4208] 3:40:33	they'd have fish that they could use in
[4209] 3:40:35	in stews and and and you know to eat and
[4210] 3:40:39	all that. So,
[4211] 3:40:42	so um the whole figuring out of of the
[4212] 3:40:45	process of mummification was a
[4213] 3:40:47	combination of say natural mummies and
[4214] 3:40:51	food preservation.
[4215] 3:40:53	They sort of put two and two together
[4216] 3:40:55	here and said, "Okay, we can salt fish.
[4217] 3:40:59	Animals that die,
[4218] 3:41:01	we can we can we can we can salt on
[4219] 3:41:04	George, too."
[4220] 3:41:10	So it was one of those things that that
[4221] 3:41:11	that you know they they came across this
[4222] 3:41:13	stuff enough naturally
[4223] 3:41:16	you know as I said the mummies of of the
[4224] 3:41:19	natron flats they found the pang graves
[4225] 3:41:22	and they just sort of put two and two
[4226] 3:41:24	together here and discovered okay this
[4227] 3:41:27	is how we can make it work for human
[4228] 3:41:29	beings. So that's how they figured it
[4229] 3:41:32	out. It's actually pretty cool and
[4230] 3:41:33	pretty interesting.
[4231] 3:41:37	But they didn't practice on people of
[4232] 3:41:39	low birth. They didn't do that cuz
[4233] 3:41:41	again, these things were expensive.
[4234] 3:41:45	Natron had to be trucked in from the
[4235] 3:41:46	desert. It cost money.
[4236] 3:41:50	Uh wrapping up a a mummy in linen was
[4237] 3:41:55	expensive. Cost money.
[4238] 3:41:58	Well, at least trade goods. But you know
[4239] 3:42:02	the paints that they used, theerary
[4240] 3:42:04	furniture, the canopic jars, all that
[4241] 3:42:07	stuff was really expensive.
[4242] 3:42:11	So
[4243] 3:42:14	um
[4244] 3:42:22	so anyway, I hope that helped. Thank you
[4245] 3:42:24	very much for that uh question and thank
[4246] 3:42:26	you very much um um P A8 JJ I I I for
[4247] 3:42:32	sponsoring that question. Really
[4248] 3:42:33	appreciate that. We also want to thank
[4249] 3:42:37	um Jack Ray for that second gifting of
[4250] 3:42:40	20 ancient Egypt and the Bible
[4251] 3:42:42	memberships. We thank you for your
[4252] 3:42:44	support of your of the channel. We also
[4253] 3:42:46	want to thank that you have been so
[4254] 3:42:48	generous to the community as well by
[4255] 3:42:50	giving those gifts. But we really
[4256] 3:42:52	appreciate you being here. We love your
[4257] 3:42:55	puns and we we love the fact that you
[4258] 3:42:57	participate as well in the channel. So,
[4259] 3:43:00	thank you so very much. Mummy money.
[4260] 3:43:04	[laughter]
[4261] 3:43:05	Woohoo.
[4262] 3:43:08	Mummy money. [laughter]
[4263] 3:43:16	Okay, I got to look at what that means.
[4264] 3:43:22	Uh, let's see. Where am I here?
[4265] 3:43:52	Okay, let's get back to this here.
[4266] 3:43:56	And
[4267] 3:43:59	I think that's the last that's the last
[4268] 3:44:01	super chat uh in the in the thing, but
[4269] 3:44:05	we still have a few more from Ministries
[4270] 3:44:09	here to do it.
[4271] 3:44:14	Okay. I was wondering about that.
[4272] 3:44:19	Uh Scott Warren says, "Were the
[4273] 3:44:21	apostles?" Now, was he t
[4274] 3:44:25	means uh
[4275] 3:44:27	uh prescarians?
[4276] 3:44:29	It was I was unsure if you were meaning
[4277] 3:44:31	prescarians
[4278] 3:44:33	or precariates
[4279] 3:44:35	because either one could have been by by
[4280] 3:44:37	your spelling. Either one of those
[4281] 3:44:39	questions would have made sense.
[4282] 3:44:42	Hey, Danny Demit, how's it going?
[4283] 3:44:45	Okay. Uh were they pescatarians? Were
[4284] 3:44:48	they essentially vegetarians except for
[4285] 3:44:50	eating a fish? Um no, not necessarily.
[4286] 3:44:54	Um they do not seem to have been
[4287] 3:44:56	exclusively they were a lot of them were
[4288] 3:44:59	pres um uh prescarians because they
[4289] 3:45:02	lived on a fishing village like uh Peter
[4290] 3:45:06	um you know he lived at Bethida which
[4291] 3:45:09	was a fishing village at the edge of the
[4292] 3:45:12	um the Sea of Galilee. it fishing was a
[4293] 3:45:16	big deal at the Sea of Galilee. So, so
[4294] 3:45:20	Peter probably ate a lot of fish. Okay.
[4295] 3:45:23	Um
[4296] 3:45:25	but that doesn't mean that all the
[4297] 3:45:28	apostles did ate fish. Uh some of them
[4298] 3:45:31	would have eaten lamb when available.
[4299] 3:45:35	Um
[4300] 3:45:36	definitely a Passover they would have
[4301] 3:45:39	eaten lamb.
[4302] 3:45:41	Um they would have also eaten eggs. Um
[4303] 3:45:45	fish is it was was commonly available to
[4304] 3:45:48	the apostles because they were
[4305] 3:45:49	fishermen.
[4306] 3:45:50	In fact after the uh the uh crucifixion
[4307] 3:45:54	many of them went back to fishing until
[4308] 3:45:57	Christ showed up. So so they were they
[4309] 3:46:00	were they were naturally this is this
[4310] 3:46:02	was a lot of their a lot of the apostles
[4311] 3:46:04	had fishermen as an occupation. So,
[4312] 3:46:09	um,
[4313] 3:46:11	so a lot of them did eat fish.
[4314] 3:46:14	Now, with that said, too, again, if they
[4315] 3:46:17	had other sort of available meats, I
[4316] 3:46:21	don't think they were opposed to it as
[4317] 3:46:22	long as it was kosher.
[4318] 3:46:28	So,
[4319] 3:46:30	so they might have been uh prescarian
[4320] 3:46:34	just by the opportunity of the
[4321] 3:46:37	availability of what was there, not for
[4322] 3:46:39	any ideological reason. All right, hope
[4323] 3:46:41	that helps. Thank you for the question.
[4324] 3:46:46	Okay, we got a three more questions here
[4325] 3:46:49	from at mystery for tonight and then we
[4326] 3:46:52	can call probably call it a night.
[4327] 3:46:58	Okay. Mark 15:33. Was it just overcast?
[4328] 3:47:04	Let's take a look here at Mark
[4329] 3:47:10	um
[4330] 3:47:12	Mark Mark 15
[4331] 3:47:17	33.
[4332] 3:47:21	And when the sixth hour had come,
[4333] 3:47:24	darkness fell over the whole land until
[4334] 3:47:25	the 9inth hour.
[4335] 3:47:28	Um, no, I don't think it's just overcast
[4336] 3:47:31	here. Just saying.
[4337] 3:47:36	Um, darkness is very very different than
[4338] 3:47:41	just overcast.
[4339] 3:47:45	Israelites would have recognized
[4340] 3:47:47	overcast. Okay. Uh, the Israelites did
[4341] 3:47:50	get rains. Okay, they did get seasonal
[4342] 3:47:52	rains. They recognized what overcast
[4343] 3:47:53	looked like. So, they would have
[4344] 3:47:56	recognized overcast. No, this is the
[4345] 3:47:59	whole sun. This is the sun going dark
[4346] 3:48:01	for three hours.
[4347] 3:48:04	Yeah, that's just that's not an ordinary
[4348] 3:48:06	overcast.
[4349] 3:48:09	>> That's unnerving. Yes.
[4350] 3:48:12	Even for Vancouver, we don't go we don't
[4351] 3:48:14	the whole land doesn't go into complete
[4352] 3:48:16	dark. Even in Vancouver, we get heavy
[4353] 3:48:18	overcast here three whole hours.
[4354] 3:48:25	So, no, this is not just an overcast.
[4355] 3:48:31	Okay. Next one here from 18 Ministries
[4356] 3:48:33	is 2 Samuel 9:11. Why does the Hebrew
[4357] 3:48:37	say my table? Let's look it up.
[4358] 3:48:44	2 Samuel
[4359] 3:48:47	Nine.
[4360] 3:48:59	Uh 911. Then Zeus said to the king,
[4361] 3:49:02	"According to all that my lord the king
[4362] 3:49:05	commands his servant, so your servant
[4363] 3:49:08	will do so." So Masheb said ate at
[4364] 3:49:11	David's table. And we'll look at that in
[4365] 3:49:13	a moment. That's one of the king's sons.
[4366] 3:49:16	Okay, that's probably just a
[4367] 3:49:17	translation. So, let's just look at the
[4368] 3:49:18	hero.
[4369] 3:49:42	All right. All right. So, the Hebrew
[4370] 3:49:43	says
[4371] 3:49:46	and Mashivth
[4372] 3:49:51	ate at
[4373] 3:49:54	and it does the table has
[4374] 3:49:58	um
[4375] 3:49:59	first uh
[4376] 3:50:06	common mascul singular common suffix
[4377] 3:50:08	first person common singular. Okay.
[4378] 3:50:12	So it is my table
[4379] 3:50:17	just as uh one of
[4380] 3:50:21	the sons of the king. All right.
[4381] 3:50:25	Yeah. Just as one of the sons of the
[4382] 3:50:27	king. So
[4383] 3:50:31	ate at my table
[4384] 3:50:34	just as one of
[4385] 3:50:36	the sons of the king. Okay.
[4386] 3:50:48	So,
[4387] 3:50:52	so why does it say that?
[4388] 3:50:56	Because we're probably getting a recount
[4389] 3:50:58	here.
[4390] 3:51:07	Yeah. So we're probably getting the
[4391] 3:51:09	words here is probably according to the
[4392] 3:51:12	perspective of the point of view of
[4393] 3:51:15	David.
[4394] 3:51:17	So that's why I would probably say that
[4395] 3:51:19	this that so
[4396] 3:51:23	Mphibicheth
[4397] 3:51:25	ate at my table.
[4398] 3:51:29	The name of our next is going to be
[4399] 3:51:30	Mphibicheth. Huh?
[4400] 3:51:33	ate at my table as one of the king's
[4401] 3:51:37	sons. So, I think what we're doing here
[4402] 3:51:39	is we're getting um we're getting a
[4403] 3:51:42	perspective here. Sort of a a leap. How
[4404] 3:51:45	do you say this? Point of view leap.
[4405] 3:51:48	Now, um point of views are, you know, we
[4406] 3:51:53	have rules for this in modern fiction. A
[4407] 3:51:56	point of view can change
[4408] 3:51:58	and you know you do get
[4409] 3:52:02	older literature has say a um omnisient
[4410] 3:52:05	point of view where you could sort of
[4411] 3:52:09	walk into another person's head
[4412] 3:52:11	character's head at any point in the
[4413] 3:52:13	story. This was very common in in uh
[4414] 3:52:16	early in literature in the early 20th
[4415] 3:52:18	century. Today we don't that's not sort
[4416] 3:52:21	of the norm.
[4417] 3:52:23	Today, um, most fiction,
[4418] 3:52:27	mine included, will only be in one
[4419] 3:52:30	person's head at a time.
[4420] 3:52:33	Biblical writers were not held to that
[4421] 3:52:34	standard. They could sort of jump
[4422] 3:52:37	between point of views.
[4423] 3:52:40	So,
[4424] 3:52:43	so here
[4425] 3:52:45	uh in verse 11, Zeba the king's servant
[4426] 3:52:49	said, "According to all that my lord
[4427] 3:52:51	king commands his servant to your
[4428] 3:52:53	servant so will do."
[4429] 3:52:56	And then we get David's sort of
[4430] 3:52:59	perspective here on this. So shift a
[4431] 3:53:03	date at my table as one of the king's
[4432] 3:53:05	sons. So I think that's all this is is a
[4433] 3:53:07	shift in point of view and that's all
[4434] 3:53:08	that is that's that's required here to
[4435] 3:53:12	understand this. So I hope that helps.
[4436] 3:53:15	Thank you for the super chat. Very much
[4437] 3:53:16	appreciate it.
[4438] 3:53:19	Okay. And the last one from at for the
[4439] 3:53:22	night here.
[4440] 3:53:24	Thank you very much for the super chats.
[4441] 3:53:27	He says, "Why can't men and women wear
[4442] 3:53:29	the same clothes?
[4443] 3:53:32	They're social markers."
[4444] 3:53:34	Um, that's the reason.
[4445] 3:53:38	Now, in ancient Israel,
[4446] 3:53:42	they both wore tunics.
[4447] 3:53:45	Okay? They both wore tunics. They just
[4448] 3:53:47	looked like different kinds of tunics.
[4449] 3:53:51	So, we see Smitic tunics uh uh um at the
[4450] 3:53:57	tomb of Benny Hassan.
[4451] 3:54:01	And we do see that they they differ in
[4452] 3:54:03	styling. They're essentially both both
[4453] 3:54:06	tunics. Both men and women wore
[4454] 3:54:09	Veraricolor tunics,
[4455] 3:54:12	but they didn't look exactly the same.
[4456] 3:54:16	Like for example, um one like like the
[4457] 3:54:20	women's tunic would be strung over one
[4458] 3:54:22	shoulder instead of two.
[4459] 3:54:25	So the styling of those tunics
[4460] 3:54:28	was
[4461] 3:54:30	was different as a social marker.
[4462] 3:54:34	So
[4463] 3:54:37	um why couldn't men and women wear the
[4464] 3:54:40	same clothes? Because it would confuse
[4465] 3:54:42	the social markers.
[4466] 3:54:44	essentially the reason
[4467] 3:54:47	these social markers exist to to be able
[4468] 3:54:52	to easily identify the genders.
[4469] 3:54:56	So,
[4470] 3:54:59	um we don't have those conventions these
[4471] 3:55:01	days, but back then it was important to
[4472] 3:55:04	be able to identify
[4473] 3:55:07	someone's gender at a distance.
[4474] 3:55:11	Like you might be in a field
[4475] 3:55:13	and you know if if somebody is in danger
[4476] 3:55:20	in a distance you know you might brush a
[4477] 3:55:23	little more if you can unsee that that's
[4478] 3:55:26	a woman being attacked by a wild animal
[4479] 3:55:28	or something. So you know there'd be no
[4480] 3:55:33	expectation she could defend herself say
[4481] 3:55:35	a wild animal. So, so these social
[4482] 3:55:38	markers become very very important in
[4483] 3:55:41	say clan cultures and in cultural
[4484] 3:55:44	settings where there is imminent danger.
[4485] 3:55:49	So,
[4486] 3:55:50	oh they had wild animals all over the
[4487] 3:55:52	place. Yeah, they you know they had
[4488] 3:55:54	wolves, they had bears, they had lions.
