[0] 0:00	a [Music]
[2037] 3:57:05	fine we're not going to change I I've told you this from day one we're not
[2038] 3:57:10	going to bow to find fincial pressure
[2039] 3:57:15	we're not going to do that we appreciate your support but we aren't going to change
[2040] 3:57:22	the content just to please a benefactor we've told you that from day
[2041] 3:57:28	one okay so if you don't want to support the channel we're cool with that we're
[2042] 3:57:34	fine with that but we we appreciate your support we are grateful for your support
[2043] 3:57:41	we certainly if he doesn't we certainly uh we certainly need the support but
[2044] 3:57:49	we're not going to change who we are because of the support okay
[2045] 3:57:56	so um I do as again appreciate your support but we are doing more here than
[2046] 3:58:04	just theology more than just teaching on the ancient near East and frankly we have not compromised that in any way
[2047] 3:58:14	but we are going to try to keep keep get people to engage the culture because the
[2048] 3:58:22	culture is where things matter okay so just keep that in mind
[2049] 3:58:33	please all right we'll take on the next Super Chat here uh we'll just finish up
[2050] 3:58:38	on that zigurat thing from BC here was the Tower of Babel a zigurat
[2051] 3:58:44	yes yes it was uh in case we weren't clear before because we kind of abbreviated this it was a ziggurat it
[2052] 3:58:51	was uh probably not even a particularly tall ziggurat uh but was probably one of the
[2053] 3:58:56	early ziggurats okay so thank you very much for the Super Chat very much
[2054] 3:59:03	appreciated okay Andre Forester for 1399 thank you for the Super Chat how similar
[2055] 3:59:09	different were ancient and medieval Siege tactics and Technology oh that's a broad
[2056] 3:59:16	question I'm curious every time I read about the conquest because I'm much more familiar with the
[2057] 3:59:21	Crusades um they did have battering rams although we don't know we don't think the
[2058] 3:59:27	Israelites used battering rams but there were ancient uh uh um armies that did
[2059] 3:59:33	use battering rams lots of arrows
[2060] 3:59:39	slings um the Egyptians had developed Siege towers by the
[2061] 3:59:44	um by the Middle Kingdom so you know there's there's a lot of
[2062] 3:59:52	that uh going on here um there were a people did scale
[2063] 4:00:01	walls so um there weren't a huge amount like there there would be some
[2064] 4:00:06	differences like for example um um medieval seeg tactics would use treor
[2065] 4:00:14	that was not invented yet crossbows and um ballistas were not invented yet so
[2066] 4:00:22	there there there were there were things in medieval Siege technology that were not yet invented at the time of say the
[2067] 4:00:29	conquest but the con at the time of the conquest there would have been Siege towers that would have been
[2068] 4:00:35	available um battering rams would have been available uh arrows and slings would
[2069] 4:00:42	have been available so that those are typically the weapons that were used in Siege Warfare at that
[2070] 4:00:49	time so anyway I hope that helped thank you for the Super Chat very much
[2071] 4:01:01	appreciated uh senal apologetics for $2 Australian thank you for the Super Chat did you read my funny Christmas post on
[2072] 4:01:08	my YouTube no I didn't unfortunately um been busy kind of lately so I haven't been reading a lot
[2073] 4:01:15	of extra posts okay so again uh thank you for the Super Chat I
[2074] 4:01:22	really appreciate the support um haven't read it though but I'll I'll take a look for it okay I'll
[2075] 4:01:29	take a look for
[2076] 4:01:39	it Jonathan Walker for $5 thank you for the super chat with JIS 216 be better as
[2077] 4:01:45	eat you will eat from every tree of the garden I asked because the Hebrew eat
[2078] 4:01:51	infinitive you will eat imperfect okay um I think we're into the
[2079] 4:01:57	same um same uh issues that we had with the previous your previous question on
[2080] 4:02:03	the infinitive here but we'll just take a quick look just to be sure Genesis 2
[2081] 4:02:09	verse 16 and
[2082] 4:02:14	the Lord commanded the man saying from any tree of the garden you may eat freely and if I go look at the
[2083] 4:02:20	Hebrew oh he's Health look at Hebrew here okay
[2084] 4:02:26	and the Hebrew is in the imperfect second person
[2085] 4:02:33	masculine uh singular and it's in the Cal imperfect so it is that imperfect
[2086] 4:02:39	again that you will eat but in here um yeah um you will eat
[2087] 4:02:48	from every tree in the garden but there's also say that permissive aspect of it as well because again we're we're
[2088] 4:02:57	while we can render this as future tense uh because it's an imperfect action it
[2089] 4:03:03	is one of those things where um it is one of those texts where
[2090] 4:03:11	because we're dealing with the um aspect of an incomplete action it can also be
[2091] 4:03:18	represented as um um in um translated as may
[2092] 4:03:24	eat so um you will eat or may eat are both acceptable translations in this
[2093] 4:03:30	case Okay so yeah you're probably you might be a little more precise that you
[2094] 4:03:36	will but um it's not necessarily the case because we're dealing here with
[2095] 4:03:41	aspect scope okay so I hope that helped thank you very much for the Super Chat
[2096] 4:03:46	very much
[2097] 4:03:56	appreciated Jack Ray for $5 thank you for the Super Chat Tony absu the ancient
[2098] 4:04:02	world reimagined first timer I have a problem to solve with FAS the Nubian was
[2099] 4:04:08	he Nubian or not oh interesting okay um
[2100] 4:04:13	this is probably a sponsored Super Chat thank you for the uh Super Chat uh Jack uh the the the name
[2101] 4:04:23	um uh Phineas comes from um
[2102] 4:04:30	pahas okay which is Egyptian for the Nubian
[2103] 4:04:38	okay so there's a possibility here that Phineas was newb
[2104] 4:04:44	we not we're not told for sure or he might have been half Nubian so he might
[2105] 4:04:50	have had a an Israelite father and a Nubian mother that's
[2106] 4:04:57	possible we we do know that there were Nubians at
[2107] 4:05:03	avarus so because there was actually a whole division a whole Infantry Division
[2108] 4:05:09	stationed at avarus of Nubian and there's even Nubian arals at
[2109] 4:05:15	avarus so we do know that there was a mix of Nubians and Israelites at
[2110] 4:05:22	avarus so the idea that uh Phineas
[2111] 4:05:27	pahas was an at least had had some Newan ancestry is definitely a possibility and
[2112] 4:05:34	that we can't rule out so um was he completely Nubian probably not but he
[2113] 4:05:42	probably had some nuban ancestry and as I said there's enough Nubians there that
[2114] 4:05:48	definitely could have been all right so uh thank you very much for the Super
[2115] 4:05:54	Chat very much appreciate and I hope that helps
[2116] 4:06:34	hey look Slade okay I got your I got your last uh your last
[2117] 4:06:40	um uh message here
[2118] 4:06:47	um quote the point was made privately but stupidly made public God will handle
[2119] 4:06:52	your ego issue both
[2120] 4:06:59	okay yeah okay um uh
[2121] 4:07:05	that's that's your call um but again we w we have been very very
[2122] 4:07:13	clear with you from the beginning here that we will not bow to donor
[2123] 4:07:19	pressure we want we want people saved we want to reach the
[2124] 4:07:26	culture okay if you disagree with that I'm sure
[2125] 4:07:33	you and I'm sure you do but but that's what we're into we're into reaching the
[2126] 4:07:38	culture for Christ okay soing God in his kingom this is not about ego this is not about
[2127] 4:07:47	ego and frankly your messages were very condescending okay and quite frankly
[2128] 4:07:53	quite insulting so we have we have
[2129] 4:08:01	evangelized Jew yeah you know we have we have
[2130] 4:08:08	evangelized people at Renaissance Fairs the fields are
[2131] 4:08:14	white the fields are white and ready to harvest we need to be out there
[2132] 4:08:20	harvesting the grain that's what Christ has called us to is to reach the culture reach the
[2133] 4:08:28	entire world for his kingdom that's the point why why does he think spends
[2134] 4:08:36	millions of dollars on movies yeah I don't know I don't know why he thinks this but you know
[2135] 4:08:44	yeah just I don't get it really
[2136] 4:08:51	are yeah it's
[2137] 4:08:58	just yeah I don't I don't get why he's upset of of us at us you know writing a novel and
[2138] 4:09:07	then saying that hey you know we got this novel available okay you know it's it's not
[2139] 4:09:13	like we've been harping on this for weeks and weeks and weeks and weeks and weeks you know
[2140] 4:09:24	so uh too many CL Maries can some clarify I'm very confused okay let's clarify the
[2141] 4:09:30	situation we won't spend too much time on this but we'll just clarify it just to um to to say now talbet slate has
[2142] 4:09:39	been a longtime donor of this channel he's probably been our biggest donor
[2143] 4:09:44	and we're very very grateful for that okay this channel would have not have
[2144] 4:09:49	survived without his his his support okay and we've been very very grateful
[2145] 4:09:56	for that but we've also made it clear to that we teach what we teach because God
[2146] 4:10:03	has called us to teach it okay now one of the things that we teach on this
[2147] 4:10:09	channel is cultural engagement and we've done this from the very beginning we have always said it's
[2148] 4:10:17	not enough to teach good theology good ancient year Eastern interpretation of
[2149] 4:10:23	the Bible you also have to engage the culture okay you also you it's because people
[2150] 4:10:32	how do you get how do you get the the straw out of the Loft so the Cal cows can eat it you have to present it in a
[2151] 4:10:39	way that people can understand and digest it and one of the best ways to do that is
[2152] 4:10:47	through writing story it's why Jesus used
[2153] 4:10:52	Parables Parables resonated with people because they were stories okay we are story driven
[2154] 4:11:00	creatures God made us this way so we have always encouraged people
[2155] 4:11:08	to to basically start in creative writing
[2156] 4:11:15	pursue the Arts engage the culture you know one of the biggest tragedies that happened to Christianity was we pulled
[2157] 4:11:22	out of the movie industry the movie industry didn't drive us out we withdrew and we lost our
[2158] 4:11:29	influence because we we couldn't get our Christian themes back into Hollywood
[2159] 4:11:36	into the publishing companies and a lot of a lot of
[2160] 4:11:41	what the understand that Christianity slipped through people's fingers because we couldn't engage the culture
[2161] 4:11:49	anymore they thought Christianity was saving us from yeah it was so bad I
[2162] 4:11:56	worked for a while for the movie industry okay I worked for method Studios which was a visual effects
[2163] 4:12:02	Studio they the visual effect and they did the visual effects for like Marvel
[2164] 4:12:07	films that sort of thing okay and I was overhearing uh a couple guys talk about Christianity
[2165] 4:12:13	okay and one guy said yeah I understand
[2166] 4:12:19	Christianity Jesus Christ saved Mankind from the
[2167] 4:12:26	dinosaurs he was dead serious that's what he thought
[2168] 4:12:31	Christianity was Jesus Christ saving Mankind from the
[2169] 4:12:39	dinosaurs that's how bad it's gotten
[2170] 4:12:46	okay so what we do is we lead by example we
[2171] 4:12:52	don't just say on this channel hey you know go out and write fiction and engage
[2172] 4:12:58	the culture we do it ourselves we're leading by example and if we don't lead by example
[2173] 4:13:05	why should anyone else do it okay now some people disagree age
[2174] 4:13:13	with us doing that but
[2175] 4:13:18	that's that's what we do here is we lead by
[2176] 4:13:24	example okay so when we tell people yeah okay go out write fiction publish it
[2177] 4:13:32	engage the culture if we didn't do it ourselves we'd be Hypocrites we'd be
[2178] 4:13:39	Hypocrites that's why we do it it's not to it's not to our our Ambitions it's not to to make a
[2179] 4:13:47	name for ourselves it's not not any of that yeah we're not going to make money
[2180] 4:13:53	off of this I mean tell them that you get like yeah we don't we don't make enough on on these on any books to
[2181] 4:14:01	really it's ell makes the money yeah the end seller makes the money
[2182] 4:14:06	okay but it is to engage the culture and not only that to lead by example
[2183] 4:14:13	and sometimes you're going to run across a donor that doesn't like that okay
[2184] 4:14:20	so this is why we do what we do again most of of the vast majority of our live
[2185] 4:14:27	stream is talking about Egypt and the Bible that's what we do most of the time but we also do this
[2186] 4:14:36	other thing to encourage others to do the same if we do do it and
[2187] 4:14:44	we can encourage others to do it we're raising leaders like first of all one our our mission statement let's talk
[2188] 4:14:50	about a mission statement because I think that's very important our mission statement on this
[2189] 4:14:57	channel is to raise up the Next Generation for Christ the next
[2190] 4:15:03	generation of leaders okay we don't we one of the
[2191] 4:15:09	things you might have noticed about our channel is we don't appeal to the lowest common denominator we're not a Joel Olstein
[2192] 4:15:15	Channel we expect a certain aptitude of person to be interested in our
[2193] 4:15:22	Channel if you're watching this channel you probably are already interested in the Bible you're already interested in
[2194] 4:15:28	the ancient near East you're you're intelligent you're intelligent you're well read you're you're sort of um you
[2195] 4:15:38	know this is this is what you want to do willing to spend especially if you're listening right yeah if you're listening
[2196] 4:15:44	now you're willing to spend four hours to to listen to us on Friday night on a Friday night
[2197] 4:15:50	okay um so you know so anyway this is this is one of
[2198] 4:15:57	those things where you know you we're raising a certain kind of
[2199] 4:16:03	caliber of people okay to be leaders of the faith okay
[2200] 4:16:11	so yes we are going to teach you the Bible that's always been our primary mission to teach you the Bible to teach
[2201] 4:16:17	you it in the context of ancient Egypt and the ancient near East but we also want people to take
[2202] 4:16:24	action too we want them to take that knowledge and apply
[2203] 4:16:30	it not just for so they can sit in their pews and say oh I'm I'm smarter than
[2204] 4:16:35	this guy I'm smarter than the pastor no no we're not doing that we're equipping
[2205] 4:16:42	you to so you can take that knowledge and apply it apply it to your Bible
[2206] 4:16:48	studies apply it to to um to your say
[2207] 4:16:53	non-fiction writing let's say you you're going to write articles great you've learned something that you can apply for
[2208] 4:16:59	articles maybe you're making Sunday school materials fantastic maybe you're making
[2209] 4:17:05	art all of those are necessary components of Christian leadership
[2210] 4:17:13	you know the Bible ex extol us you know you know Embrace what is true what is
[2211] 4:17:20	good what is beautiful you
[2212] 4:17:26	know what's beautiful what's good what's
[2213] 4:17:33	true these are all it's it's all one big
[2214] 4:17:40	part of our mission statement is to equip people for the
[2215] 4:17:45	faith to Bear witness wherever that witness is is your witness a Sunday school class
[2216] 4:17:53	excellent is your uh witness a Bible study excellent is your witness a visual
[2217] 4:18:01	effects studio in Vancouver excellent is
[2218] 4:18:09	your is your witness art gallery excellent was one of your Witnesses was
[2219] 4:18:15	playing Jess yeah your coworker atheist all Christians were stupid out of them at every game
[2220] 4:18:24	yeah married a wife who can play so so that's what's going on is some people don't like the fact that we're engaging
[2221] 4:18:30	the culture um at least they think we're doing this for petty Ambitions and
[2222] 4:18:36	that's not what we're doing this is not the reason we're doing it we're not we're not doing this for self-promotion
[2223] 4:18:44	but yes if the book is successful it will encourage other people to do it
[2224] 4:18:52	too so we're mindful of that as well you know a book that's a failure is you know
[2225] 4:18:58	not going to encourage anyone a book that's successful it's going to encourage a lot of people to pursue
[2226] 4:19:03	engaging the culture through fiction and story and that's why we're doing
[2227] 4:19:10	this uh too many Mary says yeah I Totally Miss that you were doing this because I've been listening to excerts
[2228] 4:19:16	and shorts for about a year not any lengthy live streams yeah well
[2229] 4:19:22	that's that's okay you know but we put out a ton of material every week on
[2230] 4:19:28	Ancient years in the Bible every week so it's this is just something that's say
[2231] 4:19:37	just a very very small part of what we do
[2232] 4:19:47	you yeah uh to many Mary says fiction is a terrible way to get famous oh
[2233] 4:19:54	absolutely oh it's an awful way to get famous yeah no if you think this is
[2234] 4:20:00	about ambition you don't know the fiction Market you know it's just it's not about
[2235] 4:20:05	that
[2236] 4:20:11	so this what you get paid per hour now that it's $7 an
[2237] 4:20:20	hourd more money yeah this is this is not this is not um this is not about
[2238] 4:20:25	being famous and it's not about ambition and it's not about making money it's about engaging
[2239] 4:20:30	culture so we'll just leave it at that and you know if he doesn't support
[2240] 4:20:36	us anymore that's fine too I would regret that but
[2241] 4:20:44	but we're also not going to change Michael G for $10 uh New Zealand
[2242] 4:20:50	Jeremiah 1710 in Hebrew reads I the Lord search the heart and test the kitties is
[2243] 4:20:55	that analogical language yes it is okay and it's a great it's a great uh
[2244] 4:21:02	here's the thing okay um a
[2245] 4:21:08	cardiologist um in in the Hebrew mind the heart is the center of your thoughts
[2246] 4:21:15	okay you think with your heart you feel emotions with your
[2247] 4:21:20	kidneys okay okay so um this is this is one of
[2248] 4:21:26	those this is analogical language again the ancient Hebrews didn't know exactly
[2249] 4:21:32	how Anatomy worked so they thought they picked a a bodily organ that they
[2250] 4:21:37	thought you know best expressed that analogical language so
[2251] 4:21:45	absolutely um the Lord searches the heart and tests the kidneys he searches your
[2252] 4:21:51	mind and test your
[2253] 4:21:59	emotions uh to many Mary says I strongly recommend you publish an ebook with your launch a huge percentage of purchases
[2254] 4:22:06	are just electronic now yeah we do uh we offer it in it'll be offered in hard
[2255] 4:22:12	cover soft cover and ebook uh we're not too sure about doing the uh audio book yet CU that's a lot of
[2256] 4:22:19	work and time and all that additional that's additional work
[2257] 4:22:27	but feel Michael G we don't think with our kidneys but feel yeah it's it does
[2258] 4:22:34	seem kind of strange to us I I totally admit but that's sort of the analogical language they used they felt emotions
[2259] 4:22:41	with their kidneys uh no diet says an example of not taking
[2260] 4:22:46	the Bible always literal yeah okay um yeah Jack gut feeling yeah
[2261] 4:22:55	gut it's kind of yeah exactly uh Jack R hit hit the nail on the head here gut feeling yeah exactly what that
[2262] 4:23:01	is we still carry that yeah yeah we do carry that into our cultural context
[2263] 4:23:07	absolutely yeah trust your gut just watch it yeah your gut doesn't tell you anything but trust your gut yeah but it
[2264] 4:23:15	does well it's homeostasis it's homeostasis uh homeostasis is that
[2265] 4:23:22	feeling of centeredness that that um it's a sense of centeredness that you have that
[2266] 4:23:27	everything is in balance and you tend to feel it a lot in your
[2267] 4:23:33	organs okay but it's not actually happening there it's actually an effect
[2268] 4:23:39	of the brain on on your your internals but yeah gut feelings is
[2269] 4:23:48	exactly parallel to that that Hebrew you know test your
[2270] 4:23:55	kidneys Michael G but kidneys is always translated mind in our translations yeah
[2271] 4:24:00	and it shouldn't be it really is more emotions it's really what it
[2272] 4:24:06	is again that's part of yeah
[2273] 4:24:12	with all our mind all our heart yeah yeah not
[2274] 4:24:19	just yeah
[2275] 4:24:26	yeah so it's loving God with all your heart soul mind and body essentially
[2276] 4:24:31	strength you know it's just it's one of the it's it's foundational on that
[2277] 4:24:38	principle okay uh Jimmy theju uh from Philly for $5 thank you for the Super Chat
[2278] 4:24:46	um where do you think the esses derive their two messiah's idea one Moses one of Aaron could they actually get this
[2279] 4:24:52	from Isaiah um I doubt it now the Essen did not always have
[2280] 4:25:00	Orthodox views even Orthodox among Jews so um that whole idea that there
[2281] 4:25:08	was two Messiah is not exactly alien to the whole idea of of first
[2282] 4:25:14	century Judaism there were people who around thinking that there was going to be two Messiah one would be um Elijah
[2283] 4:25:21	because he was promised to return so there were some people running around back in the first century that thought
[2284] 4:25:28	um the first um um Messiah would be uh
[2285] 4:25:33	the return of of Elijah and then one of Aaron as well
[2286] 4:25:42	uh did I miss skip your Super Chat uh Sentinel all right I'll go take a
[2287] 4:25:49	look um sorry about
[2288] 4:25:55	that yeah I didn't need that um so um I don't think they could get
[2289] 4:26:02	that from from Isaiah but I think it's probably an an iseal view of
[2290] 4:26:08	Isaiah so um so that's what I think is where the ice icing got it from is from an is
[2291] 4:26:16	Jesus but um but it would make sense that they would say one is Moses and one
[2292] 4:26:22	is Aaron but again they're I don't think that they got that from Isaiah much as
[2293] 4:26:28	they read that into Isaiah all right so I hope that helps thank you for the Super Chat very much appreciated all
[2294] 4:26:33	right let's find out what happened to his super chat
[2295] 4:26:39	here right um
[2296] 4:26:51	okay here we go uh sorry about that Sentinel uh for $10 Australian thank you
[2297] 4:26:56	for the super chat um quote Moses when give our
[2298] 4:27:02	ancestor guys God rules then Jesus Christ God seso guy he went do plenty
[2299] 4:27:11	good stuff for us and everything he tell us about God stay for real John
[2300] 4:27:18	117 [Music] um
[2301] 4:27:24	okay that's an interesting translation
[2302] 4:27:29	[Laughter]
[2303] 4:27:35	see War you're the most high I warned you laugh out loud the hawan translation
[2304] 4:27:41	okay uh that's novel I didn't wouldn't have
[2305] 4:27:47	seen that coming okay that was that was
[2306] 4:27:55	special all right well thank you for that super chat I hardly know what to say about
[2307] 4:28:04	that uh Jimmy the Jew from Philly for $5 uh okay we've already taken that um
[2308] 4:28:10	talbet Slade gave us a uh Super Chat for $500 thank you for that very generous Super Chat and thank you for your
[2309] 4:28:16	support over the years we've really appreciated it uh he does ask when did your hair turn gray when I got
[2310] 4:28:24	old okay oh yeah when I moved back to
[2311] 4:28:30	Vancouver is essentially would it turned grayan
[2312] 4:28:42	well no but we yeah we were looking at all all sorts of
[2313] 4:28:47	jobs yeah trying to not come back to Canada but we ended up being forced to come back
[2314] 4:28:55	anyway okay so no diet fair enough
[2315] 4:29:01	yeah uh Jack Ray O Canada yep to many Mary says I've been
[2316] 4:29:07	subscribed since you first published the early dat of The Exodus part one at the latest so you've been around for long long time that's all that's that's
[2317] 4:29:14	almost three years old now so yeah you've been around for a long
[2318] 4:29:22	time Harry Stark what search engine does David use Google um I use it though with in in um
[2319] 4:29:31	incognito mode that prevents the um Google bubble from sort of kicking
[2320] 4:29:37	in so that's a tip if you're not finding what you want in Google use it in incognito mode it works a lot
[2321] 4:29:44	better that way dark blade I only came here after
[2322] 4:29:49	Exodus rediscovered fantastic fantastic
[2323] 4:29:55	absolutely okay uh senal apologetics for $5 Australian thank you for the Super
[2324] 4:30:01	Chat I want Martin scorey to make an Epic six-hour film on Billy Carson
[2325] 4:30:07	theosis should be entitled the malamu project
[2326] 4:30:15	ENT it would be entertaining and then he adds uh then Scott strippling arrives in
[2327] 4:30:23	his ABR Falcon using the Eble tablets nuclear fuel as the hero not the hero we
[2328] 4:30:30	deserved but the one that we needed well that would paste an
[2329] 4:30:38	interesting picture no I don't think we need that film I
[2330] 4:30:45	just
[2331] 4:30:50	saying uh senal apologetics for $2 Australian thank you for the Super Chat
[2332] 4:30:56	Slade needs to be with me at a Billy Idol concert okay well that's a suggestion don't know if he'll take you
[2333] 4:31:02	up on it but s apologetics for $2 Australian
[2334] 4:31:08	Jesus saved us from the dinosaurs by riding a T-Rex
[2335] 4:31:15	domes he domesticated the T-Rex and all the other well the dinosaur riding
[2336] 4:31:22	scenes at was it uh the ark encounter yeah that was ridiculous
[2337] 4:31:28	that's thing is they got it yeah claiming to be yeah that's
[2338] 4:31:35	that's the problem as as my producer points out here that's sort of the problem here with with that caricature
[2339] 4:31:41	of Christianity is that some of this is come out of our
[2340] 4:31:48	you know other Christians are the Christians Distortion of the historical
[2341] 4:31:53	record so yeah you know I can't blame them I can't blame non-christians for
[2342] 4:32:00	not understanding Christianity you know we don't exactly do a good job of representing
[2343] 4:32:05	it and that's what I think is really important about this is we need to represent this well
[2344] 4:32:12	if we're not representing Christianity well all sorts of
[2345] 4:32:18	really uh but that's what the AR but it's
[2346] 4:32:26	done
[2347] 4:32:32	yeah dark blade anatawa AR
[2348] 4:32:37	encounter nand
[2349] 4:32:42	uh yeah what is Aran counter uh that's Ken Ham's um amusement
[2350] 4:32:49	park where he has a big model of the arc and uh basically it's a sort of a a
[2351] 4:32:57	It's Entertainment okay you want to call talk about cultural engagement here's
[2352] 4:33:03	cultural engagement buil an art that's big enough you can walk through and it's
[2353] 4:33:08	AR that's big enough to he builds this m of Arc in Arkansas I think it's
[2354] 4:33:14	Arkansas um that second was is supposed to be ni
[2355] 4:33:19	okay he builts this massive encounter uh basically Ark
[2356] 4:33:24	Museum and it's a tourist attraction it's a tourist
[2357] 4:33:30	attraction he is resonating with the culture and he gives he's doing it in
[2358] 4:33:36	the wrong way but he is doing it he's giving
[2359] 4:33:42	people this idea that the AR was oh you're asking if I went okay uh no I've
[2360] 4:33:49	never been to the ark encounter we thought about it we came close
[2361] 4:33:55	one yeah we we we came close to going there once but we never actually just to see it but we never actually went so uh
[2362] 4:34:03	never actually been there but you know I I'll say this about
[2363] 4:34:08	him and that's whole Ark encounter is just the spectacle of it has provided
[2364] 4:34:15	some engagement of his views now conversation starter it's certainly a
[2365] 4:34:21	conversation starter but I mean I think I think it's
[2366] 4:34:26	also been providing a distortion too so
[2367] 4:34:31	um yeah is why we are trying so hard
[2368] 4:34:37	to yeah yeah this is why we're trying to to do a historically accurate engagement
[2369] 4:34:42	one that properly represents the world view you don't do the world view you
[2370] 4:34:48	lose it okay and and I think this is one of the things why you know people I mean
[2371] 4:34:54	people are of the opinion that you just give people hand out Bibles uh just hand out Bibles the
[2372] 4:35:00	Bibles all you need no diet
[2373] 4:35:07	um uh what's the Distortion aspect is a lot of uh what kiman does has been um
[2374] 4:35:14	criticized for being um historically inaccurate even from his perspective it
[2375] 4:35:21	wouldn't have happened like for example he had a a diarama once where dinosaurs
[2376] 4:35:26	were eating watermelons watermelons are a human manufactured human created plant it's
[2377] 4:35:35	it's it was a plant that was bred by humans so it would not have been
[2378] 4:35:41	consumed by by dinosaurs okay now that's just one aspect of this there's also the whole aspect of the flood happening at
[2379] 4:35:48	the same time as the pyramids and all sort there's there's a lot of
[2380] 4:35:54	various historical distortions that go on with this as based upon a very
[2381] 4:35:59	literal reading not a contextual reading but a wooden literal Western reading of
[2382] 4:36:05	the biblical texts it's also an understanding of history that's
[2383] 4:36:14	about yeah it's it's a 19th century reading of of Christianity that really
[2384] 4:36:20	is out of date now it's it's out of date scientifically it's out of date biblically we have advanced in
[2385] 4:36:27	evidential knowledge yeah we have advanced in evidential knowledge and you know there's there's a lot of things
[2386] 4:36:33	that we know now that we should you know be much more careful of when we try to engage the culture in this way
[2387] 4:36:49	okay so uh so yeah
[2388] 4:36:56	um I'm hoping that someday we will be able to to at least engage the culture
[2389] 4:37:03	enough at some point that a lot of uh that a lot of people and we as I said
[2390] 4:37:08	it's not just us we want other people to participate in this Enterprise this is a group
[2391] 4:37:15	exercise okay that we want people to engage the culture we want people to
[2392] 4:37:21	evangelize the faith we want people to engage the culture not just me not just
[2393] 4:37:28	clerical George not just clerical David but everybody I want all our it's
[2394] 4:37:34	my dream that most of our listeners will get involved and change the culture cure so
[2395] 4:37:43	people no longer think at least that Jesus saved us from the
[2396] 4:37:49	dinosaurs that's a stain on us that's a stain on us that people out
[2397] 4:37:55	there unbelievers actually believe Jesus saved us from the
[2398] 4:38:00	dinosaurs that's a failure of us to teach the faith that's a failure of us to reach
[2399] 4:38:07	the culture that's a failure of us to to
[2400] 4:38:13	engage you know to reach people where they are and that's the failure of us to
[2401] 4:38:21	fulfill the Great Commission to go and you know let's
[2402] 4:38:27	bring up the Great Commission here because I think this is really really
[2403] 4:38:33	important you know this is one of the most important passages and we really
[2404] 4:38:38	do need to emphasize this this you know Matthew and I'll pull up
[2405] 4:38:45	the Bible here and read it for btim um you know this is the last
[2406] 4:38:51	command major command that Christ gives us uh Matthew 28: 19
[2407] 4:38:57	to20 go the first part of the command is go not not wait and have them come to us
[2408] 4:39:06	go therefore and Make Disciples of all Nations the IPL is a disciplined
[2409] 4:39:12	follower Make Disciples of all Nations baptizing them in the name of
[2410] 4:39:18	the Father the Son and the Holy Spirit and this is the rub on verse 20 teaching
[2411] 4:39:24	them to observe all that I commanded you and lo I'm with you always even to the
[2412] 4:39:30	End of the Age teaching them all that I've have commanded all
[2413] 4:39:37	that I all that he's taught we're to teach this
[2414] 4:39:43	if the Heathen out there you know the the unbeliever the person who's never encountered the faith
[2415] 4:39:51	believes Jesus saved us from the dinosaurs we have failed in that Great
[2416] 4:39:56	Commission to teach them all to observe the faith they should there should be no
[2417] 4:40:02	question know even of those who who disagree with us who don't believe they
[2418] 4:40:08	should at least know what the faith is you know they should know what it is
[2419] 4:40:14	even if we can't can't convince them of it they should at least know about it you know at least then if they reject
[2420] 4:40:20	it they're rejecting it because of what it says not some
[2421] 4:40:25	character so it's really important this is a failure of evangelism this is a failure
[2422] 4:40:32	of our missions this is a failure of our teaching Ministries so you know I take this very
[2423] 4:40:38	seriously why I believe in cultural engagement
[2424] 4:40:44	all right s apologetics for $2 Australian thank you very much for the Super Chat God works all things for your
[2425] 4:40:50	good oin yeah oh boy yeah no that's not what it
[2426] 4:41:02	says the text says all things work together for good not for your good for good it's the
[2427] 4:41:11	qualitative good the good of working for the kingdom of
[2428] 4:41:17	Christ you might be you might be martyred no that's not for your
[2429] 4:41:24	good that may be though for the good of the
[2430] 4:41:29	Kingdom that's a huge difference all things work together for good not your
[2431] 4:41:37	good daughter says dang
[2432] 4:41:46	it a [Laughter] Shucks yeah this is why we teach the
[2433] 4:41:52	faith this is why we teach the faith this is why we teach the Bible this is why we teach just to prevent these
[2434] 4:42:00	distortions and they are everywhere
[2435] 4:42:05	so all right the final Super Chat here is from uh Na adessa for $50 New Zealand
[2436] 4:42:13	thank you for the Super Chat thanks Dr Faulk for all your fantastic work very glad to see you're able to do this on
[2437] 4:42:19	YouTube thing this YouTube thing fulltime well thank you very much looking forward to your novel and future
[2438] 4:42:24	work love your streams with IP well we we work very hard at this we work very
[2439] 4:42:31	very hard to to you know engage the culture with theology with ancient year
[2440] 4:42:38	Eastern context all of that we work very hard to make sure
[2441] 4:42:45	that every Avenue is explored we explore every Avenue of reaching people for the
[2442] 4:42:52	faith the chili cook the chili my gosh did we have evangelism oh we had an
[2443] 4:42:58	incredible evangelism at the chili kickoffs cooking is a huge whatever you
[2444] 4:43:04	do at the renars oh you had a glorious oh my gosh tell them that tell tell them your
[2445] 4:43:12	well okay there there's several um actually I'll pick a different one this time the one the the the witch the Witch
[2446] 4:43:19	that came up and looked at the blade Crystal blade yeah okay that Crystal blade you saw earlier on this book okay
[2447] 4:43:26	we had on display in our jewelry case at our booth at a renfair the actual Blade the actual blade not the book okay
[2448] 4:43:33	that's not my book by the way um it's um that blade we had on play of um
[2449] 4:43:43	um Cas and this this witch came by and she goes wow that's
[2450] 4:43:51	beautiful I could feel that adami and adami is a a wicked word for a ritual blade they use it in in their in their
