[0] 0:17	Hey
[2024] 1:52:35	pestering you every week?
[2025] 1:52:41	Oh, yeah. They um I get they get
[2026] 1:52:44	exhausting. Yeah. Um why cultists? They
[2027] 1:52:49	they comment every week on how I'm a
[2028] 1:52:52	liar. I'm going to hell. Ron Wyatt's
[2029] 1:52:55	work was confirmed. All that stuff.
[2030] 1:52:57	Yeah, it's it gets it gets really
[2031] 1:53:01	obnoxious.
[2032] 1:53:05	But um
[2033] 1:53:08	and uh the ones I love, the ones I think
[2034] 1:53:10	are the greatest is when they tell me
[2035] 1:53:11	that they're going to be laughing at me
[2036] 1:53:13	as I burn in hell because I defied the
[2037] 1:53:17	word of Ron Wyatt.
[2038] 1:53:19	That's the one that I love the Those are
[2039] 1:53:21	the ones I love the most.
[2040] 1:53:31	Sing a bright song. He wasn't he SDA
[2041] 1:53:33	though? Don't they like not believe in
[2042] 1:53:35	hell? They believe in hell. Oh yeah,
[2043] 1:53:37	they believe in hell. So
[2044] 1:53:45	he was SDA though.
[2045] 1:53:57	>> CPM versus DOSS. It's always a
[2046] 1:54:00	misspelled skits rant. Laugh out loud.
[2047] 1:54:02	Yeah. Yeah. What's wrong with their
[2048] 1:54:04	spelling?
[2049] 1:54:06	I mean, their spelling is atrocious
[2050] 1:54:10	grammar. They've never heard of a comma
[2051] 1:54:11	over a period. Um, yeah, it's usually
[2052] 1:54:15	like one long run-on sentence full of
[2053] 1:54:18	grammatical mistakes and spelling
[2054] 1:54:21	errors. It's like,
[2055] 1:54:24	dude, um,
[2056] 1:54:28	uh, it's brief.
[2057] 1:54:29	>> Yeah.
[2058] 1:54:30	>> Three sentences.
[2059] 1:54:32	You're sending somebody email, keep it
[2060] 1:54:35	to three sentences.
[2061] 1:54:36	>> Well, your three worst curses
[2062] 1:54:39	>> and then let it go.
[2063] 1:54:48	>> Um, science special search party says
[2064] 1:54:51	Ron Webb is no god. Last time I heard
[2065] 1:54:53	Yeah. Last time I heard he was just a
[2066] 1:54:54	man,
[2067] 1:54:56	but apparently he's a man that heard
[2068] 1:54:59	God's voice and met Jesus and angels
[2069] 1:55:04	and they told him everything.
[2070] 1:55:06	>> Kermit the frog.
[2071] 1:55:08	>> Kermit the frog. Maybe he did. He He met
[2072] 1:55:11	everyone else. Why not Kermit the Frog?
[2073] 1:55:15	He he met angels and Kermit the Frog
[2074] 1:55:17	sitting on the Ark of the Covenant.
[2075] 1:55:20	Gosh,
[2076] 1:55:31	that guy was such a liar. Such a liar.
[2077] 1:55:37	And the ones who support him aren't any
[2078] 1:55:40	better.
[2079] 1:55:44	Mama goes, "Did they tell him where the
[2080] 1:55:46	gold plates are?"
[2081] 1:55:48	Could be. could be.
[2082] 1:55:58	So, uh,
[2083] 1:56:02	uh, Maverick Glow, maybe he was just a
[2084] 1:56:04	lunatic. No, he wasn't.
[2085] 1:56:07	>> Okay,
[2086] 1:56:08	here's how we know he wasn't a lunatic.
[2087] 1:56:13	Um he was a he was um Sam Martz was a um
[2088] 1:56:21	businessman. He was an American
[2089] 1:56:22	businessman
[2090] 1:56:24	and Ron White got got a lot of his
[2091] 1:56:29	initial funding from Sam Martz.
[2092] 1:56:32	And you know that that famous gold wheel
[2093] 1:56:37	in the Red Sea fraud that he did was to
[2094] 1:56:41	um push Sam Martins into giving more
[2095] 1:56:44	money.
[2096] 1:56:46	Well, Marts finally got wise after about
[2097] 1:56:49	something like 70K tra changed hands
[2098] 1:56:54	and
[2099] 1:56:55	Mart says, "You're not getting another
[2100] 1:56:57	dime until you take a polygraph exam.
[2101] 1:57:00	Are you lying to me?
[2102] 1:57:03	And Markx was was adamant. No polygraph,
[2103] 1:57:07	no money. Okay.
[2104] 1:57:11	So,
[2105] 1:57:13	uh, Wyatt took the polygraph and failed
[2106] 1:57:17	spectacularly.
[2107] 1:57:19	All right. Now, here's the thing about a
[2108] 1:57:21	polygraph. Lunatics don't fail
[2109] 1:57:24	polygraphs.
[2110] 1:57:26	Lunatics believe what they're saying.
[2111] 1:57:29	Absolutely.
[2112] 1:57:31	which is why I don't rely solely.
[2113] 1:57:35	>> You can't rely solely on a polygraph. A
[2114] 1:57:37	polygraph can't tell you if something is
[2115] 1:57:39	true. A polygraph can tell you if
[2116] 1:57:42	somebody is having a nervous response
[2117] 1:57:46	to now there's control questions.
[2118] 1:57:50	So it's not that
[2119] 1:57:52	>> somebody can be very nervous about
[2120] 1:57:54	taking the test.
[2121] 1:57:55	>> Yes, somebody can be nervous about just
[2122] 1:57:58	taking the test. Now, that's why you
[2123] 1:57:59	have the control questions. Okay?
[2124] 1:58:04	So, the control questions tell you if
[2125] 1:58:07	the person's nervous.
[2126] 1:58:10	So, if if a person's nervous from the
[2127] 1:58:12	control questions on, they really can't
[2128] 1:58:13	take a polygraph
[2129] 1:58:15	because um their autonomic systems are
[2130] 1:58:19	are just are just fried. So a good
[2131] 1:58:22	polygraph exam will have good control
[2132] 1:58:24	questions just to make sure that the
[2133] 1:58:28	person taking the exam is able to take
[2134] 1:58:31	the exam.
[2135] 1:58:33	But what it does tell you is if they
[2136] 1:58:35	pass the control questions and fail the
[2137] 1:58:38	other questions, the dude's lying. He's
[2138] 1:58:41	not a lunatic.
[2139] 1:58:43	So Ron Wyatt wasn't a lunatic. He was a
[2140] 1:58:47	liar.
[2141] 1:58:50	and those who support them are liars
[2142] 1:58:54	just like like Marinell,
[2143] 1:58:57	just like uh um
[2144] 1:59:01	uh her new husband, you know, they're
[2145] 1:59:03	they're just continuing to support the
[2146] 1:59:05	lies.
[2147] 1:59:06	So yeah, so it's just, you know,
[2148] 1:59:12	he was a fraud. Ron Wet was a fraud and
[2149] 1:59:14	a liar.
[2150] 1:59:19	Andre, he was just a liar. He was a
[2151] 1:59:21	charlatan, a fraud and a liar, a false
[2152] 1:59:23	prophet, and a heretic. He was all of
[2153] 1:59:26	it. The only thing he wasn't was a
[2154] 1:59:29	lunatic.
[2155] 1:59:30	>> He He knew it. He knew he was
[2156] 1:59:33	>> Yeah. He knew he was conning people.
[2157] 1:59:34	>> When he dug into that tunnel and only he
[2158] 1:59:38	saw and the pictures didn't turn up.
[2159] 1:59:41	Well, when 3ABM uh went to his um uh
[2160] 1:59:46	Gordon's Calvary dig to get the
[2161] 1:59:48	exclusive on the Ark of the Covenant,
[2162] 1:59:51	uh they wouldn't do anything until some
[2163] 1:59:53	money changed hands. As soon as the
[2164] 1:59:56	money changed hands, Ron Wyatt and his
[2165] 2:00:00	wife Mary Nell uh went off on a shopping
[2166] 2:00:02	spree. They didn't go digging. They went
[2167] 2:00:06	out shopping.
[2168] 2:00:10	Because apparently
[2169] 2:00:12	new clothes and jewelry were more
[2170] 2:00:14	important than the dig.
[2171] 2:00:20	Yikes.
[2172] 2:00:27	CPM versus DOS.
[2173] 2:00:30	He finds such amazing things like a
[2174] 2:00:33	poorly written Gary Stew in a story.
[2175] 2:00:35	Yeah.
[2176] 2:00:42	Mama says there's a reason why we put
[2177] 2:00:43	him in zero.
[2178] 2:00:45	Yeah.
[2179] 2:00:50	Uh Mama says no wonder his grifting
[2180] 2:00:53	widow and new husband hate you. They you
[2181] 2:00:55	know the deets. Yeah. Yeah.
[2182] 2:01:03	Well, I mean, it was a lot of this was
[2183] 2:01:05	documented in Mary Irwin's book. Um, the
[2184] 2:01:09	uh the widow Steve Irwin, a former
[2185] 2:01:12	astronaut. She she has some very
[2186] 2:01:14	unflattering things to say about um the
[2187] 2:01:18	Wyatts.
[2188] 2:01:20	Very unflattering things.
[2189] 2:01:38	Sing a bright song. I will grant the
[2190] 2:01:40	whole spiel about the blood of Jesus
[2191] 2:01:42	landing on the mercy seat sounds
[2192] 2:01:44	profound if it were only true. Laugh out
[2193] 2:01:46	loud. It's not even I mean it's it's not
[2194] 2:01:49	even close to true and it's worse than
[2195] 2:01:53	that. It's crazy and heretical.
[2196] 2:01:58	Okay. So,
[2197] 2:02:01	Here's
[2198] 2:02:02	>> I mean I mean just think about the
[2199] 2:02:05	logistics of this. Okay, so Christ is on
[2200] 2:02:08	the cross on the top of Gordon's
[2201] 2:02:09	Calvary. Okay, the blood drips from
[2202] 2:02:12	Christ into the soil
[2203] 2:02:15	down until it hits the skull of Adam.
[2204] 2:02:18	Okay, now this is where I checked out
[2205] 2:02:20	right at that point. The skull of Adam
[2206] 2:02:22	happened to be there. So the blood hits
[2207] 2:02:25	the skull of Adam
[2208] 2:02:27	and then it goes over the skull of Adam
[2209] 2:02:30	and drips down onto the mercy seat of
[2210] 2:02:32	the Ark of the Covenant.
[2211] 2:02:38	And then Ron Wyatt happens to pick up
[2212] 2:02:42	some soil in his hand, stuff it in a
[2213] 2:02:45	photo photo canister,
[2214] 2:02:48	and years later uses a a basically a
[2215] 2:02:53	reflectance telescope or microscope,
[2216] 2:02:55	reflectance microscope,
[2217] 2:02:58	and determines that this has 24
[2218] 2:03:01	chromosomes
[2219] 2:03:03	because Christ had no father.
[2220] 2:03:07	Now this is heretical. This is heretical
[2221] 2:03:10	because a hloid human would be a
[2222] 2:03:13	distorted monster.
[2223] 2:03:15	It's not fully human. Fully man. And
[2224] 2:03:18	Hebrews says Christ was fully man just
[2225] 2:03:21	like us.
[2226] 2:03:23	>> So God didn't teach Ron White biology.
[2227] 2:03:26	>> Apparently God did not teach Ron White
[2228] 2:03:28	biology.
[2229] 2:03:32	No, he um there was no lab done lab
[2230] 2:03:37	results done that confirmed that there
[2231] 2:03:39	were 24 four chromosomes in this quote
[2232] 2:03:42	blood or that there is even blood there.
[2233] 2:03:45	He just made this up.
[2234] 2:03:54	Uh Ryan Conamp goes, "Do you think his
[2235] 2:03:56	movement is growing or shrinking?" Oh,
[2236] 2:03:57	it's growing. There have never been more
[2237] 2:04:00	Ron White supporters than there are
[2238] 2:04:02	today.
[2239] 2:04:03	>> Thank you.
[2240] 2:04:04	>> Yeah, thank you to the internet for
[2241] 2:04:06	this. You can thank the internet for
[2242] 2:04:07	this. Um, the fact is that when he died
[2243] 2:04:10	in 1999,
[2244] 2:04:12	uh, Ryan's uh, Wyatt's movement kind of
[2245] 2:04:15	like crawled to it was shrinking
[2246] 2:04:19	uh, because the only way they could get
[2247] 2:04:20	his stuff out was on Christian TV and
[2248] 2:04:23	not enough people watched Christian TV
[2249] 2:04:25	to take that seriously.
[2250] 2:04:28	Um,
[2251] 2:04:31	so but now with the internet and his his
[2252] 2:04:35	stuff being rebroadcast by hundreds of
[2253] 2:04:38	different channels on on YouTube, um,
[2254] 2:04:40	it's never had more followers. It's
[2255] 2:04:43	never had more.
[2256] 2:04:45	So,
[2257] 2:04:56	uh, Michael Price says, "Hi all. I
[2258] 2:04:58	entered the stream to find out find us
[2259] 2:05:00	discussing the ark. I can only hope we
[2260] 2:05:02	are discussing the recent flood of
[2261] 2:05:04	recent they found the ark videos. Laugh
[2262] 2:05:06	out loud." Yeah, there's no evidence of
[2263] 2:05:08	any of that. Um
[2264] 2:05:12	uh there there there are two videos
[2265] 2:05:13	right now kinds of videos that are are
[2266] 2:05:15	talking about um arcs. Okay, that you do
[2267] 2:05:19	get a few uh videos that are coming out
[2268] 2:05:21	like from the Temple Institute saying
[2269] 2:05:23	they found the Ark of the Covenant. Of
[2270] 2:05:25	course, they have showed no evidence of
[2271] 2:05:27	any of this and um I I think that's just
[2272] 2:05:30	a jaded fundraising
[2273] 2:05:33	umtick. But you also got some uh guys
[2274] 2:05:37	coming out claiming to have found Noah's
[2275] 2:05:39	arc again. Again,
[2276] 2:05:42	how many arcs are out there? They keep
[2277] 2:05:44	fighting arc all over the place. How
[2278] 2:05:47	many of them are there?
[2279] 2:05:49	And you find out at the end of the video
[2280] 2:05:50	they didn't really find anything out
[2281] 2:05:52	there. Just another mud flow. Another
[2282] 2:05:55	mud flow which are so common in the in
[2283] 2:05:58	the Turkish hills it's it's not even
[2284] 2:06:00	funny.
[2285] 2:06:11	Uh, sing a bright song asks the
[2286] 2:06:13	followup. Since the wire talk topic
[2287] 2:06:15	reminded me of this, what's your
[2288] 2:06:16	thoughts on reports that human blood in
[2289] 2:06:18	eucharistic men miracles was an ox
[2290] 2:06:22	genotype? I think it's nonsense. I think
[2291] 2:06:24	the whole eucharistic miracle thing is
[2292] 2:06:27	bad science. It's really, really bad
[2293] 2:06:29	science.
[2294] 2:06:32	It's bad science and I mean it's just
[2295] 2:06:35	trying it's just trying to support
[2296] 2:06:36	transubstantiation.
[2297] 2:06:38	That's all it is. But it's it's it's the
[2298] 2:06:42	same sort of bad junk science that the
[2299] 2:06:46	Shroudies are doing. You know, you got
[2300] 2:06:48	the Shroudies who are using similar junk
[2301] 2:06:52	science to try to uh prop up the
[2302] 2:06:55	Shrouded Turin.
[2303] 2:06:57	It's It's terrible.
[2304] 2:07:00	It's really, really awful the kind of
[2305] 2:07:02	junk science they're doing.
[2306] 2:07:07	Uh, Mama goes, "It doesn't help that the
[2307] 2:07:09	early Exodus people prop them up." No,
[2308] 2:07:11	it doesn't help. Doesn't help at all.
[2309] 2:07:14	It's funny how you find the two in in in
[2310] 2:07:17	league with each other often.
[2311] 2:07:29	All right, moving on here.
[2312] 2:07:42	Grim, wait, there's junk in science.
[2313] 2:07:47	I didn't say there's junk in science. I
[2314] 2:07:49	said there's junk science.
[2315] 2:08:05	Uh, Harry Stark asked, "Does David think
[2316] 2:08:07	the star Bethlehem was a comet or a
[2317] 2:08:09	planetary formation?" Neither.
[2318] 2:08:12	Neither. I think it's an astrological
[2319] 2:08:14	reading. Uh, similar to the sun standing
[2320] 2:08:18	still in Joshua 10. Um, it's it's an
[2321] 2:08:22	astrological reading. Uh, I don't think
[2322] 2:08:24	it's a star or a comet or anything like
[2323] 2:08:26	that. I don't think it's you would not
[2324] 2:08:29	probably notice it if you didn't look up
[2325] 2:08:31	in the if you looked up in the sky, you
[2326] 2:08:33	probably wouldn't notice it.
[2327] 2:08:36	Um, so
[2328] 2:08:39	>> you're saying you had to look for it.
[2329] 2:08:41	>> You had to look for it and you had to
[2330] 2:08:43	know the meaning of it ahead of time. Uh
[2331] 2:08:45	one of the things we do know about say
[2332] 2:08:47	ancient astrology is often it was done
[2333] 2:08:49	by manual. So you would have a manual
[2334] 2:08:52	which had certain meanings and then
[2335] 2:08:54	you'd look up and you'd see a
[2336] 2:08:56	conjunction or something and then you
[2337] 2:08:59	would interpret that in conjunction by
[2338] 2:09:01	the manual. That's how ancient astrology
[2339] 2:09:04	worked.
[2340] 2:09:06	So
[2341] 2:09:08	um so I don't think it was a comet. I
[2342] 2:09:10	don't think it was a a planetary
[2343] 2:09:12	formation. I don't even think it was say
[2344] 2:09:16	uh several um um say close coming in
[2345] 2:09:21	alignment. I don't think it was an
[2346] 2:09:22	alignment. I just think it was an
[2347] 2:09:25	astrological
[2348] 2:09:26	placement. So again like the sun
[2349] 2:09:30	standing in in the sky in Joshua 10. You
[2350] 2:09:33	can read that in Assyrian astrology
[2351] 2:09:35	manuals and it tells you exactly what
[2352] 2:09:38	they mean. You got the interpretation,
[2353] 2:09:41	uh, you got the sign, and you got the
[2354] 2:09:42	interpretation. And I think that's what
[2355] 2:09:44	they were using. So, I hope that helps.
[2356] 2:09:47	Thank you for the question. Really
[2357] 2:09:48	appreciate it.
[2358] 2:09:56	>> Ryan goes,
[2359] 2:09:58	Ryan says, "Conjunction junction. What's
[2360] 2:10:01	your function?" Schoolhouse Rock the
[2361] 2:10:04	Scream.
[2362] 2:10:11	Sing a bright song
[2363] 2:10:13	wants you to talk about the astrological
[2364] 2:10:16	reading of
[2365] 2:10:17	>> Okay. Uh sing a bright song can asks can
[2366] 2:10:21	you elaborate about the astrological
[2367] 2:10:23	reading of Joshua? The first I'm hearing
[2368] 2:10:25	about. Okay. Um the whole idea of of um
[2369] 2:10:30	the sun standing in the sky and the moon
[2370] 2:10:33	opposite
[2371] 2:10:36	is something that's referenced in say um
[2372] 2:10:40	um Assyrian
[2373] 2:10:42	manuals. So this is an omen text. Okay.
[2374] 2:10:48	And you look at in the Assyrian manual
[2375] 2:10:51	and it tells you basically this this
[2376] 2:10:53	idea of the sun standing in the sky and
[2377] 2:10:56	the moon opposite. Now what what you
[2378] 2:10:57	have here is essentially the sun's
[2379] 2:11:00	rising and the moon setting
[2380] 2:11:03	and sometimes in this situation you can
[2381] 2:11:05	see both the sun and the moon in the sky
[2382] 2:11:08	at the same time.
[2383] 2:11:11	So that's what it means. It doesn't mean
[2384] 2:11:14	that the sun stood still. It's that
[2385] 2:11:16	means that the sign hasn't changed
[2386] 2:11:19	throughout the day. So the sun's passing
[2387] 2:11:21	normally. So this is not the sun. This
[2388] 2:11:22	is not the earth's rotation stopping
[2389] 2:11:27	because the whiplash would be horrible.
[2390] 2:11:30	>> That would kind of wreck havoc gravity.
[2391] 2:11:32	>> It would a lot the the moon stop rot the
[2392] 2:11:36	earth stop rotating would would wreak
[2393] 2:11:38	absolute havoc with the planet. The
[2394] 2:11:41	earthquakes all of that.
[2395] 2:11:44	we'd all be thrown off.
[2396] 2:11:46	>> That's maybe what the apocalyptation
[2397] 2:11:53	is the first.
[2398] 2:11:54	>> Yeah. So, this doesn't have anything to
[2399] 2:11:57	do with the Earth rotating or even the
[2400] 2:11:59	sun stop being moving. It's that the
[2401] 2:12:02	that the that the term the sun stood
[2402] 2:12:06	refers to a position in the morning.
[2403] 2:12:11	Okay. It's it's it's it's position in
[2404] 2:12:13	the morning in relation to other bodies
[2405] 2:12:17	in the sky.
[2406] 2:12:19	So that's what it means.
[2407] 2:12:22	So it's an omen text and it's an omen
[2408] 2:12:25	text that other other cultures
[2409] 2:12:29	recognized.
[2410] 2:12:31	So
[2411] 2:12:34	So um it's it's one it's one of the most
[2412] 2:12:38	misunderstood passages. Um because
[2413] 2:12:43	in the west we don't have omen texts.
[2414] 2:12:46	We don't do this in the west. This is
[2415] 2:12:48	something that's alien to western
[2416] 2:12:50	society, western culture. But it was
[2417] 2:12:52	very common in in in the ancient world.
[2418] 2:12:57	You know bronze age there were a lot of
[2419] 2:12:58	omens you know uh even in up into the
[2420] 2:13:01	Roman period they were still doing
[2421] 2:13:03	omens.
[2422] 2:13:05	So
[2423] 2:13:15	mama goes one of the most misunderstood
[2424] 2:13:18	passages which is saying a lot.
[2425] 2:13:22	Yeah. Well,
[2426] 2:13:36	okay, moving on here.
[2427] 2:13:53	Serial Bone Bull asks, "Does the Quran
[2428] 2:13:56	get anything right about ancient Egypt
[2429] 2:13:59	that isn't copied from the Bible?"
[2430] 2:14:04	There was a Pharaoh. That's probably
[2431] 2:14:06	copied from the Bible, though.
[2432] 2:14:10	Um, gets very little right. It's very
[2433] 2:14:14	little right. But it's the most perfect
[2434] 2:14:16	book ever written. Most perfect book.
[2435] 2:14:19	that's that's ever written
[2436] 2:14:22	and you see look
[2437] 2:14:24	I mean Quran explains you know the
[2438] 2:14:27	trinity is father son and Mary
[2439] 2:14:31	what you as a Christian don't believe
[2440] 2:14:34	that's the trinity well
[2441] 2:14:37	that that can't be I mean cuz the the
[2442] 2:14:40	Quran's never wrong
[2443] 2:14:43	therefore you don't know your own
[2444] 2:14:45	religion you see the Quran has to teach
[2445] 2:14:49	you about your own religion because
[2446] 2:14:52	that's why.
[2447] 2:15:06	Oh boy.
[2448] 2:15:16	Uh, and anagram goes, "The Quran doesn't
[2449] 2:15:18	have the trinity." No, it doesn't have
[2450] 2:15:19	the Trinity, but it there is a claim of
[2451] 2:15:22	of what Christians believe is the
[2452] 2:15:23	Trinity yet. So,
[2453] 2:15:27	>> counter.
[2454] 2:15:28	>> Yeah.
[2455] 2:15:30	>> Yeah.
[2456] 2:15:35	>> Uh, sing a bright song. You joke, but a
[2457] 2:15:37	friend of mine who was raised Catholic
[2458] 2:15:39	once said he prayed to God, Jesus, and
[2459] 2:15:41	Mary in the same breath. Catechism
[2460] 2:15:43	failed this man. Yeah. Yeah, I'd say so.
[2461] 2:15:49	Well, you do get lay religion in every
[2462] 2:15:51	every every faith. Every faith has a lay
[2463] 2:15:53	religion and an ecclesiastical religion,
[2464] 2:15:56	and they're not the same, and they're
[2465] 2:15:57	not even aware of each other.
[2466] 2:16:03	Goes, "No, why would you?" It's because
[2467] 2:16:06	that's why
[2468] 2:16:09	that's the justification for everything
[2469] 2:16:11	in Quran.
[2470] 2:16:13	Everything is justified that way.
[2471] 2:16:20	AJ Higgins, thoughts on Thomas Aquinus?
[2472] 2:16:23	Uh, currently a book that um currently
[2473] 2:16:26	reading a book that mentions him
[2474] 2:16:27	heavily. Okay. Um, Thomas Aquinus was a
[2475] 2:16:30	brilliant guy. He was a brilliant guy.
[2476] 2:16:35	Um, he was a monk.
[2477] 2:16:38	He would have been
[2478] 2:16:40	if Thomas Aquinas was never born, we
[2479] 2:16:43	would be talking about Alfred the Great
[2480] 2:16:45	today
[2481] 2:16:48	because Alfred the Great was a really
[2482] 2:16:49	incredible theologian.
[2483] 2:16:53	But Alfred the Great was eclipsed by his
[2484] 2:16:55	student.
[2485] 2:16:57	Well, that sometimes happens in history.
[2486] 2:17:00	So um Thomas Aquinus was um
[2487] 2:17:07	was a successor to the Bey school of
[2488] 2:17:12	scholasticism.
[2489] 2:17:15	Um
[2490] 2:17:17	he
[2491] 2:17:19	uh studied heavily Aristotilian
[2492] 2:17:22	philosophy.
[2493] 2:17:23	So there's a lot of Aristotle in in
[2494] 2:17:26	Aquinus.
[2495] 2:17:28	So if you like Aristotle, you'll
[2496] 2:17:30	probably like Aquinus.
[2497] 2:17:33	Um
[2498] 2:17:35	um so um
[2499] 2:17:38	no, not that Alfred the Great. Not King
[2500] 2:17:41	of England. Not Alfred King of England.
[2501] 2:17:44	No, Alfred the Great. The monk. There
[2502] 2:17:47	was one. See, that's why uh butler
[2503] 2:17:51	>> Alfred the great butler of Batman.
[2504] 2:17:59	Um
[2505] 2:18:01	now there are a lot of tomists today
[2506] 2:18:03	there people who follow the um the uh
[2507] 2:18:06	theology of Thomas of Aquinus are called
[2508] 2:18:08	toists you find a lot of tomists today
[2509] 2:18:11	um ironically southern evangelical
[2510] 2:18:15	seminary
[2511] 2:18:16	is a tomistic school even though they're
[2512] 2:18:19	evangelicals
[2513] 2:18:20	uh they're very very influenced by
[2514] 2:18:23	Thomas Aquinus
[2515] 2:18:26	Harry Stark goes, "Is the theology of
[2516] 2:18:28	Augustine good or bad?" Um, it's not
[2517] 2:18:32	always consistent.
[2518] 2:18:34	Uh, if you're going to read Augustine,
[2519] 2:18:36	read the retractions.
[2520] 2:18:38	Okay. Um, you know, he he says a lot in
[2521] 2:18:41	his confessions and then has to retract
[2522] 2:18:44	a lot of it in the retractions. So,
[2523] 2:18:47	obvious
[2524] 2:18:49	>> it's like a two-parter. Okay. He he's
[2525] 2:18:51	not always the most careful or thorough
[2526] 2:18:54	theologian.
[2527] 2:19:02	Okay, so moving on.
[2528] 2:19:14	AJ Hayes asks, "How much of the Torah
[2529] 2:19:16	was Moses in your view?"
[2530] 2:19:20	Um, I'd say most of it. Now, there are
[2531] 2:19:23	parts of it that are were not written by
[2532] 2:19:25	Moses, like his um his eulogy. Eulogy is
[2533] 2:19:28	not written by him. Uh,
[2534] 2:19:31	>> pre
[2535] 2:19:34	um uh I think a lot of the connecting
[2536] 2:19:37	material was not necessarily written by
[2537] 2:19:40	Moses. Basically, I think where we get
[2538] 2:19:43	the Torah from is essentially the
[2539] 2:19:45	collected papers of Moses. uh collected.
[2540] 2:19:48	He leaves a stack of papers at at the
[2541] 2:19:50	end of his life and he hands it he hands
[2542] 2:19:54	these papers to Joshua and he says,
[2543] 2:19:56	"Okay, make this a book."
[2544] 2:19:58	So, it's then up to Joshua to sort of
[2545] 2:20:02	smooth it all out into a single book. So
[2546] 2:20:27	Harry Stark, does David think Muhammad
[2547] 2:20:29	was tricked by a demon or made up
[2548] 2:20:31	everything from his mind?
[2549] 2:20:34	I think he made up most of it.
[2550] 2:20:37	Um
[2551] 2:20:39	I mean Muhammad commits sherk. He
[2552] 2:20:42	commits sherk
[2553] 2:20:44	which is he believes the doctrine of
[2554] 2:20:46	Satan. You know Satan appears to him and
[2555] 2:20:50	he believes him.
[2556] 2:20:53	That's sherk.
[2557] 2:20:56	So do I think he was actually tricked by
[2558] 2:20:59	a demon? No, I don't. I think he made it
[2559] 2:21:03	all up. And I think he made it all up so
[2560] 2:21:06	he could raid caravans and marry many
[2561] 2:21:08	wives.
[2562] 2:21:10	That's what I think.
[2563] 2:21:19	Why? Because we've seen it happen over
[2564] 2:21:21	and over and over again.
[2565] 2:21:24	The pattern is common.
[2566] 2:21:33	All right, moving on here.
[2567] 2:21:39	See what's next.
[2568] 2:22:00	We're probably going to get to the end
[2569] 2:22:02	pretty quickly and then we're probably
[2570] 2:22:03	going to call it a night.
[2571] 2:22:06	Uh I have a book uh launch tomorrow, so
[2572] 2:22:09	it'd be a good idea for me to get an
[2573] 2:22:11	early night. So,
[2574] 2:22:37	I think we're getting close to the end.
[2575] 2:22:42	>> We've covered it and there wasn't a lot
[2576] 2:22:44	of questions tonight. We didn't have a
[2577] 2:22:45	lot of questions before the stream and
[2578] 2:22:48	um
[2579] 2:22:51	so
[2580] 2:22:53	>> this will be the early
[2581] 2:22:54	>> this will be the earliest we call a a
[2582] 2:22:56	stream in a long time.
[2583] 2:23:00	>> If anybody has super chat
[2584] 2:23:06	>> uh mama asks, "Have you seen IP's new
[2585] 2:23:08	Islam pitch meeting video?" No, I
[2586] 2:23:10	haven't. Uh we watched it twice. It was
[2587] 2:23:13	too funny.
[2588] 2:23:14	Okay. Um, yeah, I I know he based it I
[2589] 2:23:18	saw the thumbnail and I know he based it
[2590] 2:23:19	off of those movie pitch ones. Uh, but
[2591] 2:23:23	uh I have not seen it.
[2592] 2:23:34	Harry Stark asks, "Any thoughts on the
[2593] 2:23:36	latest entries in Tomb Raider? Haven't
[2594] 2:23:38	played them. Uh, been too busy to play
[2595] 2:23:40	Tomb Raider, frankly. Um,
[2596] 2:23:44	Tomb Raider doesn't have um
[2597] 2:23:49	um
[2598] 2:23:51	I used to play a lot of Tomb Raider
[2599] 2:23:53	before I became an archaeologist.
[2600] 2:23:57	After becoming an archaeologist, it sort
[2601] 2:24:00	of felt like work.
[2602] 2:24:03	It lost its appeal as soon as it became
[2603] 2:24:05	more like work.
[2604] 2:24:10	So, I don't actually play a lot of games
[2605] 2:24:12	that do archaeology anymore.
[2606] 2:24:29	>> All right.
[2607] 2:24:32	I think I just passed it.
[2608] 2:24:35	Evidence for the fall. Okay. Andrew
[2609] 2:24:37	Graham asks um and he asks this as a um
[2610] 2:24:40	member question. Uh other than evil and
[2611] 2:24:44	sin in the world, is there any other
[2612] 2:24:45	evidence of the biblical fall?
[2613] 2:24:49	Um yes, there is a couple other people's
[2614] 2:24:52	uh uh pieces of evidence. One of the
[2615] 2:24:54	things we have to understand about the
[2616] 2:24:55	biblical fall is it is the proliferation
[2617] 2:24:58	of death.
[2618] 2:25:00	um
[2619] 2:25:02	the proliferation of death. We have to
[2620] 2:25:05	understand that it's not just the
[2621] 2:25:07	separation of body and soul. That's one
[2622] 2:25:10	kind of death. But it's not the only
[2623] 2:25:13	kind of death.
[2624] 2:25:16	Death is any kind of separation. Okay?
[2625] 2:25:20	Uh separation of man from God,
[2626] 2:25:22	separation from man from the
[2627] 2:25:24	supernatural, separation of a man from
[2628] 2:25:27	his wife. So you want evidence of of the
[2629] 2:25:30	fall, divorce.
[2630] 2:25:33	Divorce is a kind of death.
[2631] 2:25:36	That's evidence of the fall.
[2632] 2:25:39	Uh separation between man and nature.
[2633] 2:25:43	Basically
[2634] 2:25:45	the thorns and the thistles, they hurt.
[2635] 2:25:47	That's a kind of separation.
[2636] 2:25:50	uh separation of man and his self,
[2637] 2:25:54	psychological illness,
[2638] 2:25:56	double-mindedness,
[2639] 2:25:57	you know, that's more evidence of the
