[0] 0:47	Heat. Heat. N.
[3208] 2:45:17	Okay. Uh, next one.
[3209] 2:45:19	>> All the way down.
[3210] 2:45:21	>> 10:29. All righty.
[3211] 2:45:25	Okay. Uh, Lucandal question.
[3212] 2:45:29	All right. Next one here is from Landal.
[3213] 2:45:32	When did ancient Israelites name their
[3214] 2:45:33	children? Did they at the moment the
[3215] 2:45:37	baby was born or were they named it
[3216] 2:45:39	based upon a certain event? Yes, there
[3217] 2:45:41	was a naming uh baby naming event in
[3218] 2:45:43	Israelite culture. It was on the eighth
[3219] 2:45:46	day. Okay. Uh and on the eighth day uh
[3220] 2:45:51	little boys were circumcised.
[3221] 2:45:53	Little girls got a cup of water on the
[3222] 2:45:55	head, a little bath.
[3223] 2:45:57	>> Much better.
[3224] 2:45:58	>> It was much better to be a little girl
[3225] 2:46:00	in ancient Israelite culture. Um
[3226] 2:46:04	so uh
[3227] 2:46:08	um
[3228] 2:46:11	so that's where I would would that's
[3229] 2:46:13	that's where when the baby was named
[3230] 2:46:15	essentially did this baby survive the
[3231] 2:46:18	child birth process.
[3232] 2:46:20	Uh eighth day is usually when the um
[3233] 2:46:23	baby's full immune system starts kicking
[3234] 2:46:25	in. Up until that point a lot of what uh
[3235] 2:46:28	baby's immunity is from their mother. So
[3236] 2:46:30	at this point, um it wasn't it wasn't
[3237] 2:46:34	really practical to name a baby until
[3238] 2:46:35	the eighth day because you didn't know
[3239] 2:46:37	if they were going to live.
[3240] 2:46:39	So
[3241] 2:46:41	uh that's generally when the naming was
[3242] 2:46:43	done was on the eighth day at the
[3243] 2:46:45	circumcision for the for the boy and
[3244] 2:46:48	they named the daughters on the eth day
[3245] 2:46:50	as well. So hope that helps. Thank you
[3246] 2:46:53	for the question.
[3247] 2:46:55	Okay, next one.
[3248] 2:47:00	I like
[3249] 2:47:03	>> Okay.
[3250] 2:47:20	>> Uh,
[3251] 2:47:23	Peacemaker question. Okay. What What
[3252] 2:47:25	time is that? It's time.
[3253] 2:47:28	10:38
[3254] 2:47:31	>> 10:37 Okay.
[3255] 2:47:36	Okay, I see it. Uh, another question
[3256] 2:47:38	from Louis Sandival.
[3257] 2:47:41	Uh, what is the context of blessed are
[3258] 2:47:42	the peacemakers in Matthew 5:9?
[3259] 2:47:46	Do peacemakers mean to force an opponent
[3260] 2:47:48	to make peace before things escalate?
[3261] 2:47:51	Uh, no, that's not what it means, but
[3262] 2:47:52	we'll get to it here. Okay, we'll take
[3263] 2:47:54	the passage here. Matthew
[3264] 2:48:05	Matthew
[3265] 2:48:08	five
[3266] 2:48:13	are the cheese makers.
[3267] 2:48:16	I think they should be blessed.
[3268] 2:48:20	All right. So in Matthew 5 here we have
[3269] 2:48:22	this is the sermon on the mount
[3270] 2:48:25	and there's a lot of a lot of blesseds
[3271] 2:48:28	here. Okay, this is um and it also
[3272] 2:48:32	follows with the woes. You know the woes
[3273] 2:48:36	don't get nearly talked about as much as
[3274] 2:48:37	the blesses. Okay.
[3275] 2:48:40	Okay.
[3276] 2:48:43	So let's talk about this. We got blessed
[3277] 2:48:47	are the poor in spirit. This is not the
[3278] 2:48:49	poor. Verse three, this is not the
[3279] 2:48:52	people who have no money. These are
[3280] 2:48:54	people who are poor in spirit.
[3281] 2:48:57	You have money, but you don't flaunt it.
[3282] 2:49:02	Okay? You don't flaunt it. You use it
[3283] 2:49:04	for good. You know, you live modestly.
[3284] 2:49:08	That's what it means. Poor spirit.
[3285] 2:49:10	Blessed are those who mourn, for they
[3286] 2:49:12	shall be comforted. Blessed are the
[3287] 2:49:13	gentle, they shall inherit the earth.
[3288] 2:49:16	Blessed are those who hunger and thirst
[3289] 2:49:17	for righteousness. they'll be satisfied.
[3290] 2:49:20	Blessed are the merciful, for they shall
[3291] 2:49:22	receive mercy. Blessed are the pure in
[3292] 2:49:24	heart, for they shall see God. Blessed
[3293] 2:49:27	are the peacemakers, for they shall be
[3294] 2:49:29	called sons of God. Okay, so this is not
[3295] 2:49:34	forcing a peace. Okay, these are not
[3296] 2:49:37	enforcers of peace. Um, the word
[3297] 2:49:41	peacemaker comes from Arin Pouyet. Okay,
[3298] 2:49:45	poo. All right. Erin Pooos, peacemaking.
[3299] 2:49:51	These are the people who just diffuse
[3300] 2:49:54	conflicts.
[3301] 2:49:55	Okay. Diffuse conflicts,
[3302] 2:49:59	not force them to to come to the table.
[3303] 2:50:03	Okay.
[3304] 2:50:04	So, so you know this these are people
[3305] 2:50:07	who want to make sure that you know un
[3306] 2:50:11	un uh unreasonable escalations don't get
[3307] 2:50:15	out of hand.
[3308] 2:50:16	Now that's not saying that one of the
[3309] 2:50:18	things we have to take with this these
[3310] 2:50:20	these blessings
[3311] 2:50:22	are they're not universals.
[3312] 2:50:27	Okay. It's not these are not say
[3313] 2:50:30	universal dictims of of this is how you
[3314] 2:50:34	should always handle it. This is kind of
[3315] 2:50:36	like proverb literature. Okay. Proverbs
[3316] 2:50:40	are
[3317] 2:50:42	generally true, but they're not always
[3318] 2:50:45	true. Okay. So, what what we've got here
[3319] 2:50:48	is is Christ giving us proverbial
[3320] 2:50:51	literature. Okay. These are pro these
[3321] 2:50:54	are general maxims,
[3322] 2:50:56	not something that's always true.
[3323] 2:51:00	Okay?
[3324] 2:51:02	You know, blessed are the merciful, for
[3325] 2:51:03	example, they shall receive mercy. Now,
[3326] 2:51:07	mercy is a general good. It's not
[3327] 2:51:10	something you want to always exercise.
[3328] 2:51:14	Okay?
[3329] 2:51:16	You don't always want to have mercy on
[3330] 2:51:19	an enemy combatant
[3331] 2:51:22	because that would be foolish and
[3332] 2:51:25	stupid. Okay?
[3333] 2:51:28	So,
[3334] 2:51:30	these are general maxims, not not hard
[3335] 2:51:34	and fast universals. Okay. So that's
[3336] 2:51:38	that's we got to keep that in mind here.
[3337] 2:51:40	So even with the peacemaking
[3338] 2:51:43	sometimes peacemaking is not going to
[3339] 2:51:46	work out. Sometimes it's not in good
[3340] 2:51:50	sense to make try to make peace. But
[3341] 2:51:54	sometimes you got to let the combatants
[3342] 2:51:55	just fight it out
[3343] 2:51:58	because frankly war is diplomacy taken
[3344] 2:52:02	to the next level. Okay. So sometimes
[3345] 2:52:05	these these people are beyond peace.
[3346] 2:52:10	So you can try to make peace, but you
[3347] 2:52:12	can't force it either. So
[3348] 2:52:15	So it doesn't mean forcing an opponent.
[3349] 2:52:18	It's basically being there to prevent an
[3350] 2:52:22	escalation. So
[3351] 2:52:25	>> preferring
[3352] 2:52:27	>> preferring peace. Yeah. Preferring it.
[3353] 2:52:34	Give me GA. Give me death.
[3354] 2:52:37	Hey, smoke good is good stuff. Really
[3355] 2:52:40	good stuff. Especially as I said in
[3356] 2:52:42	seafood enchiladas. Oh, smoke gouda and
[3357] 2:52:45	seafood enchiladas is the beads bees
[3358] 2:52:47	knees
[3359] 2:52:51	super chat. I just saw it. Yeah. Uh but
[3360] 2:52:53	I'll take Lewis's followup here first.
[3361] 2:52:56	Uh Lewis Sandival asks the follow-up
[3362] 2:52:58	question.
[3363] 2:52:59	uh elaborate a bit more upon poor in
[3364] 2:53:01	spirit. Okay. Yeah, sure. Um
[3365] 2:53:05	you're basically not flaunting your
[3366] 2:53:07	wealth.
[3367] 2:53:08	You're not flaunting your wealth. You're
[3368] 2:53:11	being you're you're you're acting in a
[3369] 2:53:14	modest way. You know, you might have
[3370] 2:53:17	billions of dollars in the bank,
[3371] 2:53:19	but you're not wearing fancy clothes,
[3372] 2:53:21	driving fancy cars, wearing fancy
[3373] 2:53:24	watches. You're not showing off your
[3374] 2:53:26	wealth.
[3375] 2:53:28	You're not cons um um
[3376] 2:53:38	>> yeah it's to have mercy on the poor.
[3377] 2:53:42	Okay. You have mercy on the poor. You
[3378] 2:53:45	don't um you're not um
[3379] 2:53:49	showing off your wealth or anything like
[3380] 2:53:51	that. That's what that's what more or
[3381] 2:53:53	less being poor in spirit means is
[3382] 2:53:56	you're having solidarity with the poor.
[3383] 2:53:59	Okay? So so that's that's really what
[3384] 2:54:01	poor in spirit means. It doesn't mean
[3385] 2:54:03	you're poor and it doesn't mean you have
[3386] 2:54:05	no wealth and it's not saying wealth is
[3387] 2:54:08	a sin. It's not saying that. It's saying
[3388] 2:54:12	that the way you act towards wealth
[3389] 2:54:16	qualifies you as either poor in spirit
[3390] 2:54:18	or not.
[3391] 2:54:20	conspicuous
[3392] 2:54:22	um showing off of wealth is what this is
[3393] 2:54:25	opposing. Okay?
[3394] 2:54:28	So, you know, you're not wearing the the
[3395] 2:54:31	most fancy jewelry. You're not wearing
[3396] 2:54:33	the most fancy clothes or have the
[3397] 2:54:35	fanciest purch uh purses. You know, it's
[3398] 2:54:39	it's it's it's a way to say, okay, we're
[3399] 2:54:42	modest in our means. And frankly, uh,
[3400] 2:54:46	here's the, uh, like for example, I love
[3401] 2:54:48	I love the saying from Calvin.
[3402] 2:54:50	I think it was Calvin here who who said
[3403] 2:54:56	you should earn as much as you can, to
[3404] 2:54:57	save as much as you can, to give as much
[3405] 2:54:59	as you can.
[3406] 2:55:01	I think that's a really good perspective
[3407] 2:55:04	of this,
[3408] 2:55:06	you know. Yeah, earning wealth is is
[3409] 2:55:09	good. It's a good thing.
[3410] 2:55:13	saving wealth is a good thing.
[3411] 2:55:17	Giving wealth is better.
[3412] 2:55:21	So, I think that's really what it comes
[3413] 2:55:24	down to here. And that's what's meant
[3414] 2:55:26	here by poor in spirit. So, I hope that
[3415] 2:55:29	helps. Thank you uh for that uh
[3416] 2:55:32	question. Really appreciate it.
[3417] 2:55:38	Uh next one.
[3418] 2:55:41	and Graham. Wait, is Dr. Faulk a
[3419] 2:55:44	Calvinist now? You'll never know.
[3420] 2:55:51	But I've quoted all sorts of people, so
[3421] 2:55:56	you'll never know what I am.
[3422] 2:56:01	Okay, we got a uh uh super chat here for
[3423] 2:56:05	$5 from Steve K and he asks, "How do you
[3424] 2:56:09	ter interpret 1 Corinthians 14:15? Is it
[3425] 2:56:12	related to belief back then that hair
[3426] 2:56:14	was linked to reproduction?" Okay, the
[3427] 2:56:17	quick answer that's no, but let's talk
[3428] 2:56:18	about it. Um, 1 Corinthians
[3429] 2:56:25	14.
[3430] 2:56:28	Uh, it would be better if we you were
[3431] 2:56:32	more concise on your um
[3432] 2:56:36	on the passage. Okay? Because 14 to 15,
[3433] 2:56:40	that's a large set of verses. Okay? So,
[3434] 2:56:44	let's take something that's closer to
[3435] 2:56:46	the hair. See here.
[3436] 2:56:52	Yeah, this is the the verse here you're
[3437] 2:56:54	you're citing here is way too vague. Two
[3438] 2:56:57	chapters is is too vague. So, let's
[3439] 2:57:00	let's let's narrow this down somewhat.
[3440] 2:57:08	First Corinthians
[3441] 2:57:10	and
[3442] 2:57:13	oh 11:14 to 15. That's much what you
[3443] 2:57:16	must admit. 1 Corinthians 11, chapter 11
[3444] 2:57:19	14-15. Okay. Does not even nature teach
[3445] 2:57:23	you that if a man has long hair, it is a
[3446] 2:57:25	dishonor to him, but if a woman has long
[3447] 2:57:27	hair is a glory to her, for her hair was
[3448] 2:57:29	given for to uh for a covering. Okay,
[3449] 2:57:33	this is um this is not linked to
[3450] 2:57:36	reproduction. Okay, this is not not not
[3451] 2:57:38	linked to reproduction at all. This is a
[3452] 2:57:41	cultural practice.
[3453] 2:57:45	So, so this is not
[3454] 2:57:49	so the whole idea of of of hair
[3455] 2:57:51	coverings and veils and long hair. This
[3456] 2:57:54	is a cultural thing. Now, the fact is
[3457] 2:57:57	that even in first century Judea, men
[3458] 2:58:00	had long hair.
[3459] 2:58:03	Men had long hair in first century
[3460] 2:58:05	Judea. So, at the time of the disciples,
[3461] 2:58:07	G um Jesus had probably long hair. The
[3462] 2:58:10	disciples probably had long hair. Um,
[3463] 2:58:13	the finest disciple hippies of the first
[3464] 2:58:16	century had long hair. Okay, that was
[3465] 2:58:19	that was fairly typical of young Judeian
[3466] 2:58:21	men. So, but what what Paul is talking
[3467] 2:58:25	here is something more particular to
[3468] 2:58:28	Corinth.
[3469] 2:58:30	Okay. In Corenth, men didn't have long
[3470] 2:58:33	hair. Okay?
[3471] 2:58:36	So,
[3472] 2:58:38	so this is he's he's citing here
[3473] 2:58:40	something culturally significant to the
[3474] 2:58:43	people uh the men and women of Corinth.
[3475] 2:58:48	So, so his idea here that that nature is
[3476] 2:58:52	teaching him isn't more um it's it's not
[3477] 2:58:57	so much here that that um that say
[3478] 2:59:01	animal nature or anything like that or
[3479] 2:59:03	reproduction is teaching this, but more
[3480] 2:59:06	or less that your intuitive nature,
[3481] 2:59:09	your cultural nature as it were, is is
[3482] 2:59:13	teaching you that there's a difference
[3483] 2:59:15	here between um um covering and and what
[3484] 2:59:21	its necessity is. And it's basically the
[3485] 2:59:26	whole text here is talking about
[3486] 2:59:27	humility in prayer in public worship.
[3487] 2:59:30	That's what the whole text is talking
[3488] 2:59:32	about.
[3489] 2:59:33	So
[3490] 2:59:35	in this case, the humility here is that
[3491] 2:59:38	women had long hair to be extensively
[3492] 2:59:44	um nonhumble as it were. So um Paul's
[3493] 2:59:50	advising them here, women, cover your
[3494] 2:59:52	heads.
[3495] 2:59:54	This is an act of humilility. And this
[3496] 2:59:56	is an act of humility that was
[3497] 2:59:59	culturally appropriate for Corenth.
[3498] 3:00:02	Don't wear fancy jewelry. Wear modest
[3499] 3:00:05	clothing. Okay. So,
[3500] 3:00:10	so that's really where this is coming
[3501] 3:00:11	from. This is the place where this is
[3502] 3:00:13	coming from is this is a cultural
[3503] 3:00:15	context issue. It's a c uh and he's used
[3504] 3:00:18	Paul is using the specifics of cultural
[3505] 3:00:20	context to say be humble when you enter
[3506] 3:00:25	into worship.
[3507] 3:00:28	Now the takeaway for us here today in
[3508] 3:00:32	21st century North America or wherever
[3509] 3:00:35	you happen to be living is you have to
[3510] 3:00:37	follow the cultural context that shows
[3511] 3:00:41	the proper humility.
[3512] 3:00:43	Okay, this could be, you know, basically
[3513] 3:00:48	any sort of kind of say, you know, don't
[3514] 3:00:51	wear the fancy watches when you go to
[3515] 3:00:53	church service because, you know, that's
[3516] 3:00:55	that's a consumptuous display of wealth.
[3517] 3:00:59	Okay, but
[3518] 3:01:01	the point is of 1 Corinthians 11 isn't
[3519] 3:01:05	the any belief specific belief that hair
[3520] 3:01:07	was linked to reproduction. It's the
[3521] 3:01:09	specific belief that hair was a
[3522] 3:01:12	consumptuous display of femininity
[3523] 3:01:17	and that consumptuous display of
[3524] 3:01:19	femininity in the culture of Corinth was
[3525] 3:01:23	remedied by the hair covering.
[3526] 3:01:26	So, you know,
[3527] 3:01:29	like you don't wear seductive dresses at
[3528] 3:01:32	at church. You're not you shouldn't do
[3529] 3:01:34	that. you know, men shouldn't be putting
[3530] 3:01:38	on, you know, basically
[3531] 3:01:41	big set of gold chains or whatever for a
[3532] 3:01:43	consumptuous dis display display of
[3533] 3:01:45	wealth.
[3534] 3:01:46	It's to be modest. That's the point. So,
[3535] 3:01:50	I hope that helped. Thank you very much
[3536] 3:01:52	for the super chat. Very much appreciate
[3537] 3:01:53	it.
[3538] 3:02:00	Okay, next one. What we got next?
[3539] 3:02:04	Yeah, men men shouldn't be naked either.
[3540] 3:02:06	Yeah, I agree with that.
[3541] 3:02:09	Yeah, don't do that.
[3542] 3:02:11	Put on some clothes, man.
[3543] 3:02:16	I'm kind of at the end here.
[3544] 3:02:18	>> Yeah.
[3545] 3:02:18	>> Does that mean we get to go to bed early
[3546] 3:02:20	tonight and I get to get up really,
[3547] 3:02:22	really early in the morning like I do
[3548] 3:02:24	every
[3549] 3:02:30	>> All right.
[3550] 3:02:39	Okay. 9:36.
[3551] 3:02:42	9:46.
[3552] 3:02:50	Find it here.
[3553] 3:02:56	Okay. 946.
[3554] 3:03:02	Um,
[3555] 3:03:06	okay. Fine. We'll take this question
[3556] 3:03:07	here. And if there's no other questions,
[3557] 3:03:10	we'll probably call it an early night
[3558] 3:03:11	here cuz, uh, we've we're out of super
[3559] 3:03:13	chats. We're out of regular chats. And
[3560] 3:03:16	yeah. So, uh, Louis Sanville asks, uh,
[3561] 3:03:20	did ancient Israelites or second temple
[3562] 3:03:24	Jews know of a third power in heaven,
[3563] 3:03:26	aka the Holy Spirit? Yes, they did know
[3564] 3:03:30	about the third third power in heaven.
[3565] 3:03:33	They just didn't know it was a third
[3566] 3:03:34	power. Okay. So,
[3567] 3:03:39	um the whole second power theology thing
[3568] 3:03:42	is
[3569] 3:03:45	um
[3570] 3:03:46	is all sort of based predicated on that
[3571] 3:03:49	there's more than one Yahweh. Okay. Uh
[3572] 3:03:53	ancient Israelites knew that there was
[3573] 3:03:55	you know the father who was Yahweh and
[3574] 3:03:57	that was sort of indispute undisputed.
[3575] 3:03:59	Every sort of Israelite knew there was
[3576] 3:04:01	the father and he was Yahweh. Everyone
[3577] 3:04:04	knew that
[3578] 3:04:06	the thing was the second Yahweh. Who was
[3579] 3:04:09	that? So that that two powers in heaven
[3580] 3:04:12	thing, that second Yahweh,
[3581] 3:04:14	sometimes it referred to the son,
[3582] 3:04:19	you know, um the redeemer,
[3583] 3:04:22	sometimes it referred to the shikina of
[3584] 3:04:24	glory, the holy spirit. Okay, so
[3585] 3:04:31	the the second power of heaven
[3586] 3:04:36	often referred to either the Holy Spirit
[3587] 3:04:38	or the son. didn't always refer to the
[3588] 3:04:42	same person.
[3589] 3:04:44	So,
[3590] 3:04:47	um,
[3591] 3:04:49	so you know, they knew about the Holy
[3592] 3:04:52	Spirit, they knew about the Son.
[3593] 3:04:55	They often though conflated those two
[3594] 3:04:57	though as one, okay, as the second
[3595] 3:05:00	power.
[3596] 3:05:02	So they knew about the Holy Spirit and
[3597] 3:05:04	they knew about the Son, but they also
[3598] 3:05:06	con often conflated at least in in a lot
[3599] 3:05:09	of those those second temple period
[3600] 3:05:11	writings they conflated the two as one.
[3601] 3:05:15	So So that's sort of what happened here
[3602] 3:05:17	is they knew about it. They just hadn't
[3603] 3:05:20	differentiated that it's a three power
[3604] 3:05:22	in heaven situation, not a two power in
[3605] 3:05:24	heaven situation. So it's more that
[3606] 3:05:26	their their interpretation of the second
[3607] 3:05:29	power wasn't adequate. So, so that's
[3608] 3:05:32	really what's going on there. So, I hope
[3609] 3:05:34	that helps. Thank you very much for that
[3610] 3:05:37	uh question. And I think we're out of
[3611] 3:05:39	questions, right?
[3612] 3:05:45	Uh we just got one in from DBC here.
[3613] 3:05:50	All right. Um DBC uh asks, "Is it a
[3614] 3:05:54	fallacy to take first attestation as
[3615] 3:05:57	beginning of existence?"
[3616] 3:06:00	For example, Tel Elaba has layers going
[3617] 3:06:02	to early the 18th dynasty even the
[3618] 3:06:05	second temple intermediate period. Yeah.
[3619] 3:06:07	Oh yeah. Um okay.
[3620] 3:06:12	Um purse attestation
[3621] 3:06:15	is not necessarily the beginning of
[3622] 3:06:17	existence. But uh like for example in
[3623] 3:06:19	the case of um
[3624] 3:06:22	of um
[3625] 3:06:25	Telataba
[3626] 3:06:27	we do have it going at least back to the
[3627] 3:06:29	second intermediate period. But
[3628] 3:06:31	Telerataba during the second
[3629] 3:06:33	intermediate period was not called
[3630] 3:06:34	Pithome. It was called Czechu
[3631] 3:06:38	Czechu city. Um that's what it was
[3632] 3:06:41	called. It only gets renamed Pit Thomb
[3633] 3:06:45	uh during the reign of Ramsey's II.
[3634] 3:06:48	So
[3635] 3:06:49	um it would be it would be a fallacy to
[3636] 3:06:53	take first attestation as the beginning
[3637] 3:06:55	of existence. But if you've got say
[3638] 3:06:57	supporting documentation
[3639] 3:07:00	then um then you would have to sort of
[3640] 3:07:04	go apart that that um that
[3641] 3:07:08	secondary um evidence too like in the
[3642] 3:07:11	case of Telataba
[3643] 3:07:14	we wouldn't say that say um pthm was
[3644] 3:07:18	founded in the 19th dynasty we wouldn't
[3645] 3:07:20	say that uh even though its earliest
[3646] 3:07:23	attestation of pithm
[3647] 3:07:25	is in the 19th dynasty. But we would say
[3648] 3:07:29	though that it was renamed that because
[3649] 3:07:31	we have evidence of that renaming as
[3650] 3:07:33	well as evidence for the reason why it
[3651] 3:07:35	was renamed which was the construction
[3652] 3:07:37	of the temple of Atum by Ramsey's II
[3653] 3:07:41	plus there's several statues there of
[3654] 3:07:44	Ramsey's II too. So
[3655] 3:07:47	uh so that's why we got that going on
[3656] 3:07:49	there. So
[3657] 3:07:53	um so that's where that comes from is so
[3658] 3:07:57	we can't like for example we can't say
[3659] 3:07:59	that uh Balsafon
[3660] 3:08:01	we can say that Balsafon was this uh the
[3661] 3:08:05	earliest evidence we have of Balsafon is
[3662] 3:08:07	19th dynasty but we can't actually say
[3663] 3:08:10	that it was founded in the 19th dynasty
[3664] 3:08:12	because we don't know okay but on the
[3665] 3:08:15	other hand u Mgdal we do know it's
[3666] 3:08:19	founded because we have somebody's
[3667] 3:08:20	ascribing it to that foundation to study
[3668] 3:08:24	the first. So in mcdul we have not just
[3669] 3:08:28	a first attestation but an actual um um
[3670] 3:08:32	ascribement of its first of its
[3671] 3:08:34	foundation. So that's that's sort of the
[3672] 3:08:37	difference there. So I hope that helps.
[3673] 3:08:39	Thank you for the super or the question.
[3674] 3:08:41	Really appreciate that. Okay
[3675] 3:08:46	Louis slip one more in.
[3676] 3:08:57	Uh, okay. Let's we'll take that. We'll
[3677] 3:08:59	take this question here.
[3678] 3:09:05	>> Yeah, we got time for it.
[3679] 3:09:16	Okay, let's take talk about 1
[3680] 3:09:18	Corinthians 7
[3681] 3:09:22	14.
[3682] 3:09:28	All right. The text says here, "For the
[3683] 3:09:30	unbelieving husband is sanctified,
[3684] 3:09:34	not blessed, sanctified
[3685] 3:09:37	through his wife, and the unbelieving
[3686] 3:09:39	wife is sanctified
[3687] 3:09:41	through her believing husband. For
[3688] 3:09:43	otherwise your children are unclean, but
[3689] 3:09:45	they are now holy." Okay, so this is not
[3690] 3:09:48	really um this is not that the the union
[3691] 3:09:51	is blessed as such, even though it's
[3692] 3:09:53	it's once you're married to an
[3693] 3:09:55	unbelieving spouse. It's basically what
[3694] 3:09:58	this situation is talking about is two
[3695] 3:10:01	non-Christians that got married, one
[3696] 3:10:03	becomes a believer, one stays an
[3697] 3:10:05	unbeliever. That's the situation here.
[3698] 3:10:07	Okay? So, it's this is not giving
[3699] 3:10:09	permission to for a believer to marry an
[3700] 3:10:12	unbeliever. It's not given that at all.
[3701] 3:10:14	And I'm going to be very clear about
[3702] 3:10:15	that. These are two unbelieving spouses
[3703] 3:10:19	that marry, one becomes a Christian.
[3704] 3:10:24	They stay together.
[3705] 3:10:27	Their their union is sanctified through
[3706] 3:10:31	the um haggetso is the word here. It's
[3707] 3:10:34	it's um where we get like hagas saints.
[3708] 3:10:38	Okay. So they're sanctified
[3709] 3:10:40	through the believing spouse and then
[3710] 3:10:43	their children is sanctified through
[3711] 3:10:46	that. So their their children can have
[3712] 3:10:50	entry into the congregation of
[3713] 3:10:53	believers. Okay. So so basically this
[3714] 3:10:57	this allows a believing spouse to bring
[3715] 3:11:00	their kids to church essentially. Okay.
[3716] 3:11:04	They're not just they're not just these
[3717] 3:11:07	are not just treated as pure pagans as
[3718] 3:11:09	such. they're allowed entry into the
[3719] 3:11:11	church and into the community of of
[3720] 3:11:14	believers even though those children not
[3721] 3:11:16	may not be yet believers themselves.
[3722] 3:11:18	Okay, so that's sort of what what's it's
[3723] 3:11:21	getting at and that still applies today.
[3724] 3:11:23	That still applies today that if if an
[3725] 3:11:26	unbeliever two unbelievers get married,
[3726] 3:11:27	one becomes a believer,
[3727] 3:11:30	the the unbeliever is sanctified and
[3728] 3:11:34	their children are permitted into the
[3729] 3:11:36	church. So it doesn't again does not
[3730] 3:11:39	make the the children saved and this
[3731] 3:11:42	does not make the the unbelieving spouse
[3732] 3:11:44	saved but it does allow them access to
[3733] 3:11:47	the community the Christ community as
[3734] 3:11:50	such. So I hope that helps. Thank you
[3735] 3:11:54	very much for the uh for the question.
[3736] 3:11:56	Really appreciate it.
[3737] 3:11:58	Yep. I will take that. I just saw that.
[3738] 3:12:02	Um Tia Chongs asks uh have you visited
[3739] 3:12:05	the Israel Museum? And if you have, what
[3740] 3:12:07	are your thoughts? Um, I haven't visited
[3741] 3:12:09	it. Um, um, I've never been to Israel.
[3742] 3:12:13	I've never visited the museum, so I
[3743] 3:12:16	don't even know where the Israel Museum
[3744] 3:12:17	is. Is it in Israel?
[3745] 3:12:20	I don't know. Let's see. Where is it?
[3746] 3:12:26	Yeah, it's in Jerusalem.
[3747] 3:12:28	Yeah. Never been there. Um, I've never
[3748] 3:12:31	actually been to Israel. I know that
[3749] 3:12:34	surprises a lot of people, but going to
[3750] 3:12:36	Israel is expensive and um I have not
[3751] 3:12:39	had the opportunity to go. Uh Miss
[3752] 3:12:42	Producer has been to Israel. I have not.
[3753] 3:12:46	On the last I was actually scheduled at
[3754] 3:12:48	one point to go to Israel.
[3755] 3:12:51	Um a funny thing um and this was this
[3756] 3:12:54	this is funny in the way as funny that
[3757] 3:12:56	in that this sucks. Okay. Um I was
[3758] 3:13:01	actually supposed to go to Israel a
[3759] 3:13:04	couple of years ago. They had done a
[3760] 3:13:07	they they had organized a conference
[3761] 3:13:12	to on the ark of the covenant. Okay. And
[3762] 3:13:16	I was supposed to be the keynote speaker
[3763] 3:13:18	on the ark of the covenant because I
[3764] 3:13:20	have the um probably the most I've done
[3765] 3:13:23	the most important work on the ark of
[3766] 3:13:25	the covenant. Okay.
[3767] 3:13:28	Um,
[3768] 3:13:30	so they had arranged this conference
[3769] 3:13:32	where I was supposed to come and give
[3770] 3:13:34	the keynote address.
[3771] 3:13:37	Um, but I couldn't afford to go. I was
[3772] 3:13:40	like I was like unemployed at the time.
[3773] 3:13:42	I had no money. There was no way I was
[3774] 3:13:44	going to fly to Jerusalem on my own. I
[3775] 3:13:47	couldn't do it. Just couldn't do it. So
[3776] 3:13:49	the organ conf um um conference
[3777] 3:13:53	organizer said, "Okay, we'll we'll try
[3778] 3:13:55	to to get the money to to get you to to
[3779] 3:13:57	fly over and they just couldn't do it."
[3780] 3:14:01	But they held the conference, but I was
[3781] 3:14:03	never the speak keynote speaker there
[3782] 3:14:05	even though it was a conference made for
[3783] 3:14:07	me.
[3784] 3:14:10	They organized this whole conference
[3785] 3:14:12	around my keynote and then I couldn't go
[3786] 3:14:16	because I couldn't raise the money to
[3787] 3:14:17	get me to there. But they still held the
[3788] 3:14:19	conference anyway.
[3789] 3:14:21	Totally sucks. So, I've never been to
[3790] 3:14:23	Israel. I would have loved to have been,
[3791] 3:14:25	but no, I haven't been there. So,
[3792] 3:14:38	um,
[3793] 3:14:41	you want me to take that reply from
[3794] 3:14:42	Harry Stark?
[3795] 3:14:50	Uh, Harry Stark says, "I returned to the
[3796] 3:14:53	chat and saw David's response about
[3797] 3:14:55	Tertullian. Do you consider Tertullian
[3798] 3:14:56	to be a bad guy and a heretic?" No, I
[3799] 3:14:58	don't. He's neither a bad guy nor a
[3800] 3:15:00	heretic. I think he was a faithful
[3801] 3:15:02	believer in Jesus Christ. I think he
[3802] 3:15:05	believed in the um continuous um
[3803] 3:15:09	speaking of the Holy Spirit through the
[3804] 3:15:11	church. I think I think he was a good
[3805] 3:15:14	guy. Um, and he was a great intellect.
[3806] 3:15:18	He says the Wikipedia page also says
[3807] 3:15:21	some scholars think that Tertillian was
[3808] 3:15:22	never excommunicated to begin with. Oh,
[3809] 3:15:24	you wouldn't know that from his writing.
[3810] 3:15:27	Uh, yeah, he was excommunicated. Um,
[3811] 3:15:29	that's why that's why he has such an axe
[3812] 3:15:32	to grind against the Roman Catholic
[3813] 3:15:34	Church. Yeah, he has such an axe to
[3814] 3:15:37	grind against them uh because of the
[3815] 3:15:39	excommunication. I don't think there's
[3816] 3:15:41	any doubt that he was excommunicated
[3817] 3:15:43	despite what some scholars think. I know
[3818] 3:15:45	there are some scholars that want to
[3819] 3:15:46	distance
